Main_Atlas_Number,Main_Display_Name,Interior_Summary,Interior_Water_Comments,Interior_Surface_Comments,Interior_Excavation_Comments,Interior_Geophysics_Comments,Interior_Water_None,Interior_Water_Spring,Interior_Water_Stream,Interior_Water_Pool,Interior_Water_Flush,Interior_Water_Well,Interior_Water_Other,Interior_Surface_None,Interior_Surface_Round,Interior_Surface_Rectangular,Interior_Surface_Curvilinear,Interior_Surface_Roundhouse,Interior_Surface_Pit,Interior_Surface_Quarry,Interior_Surface_Other,Interior_Excavation_None,Interior_Excavation_Pit,Interior_Excavation_Posthole,Interior_Excavation_Roundhouse,Interior_Excavation_Rectangular,Interior_Excavation_Road,Interior_Excavation_Quarry,Interior_Excavation_Other,Interior_Excavation_Nothing,Interior_Geophysics_None,Interior_Geophysics_Pit,Interior_Geophysics_Roundhouse,Interior_Geophysics_Rectangular,Interior_Geophysics_Road,Interior_Geophysics_Quarry,Interior_Geophysics_Other,Interior_Geophysics_Nothing
2013,"Camp Field, Northumberland (Duddo)",No recorded features,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2014,"Bill Law, Northumberland",Not internal features are recorded,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2015,"South Berrington, Northumberland",No internal features are recorded,Bowsden Burn to the S,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2017,"Old Castle, Milford, Pembrokeshire (Pill Rath; Old Castle Head)",Site destroyed.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2018,"Thornton Rath, Pembrokeshire",None,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2019,"West Popton Camp, Pembrokeshire (Fenny Coombe)",None,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2020,"Martin's Haven, Pembrokeshire",None,Stream 0.2km outside fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2021,"Nw of Elwick, Northumberland",The cropmarks of a roundhouse 11m in diameter and pits have been recorded on APs,Elwick Burn to the S,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2022,"Fox Covert Camp, Northumberland",No internal features are recorded,Horton Burn lies to the W,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2023,"Mill Hill, Northumberland",No internal features recorded,River Till to the S,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2024,"North Heddon Moor, Northumberland (Foxes Knoll)","Internally the enclosure is divided into two areas by a bank; in the E there is a sub-circular platform 8m in diameter, a scooped area 9m in diameter enclosed by a slight bank, and a possible hut circle.  In the W a sub-rectangular enclosure with an internal dividing bank and a yard have been recorded.",Lilburn Burn to the E,"Sub-circular platform 8m in diameter, a scooped area 9m in diameter enclosed by a slight bank and a possible hut circle.  In the W a sub-rectangular enclosure with an internal dividing bank and a yard.  The internal compounds possibly relate to secondary, Romano-British occupation",NA,NA,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2025,"Roseden Edge, Northumberland (The Ringle)",No internal features recorded,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2026,"Trickley Hill Camp, Northumberland (Twickley)",No features recorded,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2027,"Standing Stones Camp, Northumberland (Horton Moor)",No features recorded,NA,Mound,NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2028,"Kippy Heugh, Northumberland","A single stone founded hut circle 5m in diameter and low stone-faced banks, possibly courtyards, have been recorded in the interior.",NA,"Round stone-founded structure, possible quarry ditches and courtyards",NA,NA,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2029,"Greaves Ash Camp, Northumberland",A well was recorded during the 19th century excavations but could not be located during a later survey and was possibly destroyed by forestation,"Waterfall, river and burn lie in the vicinity",NA,NA,NA,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2030,"Titlington South Camp, Northumberland (South Titlington)",Stone founded huts 8m and 5m in diameter probably represent secondary occupation,Titlington Burn to the NW,NA,NA,NA,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2031,"Brizlee Wood Camp, Northumberland",The site of a possible roundhouse was exposed in the late 20th century in the hollow created by a fallen tree.,Stream in the W,Remains of roundhouse seen in tree throw,NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2032,"West Brizlee Camp, Northumberland (West Brizlee Wood)",No internal features are recorded,Streams and the River Aln lie nearby,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2033,"East Lillburn, Northumberland",No internal features recorded,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2034,"Doddington, Northumberland (Nesbit)",No internal features are known. Quernstone found during fieldwalking,River Till lies to the SW,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2035,"East Laddies Knowe, Northumberland","No internal features are known. Hints of several round-houses on satellite imagery, but the interior has been cultivated over (SH)",Stream to the NW,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2036,"Springhill, Northumberland",No internal features are recorded. 'Antonine' sherd,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
2037,"Wolfershiel, Northumberland",No recorded features,Chesterhope Burn and springs lie in the vicinity,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2038,"The Heugh, Northumberland",No internal features are recorded,The River Derwent lies to the E and the Mill Burn to the W.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2039,"Brown's Law, Northumberland",Two circular hut platforms up to 0.1m high have been recorded within the interior  cut slightly into the hill.,Humbleton Burn lies to the S and E,NA,NA,NA,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2040,"S of Fenton Hill Camp, Northumberland",No internal features have been recorded,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2041,"Nesbit Chesters, Northumberland (Chesters Strip Plantation)",No internal features are recorded. Overlain by straight rig and furrow,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2042,"Etal, Northumberland (New Etal)",No features recorded,River Till to the S,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2043,"Branxton Moor, Northumberland",A disc-shaped mark in the grass within the interior possibly represents a roundhouse,Springs lie in the vicinity of the cropmark,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2044,"Pace Hill, Northumberland",Overlying Romano-British settlement,A stream lies to the W,Overlying Romano-British settlement,NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2045,"White Hill, Northumberland",No internal features recorded,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2046,"Flodden Hill, Northumberland",No contemporary features recorded,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2047,"Kypie Hill, Northumberland",No internal features recorded,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2048,"Blakelaw, Northumberland",No internal features are known,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2049,"West Pennar Rath, Pembrokeshire (West Pennar Camp)",Pipeline section. Nothing found.,NA,NA,Pipeline section.,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
2050,"Lambeeth, Pembrokeshire",None,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2051,"Quoit's Wood, Pembrokeshire",None,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2052,"Bowett Wood Camp, Pembrokeshire",None,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2055,"Rudbaxton Rath, Pembrokeshire (Crundale Rath; The Rath)","Two twisted iron rings, c. 20cm diameter, possibly torcs, and around half-sized iron model of a hand, found in about 1865, thought Iron Age or possibly Roman.",NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2058,"Lamborough Camp, Pembrokeshire",None,Stream 0.1km outside fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2059,"Knock Scalbart, Argyll & Bute",Two probable round-houses,NA,NA,NA,NA,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2060,"Islay, Dun Bhoraraig, Argyll & Bute",Featureless,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2061,"Islay, Lossit, Argyll & Bute",Featureless apart from the dun and later enclosure,NA,Dun and later enclosure,NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2062,"Islay, Lossit Point, Dun na Faing, Argyll & Bute",Featureless apart from post-medieval agricultural remains,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2063,"Shildon Hill, Northumberland","The remains of a Romano-British farmstead measuring 57m by 63m with an entrance in the W and fragmentary ditches and pits, lie within the interior. Slight traces of circular enclosures have also been recorded on aerial photographs.",Small stream 300m to the N,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2064,"Longwitton, Northumberland",No internal features are known,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2065,"Fowberry Moor Enclosure, Northumberland",No features recorded,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2066,"Islay, Rhinns Point, An Dun, Argyll & Bute",Featureless,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2067,"Islay, Am Burg, Coul, Argyll & Bute",Featureless apart from later rectangular building and cultivation remains,NA,NA,NA,NA,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2068,"East of Flodden Camp, Northumberland",No features recorded,Stream to the S,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2069,"Islay, Ard Fhraoch, Argyll & Bute",Featureless,NA,Rampart overlain by rectangular turf enclosure,NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2070,"Mullaghglass, Galway",Featureless,A stream is situated immediately W of the promontory,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2071,"Islay, The Oa, Dun Mor Ghil, Argyll & Bute",Featureless,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2074,"Holgan, Pembrokeshire",None,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2075,"Faenor Gaer, Pembrokeshire (Vaenor Gaer; Vaynor Gaer)","Crossley (1963, 191) suggests that a possible structure has been detected W of a S  guard chamber, and there is a slight N to S depression across the W of the interior of the site. Chance finds of burnt earth and daub after ploughing in 1960.",Stream 0.15km outside fort.,"Crossley (1963, 191) suggests that a possible structure has been detected W of a S guard chamber, and there is a slight N to S depression across the W of the interior of the site.",NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2076,"Sunnyside, Pembrokeshire",None,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2077,"Bush Inn Camp, Robeston Wathen, Pembrokeshire (Castle Rath)",None,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2078,"Castle Lake Camp, Pembrokeshire",None,River directly below site.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2079,"Canaston Wood Camp, Pembrokeshire (Canaston Wood Camp; Cil Foden)",Possibly three round house sites in interior.,Stream 0.05km outside fort.,Possibly three round house sites in interior.,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2081,"Llanddewi Gaer, Pembrokeshire (Pen-y-Gaer)",None,Stream 0.1km outside fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2082,"Castell Meherin West, Pembrokeshire (Castell Mehren West)",None,Stream 0.08km outside fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2083,"Castell Meherin East, Pembrokeshire (Castell Mehren East)",None,Stream 0.8km outside fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2084,"Blaen Gywddno, Pembrokeshire (Blaengwaith-Noah Camp; Blaengwaith Noah Camp)",None,Stream 0.1km outside fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2085,"Islay, Cnoc Eabriic, Argyll & Bute",Featureless apart from later pen and a band of rubble crossing over the promontory towards the S,NA,Later pen.,NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2086,"Freshwater East Camp, Pembrokeshire",None,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2087,"Greenala Camp, Pembrokeshire (Greenala Point Fort)","Two distinct hollows, of indeterminate nature, a possible quarry ditch following line of inner rampart and roughly square platform, 7m wide and 0.3m high, located at the fort's highest point. Pembrokeshire Archaeological Survey of 1897-1906 describes remains of a Çkitchen midden and portions of a skeleton recovered from the side of the cliff.",Nearby spring.,"Two distinct hollows, of indeterminate nature, a possible quarry ditch following line of inner rampart and roughly square platform, 7m wide and 0.3m high, located at the fort's highest point.",NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2088,"Skomar Camp, Lydstep, Pembrokeshire (Skomer Camp)",None.,Stream 0.15km outside fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2089,"Old Castle Camp, Manorbier, Pembrokeshire (Old Castle Head, Manorbier)","OS recorded seven sub-rectangular features in interior in 1965, but no later recording of these and compared with those on Gaetholm by RCAHMW (Coflein). Circular feature to NW of interior may be modern military installation.",Stream 0.5km outside fort.,"OS recorded seven sub-rectangular features in interior in 1965, but no later recording of these.",NA,NA,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2091,"Crowhill Rath, Pembrokeshire",None,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2092,"Caerau Gaer, Llandewi Velfrey, Pembrokeshire",None,Stream 0.2km outside fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2093,"Castell Gwyndy, Pembrokeshire",Hut circles reported in past - none viisible.,Stream 0.2km outside fort.,NA,NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2095,"Denant, Pembrokeshire (Denant Rath)",None,Stream 0.01km outside fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2099,"Arnold's Hill, Pembrokeshire",None,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2100,"Berry Hill, Pembrokeshire","Geophysical survey of July 2006 confirmed ditched nature of the site. Some internal ditch divisions were also located, but little other internal or external detail detected.",NA,NA,NA,"Geophysical survey of July 2006 confirmed ditched nature of the site. Some internal ditch divisions were also located, but little other internal or external detail detected.",Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
2101,"Castell Gwyn Ii, Pembrokeshire (Castell Gwyn Uchaf)","Undulations in interior may be hut platforms, but not proven and unclear.",NA,"Undulations in interior may be hut platforms, but not proven and unclear.",NA,NA,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2102,"Berry Slade, Pembrokeshire",None,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2103,"West Angle Bay, Pembrokeshire",None,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2105,"Stackpole, Pembrokeshire",None,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2109,"Castell Hendre Wen, Pembrokeshire (Castell Hendre-Wen; Castell Bytheg)",None,Stream 0.6km outside fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2110,"Keeston Castle, Pembrokeshire",None,Stream 0.25km outside fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2111,"Romans Castle, Pembrokeshire (Ramus Castle)",None,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2113,"Molleston Back Camp, Pembrokeshire (Molleston Bank; Grove)",None,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2117,"Islay, Dun Bheolain, Argyll & Bute",Traces of,NA,irregular rectilinear platforms,NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2118,"Islay, Beinn Sholaraidh, Argyll & Bute",Featureless,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2119,"Pen-y-Garn, Carmarthenshire",None,Stream 0.4 km outside fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2120,"Islay, Alt Nan Ba, Argyll & Bute",Featureless,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2122,"Banc y Rhyfel, Carmarthenshire (Dyffryn Camp)",None,Stream 0.25 km outside fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2123,"Allt y Ferin, Carmarthenshire",None.,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2124,"Dryslwyn Castle, Carmarthenshire",None,Afon Tywi 0.05 km outside fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2125,"Islay, Sron Dubh, Argyll & Bute",Featureless and largely outcrop,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2126,"Grongaer, Llangathen, Carmarthenshire (Grongar Hill)",None,Afon Tywi 0.55 km outside fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2127,"Pen y Gaer, Llanybydder, Carmarthenshire",None,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2128,"Islay, Beinn a' Chaisteal,, Argyll & Bute",Lower terrace occupied by a cluster of stone structures that are likely to be of later date,NA,"Series of stone structures that tend to be oval, set amongst the screes, and including one with a corbelled roof intact",NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2129,"y Gaer, Pencarreg, Carmarthenshire (Gelli; Caer Pencarreg)",None,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2130,"Castell Elwyn, Carmarthenshire",None,Stream 0.3 km outside fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2131,"Waun-y-Castell, Carmarthenshire (Waen-y-Castell)",None,Afon Cennen 0.5 km outside fort.,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2132,"Maes y Castell, Carmarthenshire",Possible hut platforms in interior.,NA,Possible hut platforms in interior.,NA,NA,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2133,"Gaer Fawr, Manordeilo, Carmarthenshire (Gaer Fach)",None,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2134,"Tal-y-Fan, Llandeilofawr, Carmarthenshire",None,NA,NA,NA,NA,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
