Main_Atlas_Number,Main_Display_Name,Investigations_Summary,Related_Investigations
2345,"Castell Bwa-Drain Camp, Ceredigion",On 1st Ed. OS map (1887-88). Cambria Archaeology defended enclosures survey 2006.,Other (2006); 1st Identified Map Depiction (1887-1888)
2346,"Crug-y-Balog, Ceredigion",On 1st Ed. OS map (1889). Cambria Archaeology defended enclosures survey 2006.,1st Identified Map Depiction (1889); Other (2006)
2347,"Dinas Cerdin, Ceredigion (Dinascerdin)",On 1st Ed. OS map (1888). Cambria Archaeology defended enclosures survey 2006.,1st Identified Map Depiction (1888); Other (2006)
2348,"Cribyn Clotas, Ceredigion (Cribyn Clotta)",On 1st Ed. OS map (1889). Cambria Archaeology defended enclosures survey 2006.,1st Identified Map Depiction (1889); Other (1988); Other (2006)
2349,"Castell Cwmere, Temple Bar, Ceredigion",On 1st Ed. OS map (1889). Cambria Archaeology defended enclosures survey 2006.,1st Identified Map Depiction (1889); Other (2006)
2350,"Mull, Cnoc na Sroine, Argyll & Bute (Caisteal na Srianga)",NA,1st Identified Map Depiction (1875); Other (1882); Other (1934); Other (1942); Earthwork Survey (1959); Other (1972); Earthwork Survey (1974)
2351,"Pen Dinas, Elerch, Ceredigion","On 1st Ed. OS map (1887). Cambria Archaeology defended enclosures survey 2006. Survey and sampling programme RCAHMW in collaboration with Aberystwyth University, researching metal ore deposits within fort 2011, 2012.",1st Identified Map Depiction (1887); Other (2006); Other (2011-2012)
2352,"Hen Gaer, Bow Street, Ceredigion (Pen Gaer, Bow Street; Broncastellan; Caer Shon)",On 1st Ed. OS map (1888). Small excavation by Archaeological Section of the Cardiganshire Antiquarian Society 1967. Cambria Archaeology defended enclosures survey 2006.,1st Identified Map Depiction (1888); Excavation (1967); Other (2006)
2353,"y Gaer, Caron-Uwch-Clawdd, Ceredigion (y Gaer Hillfort, Lisbourne Road.)",Shown on the 1839 Ordnance Survey map and as an upstanding earthwork on the 1834 Ordnance Survey map. Cambria Archaeology defended enclosures survey 2006.,1st Identified Map Depiction (1834); Other (1839); Other (2006)
2354,"Castell Fflemish, Ceredigion",On 1st Ed. OS map (1889-90). Cambria Archaeology defended enclosures survey 2006.,Other (2006); 1st Identified Map Depiction (1889-1890)
2355,"Castell Tregaron, Ceredigion (Sunnyhill Wood Camp; Castell Sunnyhill)",On 1st Ed. OS map (1889). Cambria Archaeology defended enclosures survey 2006.,1st Identified Map Depiction (1889); Other (2006)
2356,"Tre-Coll, Ceredigion (Trecoll Hillfort)",First discovered by A .H. A. Hogg in 1971. Cambria Archaeology defended enclosures survey 2006.,Other (1971); Other (2006)
2357,"Pant y Bula, Ceredigion (y Gaer)",Name 'Gaer' appears on 1st Ed. OS map 1889. Visible from the air and photographed by RCAHMW during aerial reconnaissance on 13 December 2002. Cambria Archaeology defended enclosures survey 2006.,1st Identified Map Depiction (1889); Other (2002); Other (2006)
2358,"Gaer, Llandygwydd, Ceredigion",On 1st Ed. OS map (1888-89). Cambria Archaeology defended enclosures survey 2006.,Other (2006); 1st Identified Map Depiction (1888-1889)
2359,"Caerau, Henllan, Ceredigion (Henllan)","On 1st Ed. OS map (1888). WWII excavations to parts of ramparts and interior, in advance of prison camp building.",1st Identified Map Depiction (1888); Other (2006); Excavation (1939-1945)
2360,"Pen Dinas, Aberystwyth, Ceredigion","On 1st Ed. OS map (1889). C. Daryll Forde 1933-7 investigated limited parts of the fort, Cambria Archaeology defended enclosures survey 2006.",1st Identified Map Depiction (1889); Other (2006); Excavation (1933-1937)
2361,"Esgair Nant-Yr-Arian, Ceredigion",Cambria Archaeology defended enclosures survey 2006.,Other (2006)
2362,"Castell Perthi-Mawr, Ceredigion (Castell Cilcennin)",On 1st Ed. OS map (1885-1900). RCAHMW aerial reconnaissance 1999. Cambria Archaeology defended enclosures survey 2006.,Other (1999); Other (2006); 1st Identified Map Depiction (1885-1900)
2363,"Pen Clawdd-Mawr, Ceredigion (Pen-Clawdd-Mawr)",Cambria Archaeology defended enclosures survey 2006.,Other (2006)
2364,"North Hazelrigg, Northumberland",Observed on aerial photographs in 2013,Other (2013)
2365,"Cribyn Gaer, Ceredigion (Caer Maesmynach; Gaer Maesmynach)",On 1st Ed. OS map (1889). Cambria Archaeology defended enclosures survey 2006.,1st Identified Map Depiction (1889); Other (1988); Other (2006)
2366,"Castell Allt-Goch, Ceredigion (Castell Allt Goch)",On 1st Ed. OS map (1888). Cambria Archaeology defended enclosures survey 2006.,1st Identified Map Depiction (1888); Other (1988); Other (2006)
2367,"Coed-Parc Gaer, Ceredigion (Betws-Bledrws; Gaer Coed Parc)",On 1st Ed. OS map (1889). Cambria Archaeology defended enclosures survey 2006.,1st Identified Map Depiction (1889); Other (2006)
2368,"Tan-y-Ffordd, Ceredigion",Cambria Archaeology defended enclosures survey 2006.,Other (2006)
2369,"Crugllwyn Camp, Ceredigion (Crugllwyn-Llwyd; Crug Llwyn Llwyd; Crug Llwyn-Llwyd)",On 1st Ed. OS map (1888-89). Cambria Archaeology defended enclosures survey 2006.,Other (2006); 1st Identified Map Depiction (1888-1889)
2370,"Gaer Pwntan, Ceredigion (Caer Pwntan; Castell Pwntan; Pen-y-Gaer, Penbryn)",On 1st Ed. OS map (1889). Cambria Archaeology defended enclosures survey 2006. Watching Brief - DAT no date.,1st Identified Map Depiction (1889); Other (2006); Other (None-None)
2372,"Clyn-Yr-Ynys, Ceredigion",First discovered as partial cropmark during RCAHMW aerial reconnaissance on 14th July 2003. Cambria Archaeology defended enclosures survey 2006.,Other (2003); Other (2006)
2373,"Mull, Salen, Argyll & Bute (Salen Bay)",NA,Earthwork Survey (1959); Earthwork Survey (1972); 1st Identified Map Depiction (1972)
2374,"Dinas, Melindwr, Ceredigion",On 1st Ed. OS map (1887-88). Cambria Archaeology defended enclosures survey 2006.,Other (2006); 1st Identified Map Depiction (1887-1888)
2375,"Graig y Gwbert, Ceredigion",Cambria Archaeology defended enclosures survey 2006.,Other (2006)
2377,"Caer Llifry, Ceredigion (Pen-y-Gaer, Bank Green Grove; Caer-Lifry)",Cambria Archaeology defended enclosures survey 2006.,Other (2006)
2380,"Gaer, Brongwyn, Ceredigion",Cambria Archaeology defended enclosures survey 2006.,Other (2006)
2381,"Bronfre-Ganol, Ceredigion",Cambria Archaeology defended enclosures survey 2006.,Other (2006)
2382,"Gaer Rhydlydan, Ceredigion (Pen-y-Gaer)",Cambria Archaeology defended enclosures survey 2006.,Other (2006)
2386,"Leap Linn, Scottish Borders","Photographed by RCAHMS Aerial Survey Programme in 1995, 2005 and 2010",1st Identified Map Depiction (1858); Earthwork Survey (1950); Other (1962); Other (1962); Other (1965)
2387,"Alltfadog South, Ceredigion",First discovered using aerial photography mapping by RCAHMW - no date. Cambria Archaeology defended enclosures survey 2006.,Other (2006); Other (None-None)
2388,"Baldock, Hertfordshire",N/A as not a hillfort,NA
2389,"Tillmouth Farm, Northumberland (Riffington Hill)",Observed only on aerial photographs,Other (1996)
2393,"Pen-y-Gaer, Nantcwnlle, Ceredigion (Pen y Gaer)",On 1st Ed. OS map (1889). Cambria Archaeology defended enclosures survey 2006.,1st Identified Map Depiction (1889); Other (2006)
2394,"Welwyn, Hertfordshire (Welwyn Garden City; Welch's Farm; Datchworth)",N/A as not a hillfort,NA
2395,"Pen-y-Gaer, Llanbadarn, Ceredigion",On 1st Ed. OS map (1890). Cambria Archaeology defended enclosures survey 2006.,1st Identified Map Depiction (1890); Other (2006)
2397,"Bulbourne, Hertfordshire (Bulbourne Valley)",N/A as not a hillfort,NA
2398,"Castle Field Camp, Graig-Llwyn, Cardiff",On 1st Ed. OS map (1875). RCAHMW investigation 1967. GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,1st Identified Map Depiction (1875); Other (1967); Other (2005)
2399,"Caerau Camp, Ponthir, Monmouth (Candwr Camp)",On 1st Ed. OS map (1882). GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,1st Identified Map Depiction (1882); Other (2005)
2400,"Gaer Fawr Lower Camp, Mynydd y Gaer, Neath Port Talbot (Mynydd y Gaer (Gaer Fawr) Lower Camp)",On OS map 2500 map 1918 (not 1st Ed.). RCAHMW investigation 1964. GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,Other (1918); Other (1964); Other (2005)
2401,"Fort At Craig Ty Isaf, Neath Port Talbot (Craig Ty Isaf Camp)",On OS 1:2500 map 1919 (not 1st Ed.). RCAHMW investigation 1964. GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,1st Identified Map Depiction (1919); Other (1964); Other (2005)
2402,"Pen y Castell, Cwmafan, Neath Port Talbot",On 1st Ed. OS map (1877-78). RCAHMW investigation 1964. GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,Other (1964); Other (2005); 1st Identified Map Depiction (1877-1878)
2403,"Buarth y Gaer, Neath Port Talbot (Mynydd-y-Gaer)",On OS map (1878-81). RCAHMW investigation 1964. GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,Other (1964); Other (2005); 1st Identified Map Depiction (1878-1881)
2404,"Cefn yr Argoed, Neath Port Talbot",On 1st Ed. OS map (1877). RCAHMW investigation 1964. GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,1st Identified Map Depiction (1877); Other (1964); Other (2005)
2405,"Llwynda'-Ddu, Cardiff (Llwynda'-Ddu Camp)",On 1st Ed. OS map (1878). RCAHMW investigation 1964. GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,1st Identified Map Depiction (1878); Other (1964); Other (2005)
2406,"Gaer Hill Camp, Penterry, Monmouth",On 1st Ed. OS map (1881). GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,1st Identified Map Depiction (1881); Other (2005)
2407,"Half Moon Camp, Margam, Neath Port Talbot",First on OS map 1899 (not 1st Ed.). RCAHMW investigation 1966. GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,1st Identified Map Depiction (1899); Other (1966); Other (2005)
2408,"Blackfield Wood Camp, Monmouth (Porthcaseg Camp)",On 1st Ed. OS map (1881). GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,1st Identified Map Depiction (1881); Other (2005)
2409,"Mynydd-y-Castell Camp, Margam, Neath Port Talbot",On 1st Ed. OS map 1877). RCAHMW investigation 1967. GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,1st Identified Map Depiction (1877); Other (1967); Other (2005)
2411,"Caer Blaen-y-Cwm, Margam, Neath Port Talbot (Caer Blaen y Cwm)",RCAHMW investigation 1965. GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,Other (1965); Other (2005)
2412,"Piercefield Great Camp, Monmouth (Pierce Wood Camp)",On 1st Ed. OS map (1881-82). GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,Other (2005); 1st Identified Map Depiction (1881-1882)
2413,"Narborough Camp, Norfolk (Camphill)",1st Ed OS map (1885-1900). Earthwork survey 1988 (Rickett 1991).,Earthwork Survey (1988); 1st Identified Map Depiction (1885-1900)
2414,"Thetford Castle, Norfolk","On 1st Ed OS map. Excavations in 1962 (Rainbird Clark) and 1985-5 (all in Davies and Gregory 1991), geophysical survey 1984. Various watching briefs and metal detecting finds since 1984 (HER).",Excavation (1962); Geophysical Survey (1984); 1st Identified Map Depiction (1885-1900); Excavation (1985-1986)
2415,"Bloodgate Hill, Norfolk (Burgh Dykes; Burrow Dykes)","In Aubrey's Monumenta Britannica (1665-1693). Shown on Faden's map of 1973, on 1st Ed OS map (1885-1900). Earthwork survey in 1973. Geophysics and excavation in 2003 (Penn 2006). Aerial photographs (HER).",1st Identified Map Depiction (1797); Earthwork Survey (1973); Geophysical Survey (2003); Excavation (2003); 1st Identified Written Reference (1665-1693)
2416,"Holkham, Norfolk",In Sire Hery Spelman's 'Icenia' published in 1698 but written a century before. On Bryant's map of 1826 and 1st Ed OS map (1885-1900). Earthwork survey 1976. Aerial photographs (HER).,1st Identified Written Reference (1698); 1st Identified Map Depiction (1826); Earthwork Survey (1976)
2417,"Piercefield Little Camp, Monmouth (Pierce Wood Camp)",On 1st Ed. OS map (1881-87). GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,Other (2005); 1st Identified Map Depiction (1881-1887)
2418,"Warham Burrows, Norfolk","Shown on an estate map of 1783 as an earthwork, now ploughed flat and rediscovered as a cropmark by aerial photography in 1953. geophysics and excavation in 1959",1st Identified Map Depiction (1783); Other (1953); Geophysical Survey (1959); Excavation (1959)
2419,"Warham Camp, Norfolk","Shown on a map of 1712 as complete (Rickett 1991), on 1st Ed OS map (1885-1900), many aerial photographs (HER). Excavations in 1914 (Gray 1933) and 1959 (Gregory 1986)",1st Identified Map Depiction (1712); Excavation (1914); Excavation (1959)
2420,"Tasburgh, Norfolk","Decsribed by Camden in the 17th century. Excavations in 1948 and 1975-80, geophysical survey in 1983.",Excavation (1948); Geophysical Survey (1983); 1st Identified Written Reference (1601-1700); Excavation (1975-1980)
2421,"Warren Hill, Briton Ferry, Neath Port Talbot",RCAHMW investigation 1967. GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,Other (1967); Other (2005)
2422,"Castell Morlais, Merthyr Tydfil (Morlais Castle)",On 1st Ed. OS map (1875-87). RCAHMW investigation 1965. GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,Other (1965); Other (2005); 1st Identified Map Depiction (1875-1887)
2423,"Great House Camp, Monmouth",On 1st Ed. OS map (1882). GGAT Prehistoric defended enclosures in Glamorgan survey 2005. GGAT/ H. Wiggins geophysical survey 2006 (Gerrard et al 2006).,1st Identified Map Depiction (1881); Other (1991); Other (2005); Geophysical Survey (2006)
2424,"Trellech Gaer, Monmouth (Gaer Hillfort, Trellech)",On 1st Ed. OS map (1881). GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,1st Identified Map Depiction (1881); Other (2005)
2425,"Castell Prin, Newport",On 1st Ed OS map (1882). GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,1st Identified Map Depiction (1882); Other (2005)
2426,"Llanmelin Wood Camp and Llanmelin Outpost, Caerwent, Monmouth",On 1st Ed. OS map (1882). Excavations by Nash-Williams 1930-32. GGAT Prehistoric defended enclosures in Glamorgan survey 2005. Community excavations by CADW 2013.,1st Identified Map Depiction (1882); Other (1991); Other (2005); Excavation (2013); Excavation (1930-1932)
2427,"Craig-y-Dinas, Hirwaun, Rhondda Cynon Taff",GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,Other (2005)
2428,"Gaer Fawr Camp, Llangwm, Monmouth",On 1st Ed. OS map (1882). GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,1st Identified Map Depiction (1882); Other (1991); Other (2005)
2429,"Sudbrook Camp, Monmouth",On 1st Ed. OS map (1882-87). Excavation Nash-Williams 1939. Excavation and survey 1998-99 by S.H. Sell. GGAT survey 2000. GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,Excavation (1939); Other (1991); Other (2000); Other (2005); 1st Identified Map Depiction (1882-1887); Excavation (1998-1999)
2430,"The Bulwarks, Chepstow, Monmouth (Bulwarks Camp)",On 1st Ed. OS map (1881-88). GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,Other (1991); Other (2005); 1st Identified Map Depiction (1881-1888)
2431,"The Heugh, Detchant, Northumberland",General reference in MacLauchlan (1864).  Recorded on 1856-1865 OS mapping.  Field investigations in 1964 and 1968,1st Identified Written Reference (1864); Other (1964); Other (1968); 1st Identified Map Depiction (1856-1865)
2432,"Ysgyryd (Skirrid) Fawr, Monmouth",GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,Other (1991); Other (2005)
2433,"Pen Twyn, Llanfihangel Crucorney, Monmouth (Pentwyn)",On 1st ED. OS map (1881). GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,1st Identified Map Depiction (1881); Other (2005)
2434,"Craig Ruperra, Caerphilly (Ruperra Hillfort)",GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,Other (2005)
2435,"Twyn y Gaer, Llanfihangel Crucorney, Monmouth",Excavation by A. Probert 1965-1970's? GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,Other (1982); Other (2005); Excavation (1965-1979)
2436,"Westwood Corner, Vale of Glamorgan",Trench rescue excavation by Owen-John 1981 - no details. GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,Excavation (1981); Other (2005)
2437,"Llancayo Camp, Monmouth (Campswood; Camp Wood)",On 1st ED. OS map (1882).,1st Identified Map Depiction (1882); Other (1991)
2438,"Coed y Bwnydd Camp, Monmouth (Coed-y-Bwnyff)",On 1st Ed. OS map (1882). Excavation by K. Babbidge 1969-71. GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,1st Identified Map Depiction (1882); Other (1991); Other (2005); Excavation (1969-1971)
2439,"Mitchel-Troy Enclosure, Monmouth",RCAHMW investigation 1999. GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,Other (1999); Other (2005)
2440,"Wighton Camp, Norfolk","Aerial photography (in HER) and excavation in 1974 (Lawson 1976), metal detecting between 2004 and 2013.",Excavation (1974); Other (1974); Other (2004-2013)
2441,"Crabb's Castle, Norfolk","Described in 1807 (Blomefiled), on 1st Ed OS map (1885-1900)",1st Identified Written Reference (1807); 1st Identified Map Depiction (1885-1900)
2442,"Copy's Green, Norfolk","Aerial photographic evidence from 1953 and 1987, excavation in 1957 and 1958.",Other (1953); Other (1987); Excavation (1957-1958)
2443,"Tharston, Norfolk",First identified on 1946 aerial photograph,Other (1946)
2444,"Dun Bhronaig, Argyll & Bute","Named and depicted as a topographical feature on the early editions of the OS 6-inch map (Argyll and Bute 1873, sheet 169), it was first noted as an antiquity by J Symington Grieve in 1924",1st Identified Written Reference (1924); Other (1957); Earthwork Survey (1959); Other (1963); 1st Identified Map Depiction (1973); Other (1977); Earthwork Survey (1982)
2445,"Dun a' Bhealaich, Argyll & Bute",The Society of Antiquaries Manuscript collection (SAS 467) held by RCAHMS also contains a plan drawn up in the second half of the 19th century by Christian Maclagan (RCAHMS DC53011),1st Identified Written Reference (1830); 1st Identified Map Depiction (1869); Other (1957); Earthwork Survey (1959); Other (1963); Other (1973); Other (1977); Earthwork Survey (1982)
2446,"Dun a' Chogaidh, Argyll & Bute",NA,1st Identified Map Depiction (1869); Other (1957); Earthwork Survey (1959); Other (1963); Other (1973); Other (1977); Earthwork Survey (1982)
2447,"Dun Mor, Drimnagall, Argyll & Bute",NA,1st Identified Written Reference (1963); 1st Identified Map Depiction (1973); Other (1977); Earthwork Survey (1982)
2448,"Dun Mhuirich, Argyll & Bute",NA,1st Identified Map Depiction (1869); Other (1898); Other (1955); Other (1957); Earthwork Survey (1959); Other (1963); Other (1973); Other (1977); Earthwork Survey (1982); Excavation (2012)
2449,"An Fang, Craignish Point, Argyll & Bute",NA,1st Identified Written Reference (1947); Other (1963); 1st Identified Map Depiction (1970); Other (1977); Other (1982)
2450,"Arran, Drumadoon, The Doon, North Ayrshire","Mentioned by Martin Martin about 1695 and subsequently visited by Thomas Pennant in the late 18th century (see Balfour 1910, 189-91), the fort has been long known before appearing on the 1st edition of the OS 25-inch map. Aerial photographs were taken by RCAHMS in 1996 and again in 2013.",1st Identified Written Reference (1695); 1st Identified Map Depiction (1864); Earthwork Survey (1910); Other (1977); Other (1987); Other (2009); Other (2010)
2451,"Arran, Auchencar, North Ayrshire",NA,1st Identified Map Depiction (1977)
2452,"Carradale Point, Argyll & Bute (Kilbrannan Sound)",Photographed by CUCAP in 1968,1st Identified Written Reference (1794); Other (1843); 1st Identified Map Depiction (1867); Earthwork Survey (1894); Other (1955); Earthwork Survey (1960); Other (1961); Earthwork Survey (1965); Other (1978)
2453,"Carradale, Argyll & Bute",NA,Other (2009); Other (2015)
2454,"Dun Buidhe, Argyll & Bute","Initially identified by Campbell and Sandeman and confirmed by the OS, it was dismissed as a natural feature during the preparation of the County Inventory for Argyll, but fieldwork by R Regan sponsored by the Forestry Commission since has identified traces of walling.",1st Identified Written Reference (1963); 1st Identified Map Depiction (1973); Other (1977); Other (1986); Other (2005)
2455,"Binnein Mor, Argyll & Bute",Also photographed from the air by CUCAP,1st Identified Map Depiction (1865); Earthwork Survey (1903); Other (1963); Other (1970); Earthwork Survey (1983)
2456,"Duntroon, Argyll & Bute",NA,1st Identified Map Depiction (1865); Excavation (1904); Other (1933); Other (1963); Other (1973); Other (1977); Earthwork Survey (1981); Other (2013)
2457,"The Knave, Rhossili, Swansea (Deborah's Hole Camp)",On 1st Ed. OS map (1879). Excavation by Audrey Williams 1938. RCAHMW investigation 1965. GGAT Prehistoric defended enclosures in Glamorgan survey 2005. Topographic and geophysical surveys (Hart 2014),1st Identified Map Depiction (1879); Excavation (1938); Other (1965); Other (1986); Other (2005); Earthwork Survey (2014); Geophysical Survey (2014)
2458,"Yellow Top, Paviland, Swansea (Paviland Camp)",On 1st Ed. OS map (1879). RCAHMW investigation 1995. GGAT Prehistoric defended enclosures in Glamorgan survey 2005. Topographic and geophysical surveys (Hart 2014),1st Identified Map Depiction (1879); Other (1965); Other (1986); Other (2005); Earthwork Survey (2014); Geophysical Survey (2014)
2459,"Maiden Castle, Oxwich, Swansea (Oxwich Point)",RCAHMW investigation 1962. GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,Other (1962); Other (2005)
2460,"Thurba Head, Swansea (Thurba Camp)",On 1st Ed. OS map (1879). RCAHMW investigation 1964. GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,1st Identified Map Depiction (1879); Other (1964); Other (1986); Other (2005)
2461,"Bruach An Drumein, Poltalloch, Argyll & Bute (Bruach An Druimein)","Both Bronze Age and long cists had previously been found on the site (see RCAHMS 1988, 80-3, no.104).",1st Identified Written Reference (1959); Excavation (1960); Excavation (1961); Excavation (1962)
2462,"Horse Cliff Camp, Swansea",On 1st Ed. OS map (1879). RCAHMW investigation 1965. GGAT Prehistoric defended enclosures in Glamorgan survey 2005.,1st Identified Map Depiction (1879); Other (1965); Other (1986); Other (2005)
2463,"Ballygowan, Argyll & Bute (Barr a' Chuirn)",NA,1st Identified Map Depiction (1865); Earthwork Survey (1903); Other (1963); Other (1970); Other (1973); Other (1977); Earthwork Survey (1982)
2464,"Dun na Maraig, Argyll & Bute",NA,1st Identified Written Reference (1903); Other (1955); Other (1963); 1st Identified Map Depiction (1973); Other (1977); Earthwork Survey (1982)
2465,"Kilmichael Glassary, Argyll & Bute (Creagan Breac)",NA,1st Identified Written Reference (1972); 1st Identified Map Depiction (1973); Other (1977); Other (1987)
2466,"Dunadd, Argyll & Bute",RCAHMS collection also contains a wide range of photographic material and aerial photographs.,1st Identified Written Reference (1833); Other (1850); 1st Identified Map Depiction (1865); 1st Identified Map Depiction (1878); Earthwork Survey (1903); Excavation (1904); Excavation (1905); Earthwork Survey (1905); Excavation (1929); Earthwork Survey (1
2467,"Arran, Creag Dhubh, North Ayrshire",NA,Other (2005); Other (2009)
2468,"Arran, Creagdhu, North Ayrshire (Craig Dhu)",Photographed from the air by RCAHMS in 2005,1st Identified Written Reference (1837); 1st Identified Map Depiction (1864); Other (1910); Other (1977); Other (1993)
2469,"Arran, Cnoc a' Chlochair, North Ayrshire",NA,1st Identified Map Depiction (1864); Earthwork Survey (1910); Other (1973); Other (1988)
2470,"Arran, Lochranza, Torr An T' Sean Chaisteal, North Ayrshire (Coillemore Burn)",NA,1st Identified Map Depiction (1864); Other (1910); Other (1953); Other (1977)
2471,"Caisteal na Sidhe, Argyll & Bute",NA,1st Identified Written Reference (1942); Other (1967); Other (1973); Other (1985)
2472,"Creag a' Chaisteal, Stillaig, Argyll & Bute",NA,1st Identified Map Depiction (1865); Other (1942); Other (1972); Other (1976); Other (1988)
2473,"Bute, Aultmore Burn, Argyll & Bute",NA,1st Identified Written Reference (1846); 1st Identified Map Depiction (1864); Earthwork Survey (1893); Other (1973); Other (2009)
2474,"Auchalick Wood, Argyll & Bute",NA,1st Identified Map Depiction (1865); Other (1942); Other (1976); Earthwork Survey (1986); Other (1994)
2475,"Barr Lagan, Argyll & Bute","Photographed from the air by RCAHMS in 1986, 1987, and 1999.",Other (1937); Other (1942); Other (1960); 1st Identified Map Depiction (1965); Other (1972); Other (1974); Earthwork Survey (1985)
2476,"Barranlongairt, Argyll & Bute (Auchnaha)",NA,1st Identified Map Depiction (1865); Other (1937); Other (1942); Other (1972); Earthwork Survey (1985)
2477,"Barr An Longairt, Argyll & Bute (Barr An Taolain)",Photographed from the air by RCAHMS in 1987 and 1999.,1st Identified Map Depiction (1865); Other (1937); Other (1942); Other (1972); Other (1975); Earthwork Survey (1985); Other (1994)
2478,"Allt An Dubhair, Argyll & Bute",NA,1st Identified Written Reference (1962); 1st Identified Map Depiction (1970); Earthwork Survey (1983); Other (2012)
2479,"Dun Mor, Dunchraigaig, Argyll & Bute (Ballymeanoch)",NA,1st Identified Written Reference (1961); 1st Identified Map Depiction (1970); Other (1977); Earthwork Survey (1982); Other (2008)
2480,"Mingulay, Dun Mhiughlaigh, Western Isles (Dun Mingulay)",Photographed by RCAHMS Aerial Survey Programme in 2003,1st Identified Written Reference (1915); 1st Identified Map Depiction (1965); Earthwork Survey (1973); Other (2003)
2481,"Berneray, Dun Briste, Western Isles",Photographed by RCAHMS from the air in 2003 and 2011,1st Identified Map Depiction (1878); Other (1915); Other (1965); Other (1992); Other (2010)
2482,"Berneray, Barra Head Lighthouse, Western Isles (Sron An Duin; Skate Point; Dun Bernera; Dun Bhearnaraidh)",Photographed by RCAHMS from the air in 2003 and 2011,Earthwork Survey (1865); 1st Identified Map Depiction (1878); Earthwork Survey (1887); Other (1890); Earthwork Survey (1915); Other (1934); Other (1965); Other (1988); Other (1992); Other (2010)
2483,"Vatersay, Biruaslum, Western Isles (Bhatarsaigh; Bioruaslum)",NA,Other (1915); 1st Identified Map Depiction (1965); Other (1998)
2484,"Mingulay, Geirum Mor, Western Isles",Photographed from the air by RCAHMS in 2003,1st Identified Map Depiction (1878); Other (1915); Other (1915); Other (1965); Other (2010)
2485,"Tiree, Dun na Cleite, Argyll & Bute",NA,1st Identified Map Depiction (1878); Other (1903); Other (1972); Other (1972); Earthwork Survey (1977)
2486,"Tiree, Hynish, Argyll & Bute (Dun Hynish)",Photographed from the air by RCAHMS in 2010,1st Identified Written Reference (1903); Other (1960); 1st Identified Map Depiction (1972); Other (1973); Other (2002)
2487,"Tiree, Eilean na Ba, Argyll & Bute (Beinn Ceann a' Mhara; Rinn Thorbais)",Photographed from the air by RCAHMS in 2010,1st Identified Written Reference (1903); 1st Identified Map Depiction (1924); Other (1972); Earthwork Survey (1975); Other (1997)
2488,"Tiree, Dun Nan Gall, Argyll & Bute (Ceann a' Mhara)",NA,1st Identified Map Depiction (1878); Other (1903); Other (1963); Other (1972); Earthwork Survey (1975); Other (1997)
2489,"Tiree, Dun Balephetrish, Argyll & Bute",NA,1st Identified Map Depiction (1877); Other (1903); Other (1972); Earthwork Survey (1974)
2490,"Tiree, Dun Hiader, Argyll & Bute (Dun Shiadair)",Probably one of the Danish forts marked generally on John Thomson's map of the Northern Part of Argyll Shire (1824). There is also an extensive photographic archive held by RCAHMS.,1st Identified Map Depiction (1878); Other (1901); Other (1962); Other (1972); Earthwork Survey (1974); Other (2002)
2491,"Coll, Dun Dubh, Argyll & Bute",Photographed from the air by RCAHMS in 1997,1st Identified Written Reference (1900); Earthwork Survey (1959); 1st Identified Map Depiction (1972); Earthwork Survey (1975)
2492,"Coll, Ballyhaugh, An Caisteal, Argyll & Bute",Photographed from the air by RCAHMS in 1997,1st Identified Written Reference (1901); 1st Identified Map Depiction (1972); Earthwork Survey (1975)
2493,"Coll, Feall Bay, Argyll & Bute",Photographed from the air by RCAHMS in 1998.,1st Identified Written Reference (1901); 1st Identified Map Depiction (1972); Earthwork Survey (1975); Other (2002)
