Main_Atlas_Number,Main_Display_Name,Management_Condition_Comments,Management_Land_Use_Comments,Management_Condition_Extant,Management_Condition_Cropmark,Management_Condition_Destroyed,Management_Land_Use_Woodland,Management_Land_Use_Plantation,Management_Land_Use_Parkland,Management_Land_Use_Pasture,Management_Land_Use_Arable,Management_Land_Use_Scrub,Management_Land_Use_Moorland,Management_Land_Use_Heath,Management_Land_Use_Urban,Management_Land_Use_Coastal,Management_Land_Use_Other
2190,"Parc-Castell, Llangeler, Carmarthenshire (Parc Castell)",Much mutilated by agriculture.,"Modern field boundary cuts site into two, with majority of site to NE within area of inaccessible overgrown trees and scrub. To SW under pasture.",Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
2191,"Castell, Pencader, Carmarthenshire (Banc)",Much damage to site through erection of former television mast and farm animals.,"Under pasture, with some gorse on bank.",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
2192,"Craig Gwrtheyrn, Carmarthenshire (Craig-Gwrtheyrn; Caer Gwrtheyrn)",Ramparts to SW well-preserved.,Pasture interior with bracken. Entrance wooded. Much bare rock. Wooded surrounding slopes.,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
2193,"yr Hen Castell, Llanfihangel-Ar-Arth, Carmarthenshire (Hen Castell)",Only trace survives result of farming practice.,"Improved pasture interior, overgrown with scrub and trees on N and W.",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
2194,"Castell Pant y Fen, Carmarthenshire",Much damaged.,Fenced off woodland.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
2195,"Castell Pyr, Llanllwni, Carmarthenshire",Road bisects site. Castle Pyr cottage grounds in S. Much erosion since Ordnance Survey visited site in 1968.,Most under improved pasture with wooded Castle Pyr cottage grounds in S.,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes
2196,"Cnoc Araich, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No
2197,"Sron Uamha, Argyll & Bute (Balemacruma)",NA,NA,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No
2198,"y Fan, Carmarthenshire (Fan Camp)",Fair condition.,Grazing with bare rock and shallow soil. Slopes forested to N and E.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2199,"Pen-y-Gaer, Meidrim, Carmarthenshire (Bron-y-Gaer I)",Concrete platform built on bank.,Under improved pasture,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2201,"Castell-y-Gaer, Newchurch, Carmarthenshire","Hedge line divides site NNW-SSE, with another hedge line on NW quadrant banks.",Pasture interior with scrub/hedge to NW.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
2202,"Allt-y-Cnap, Carmarthenshire",Ploughed.,"Under improved pasture with wooded slopes to N, NE and NW.",No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
2204,"Parc Cynog Farm, Carmarthenshire (Parccyn)","Located in field. periodically ploughed up to outer bank, but generally fair condition.","Under pasture, with gorse and brambles.",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
2205,"Llanstephan Castle, Carmarthenshire (Llansteffan Castle)",Beneath medieval castle. Public access site.,Hillfort earthworks utilised in castle defences.,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes
2206,"Cullan Doon, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2207,"Castell Gorwyn, Castell Gorwyn Farm, Carmarthenshire (Parc y Castell)",Much reduced and spread. Ploughed.,"Under improved pasture, but ploughed.",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2208,"Pen-y-Gar, Llanpumsaint, Carmarthenshire (Pen y Gaer; Pen y Gar)",Eroded and reduced with in-filled ditch. Old quarry removed part of W end.,"Interior overgrown. Bank bracken covered with occasional deciduous trees. Surrounding woodland to N, S and W. Old quarry.",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes
2209,"Achnaclach, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2210,"Balloch Hill, Argyll & Bute (Bealloch Hill)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2211,"Pen y Gaer, Sarnau, Carmarthenshire (Sarnau)",Much reduced since 1967 at least.,Under improved pasture. Woodland to N. S and W.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2212,"Pencaerau-Bach, Carmarthenshire",Hedgebank runs along most of inner bank. Both outer banks affected by hedge removal.,"Under improved pasture now, but formerly wooded. Wooded to N, E and S.",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2214,"Pen-y-Gaer, Abernant, Carmarthenshire",Ploughed-down.,"Pasture interior, wooded slopes to E side.",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2215,"Cilcrug, Carmarthenshire",Much ploughed-down and farm buildings and garden destroyed defences to NE.,Under improved pasture with farm buildings and garden.,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No
2216,"Dinas Fawr, Llangeler, Carmarthenshire (Dinas Bran)",Ploughed-down.,Under improved pasture and bare rock.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2217,"y Gaer Wen, Carmarthenshire",Much mutilated and W half nearly levelled.,"Overgrown with brambles, bracken and gorse and fenced off from surrounding pasture field, making interpretation difficult.",Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2218,"Castell Henfryn, Carmarthenshire",W part levelled.,Improved pasture. Wooded slopes to N and E.,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2219,"Ranachan Hill, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2220,"Largiemore, Argyll & Bute (Ballergie Dun)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2221,"Westport, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No
2222,"Machrihanish, Argyll & Bute",NA,NA,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
2223,"Killocraw, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2224,"Caer Blaen Minog, Carmarthenshire",Track into enclosure probably damaged site.,"Pasture interior, banks and ditches covered with large trees and scrub. Wooded surrounds from NW to SE.",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
2227,"Gigha, Dun Chibhich, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
2228,"Top Castle, Carmarthenshire",Fair condition.,"Under rough grazing, with bramble, gorse and bracken to varying degrees. Surrounding woodland to N and W. Rock outcrops on surrounding slopes.",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
2229,"Glan-y-Mor Fort, Laugharne, Carmarthenshire","Setting and site much affected by development. Because of development, including road on S, and change in coastline through erosion since the Iron Age, the site could have lost all of its S side.",Site lies within open space of holiday camp.,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes
2230,"Woodreefe Castle, Carmarthenshire (Marros Castle; The Castle, Marros; The Castle, Woodreefe)","Fair condition. Affected by buildings at SE corner, including track along E side to Woodreefe.","Semi-improved pasture interior, scrub and wooded surrounds, including plantation.",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
2231,"Cwm-Felin Boeth, Carmarthenshire (Cwm-Felin Boeth; Drewfach)",Nearly destroyed.,Under improved pasture.,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
2232,"Castle Lloyd Camp, Carmarthenshire (Castle-Lloyd Camp)",Bank massive and in good condition.,"Under pasture with bracken and gorse into interior. Wooded surrounds to E, S and W.",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
2233,"Clog-y-Fran, Carmarthenshire (Castell Hill)",Much reduced by ploughing on N and W and stone removal of banks. Affected by field boundary.,Under pasture with scrub on S.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2234,"Castell Pen-y-Coed, Carmarthenshire",Well-preserved good example of inland promontory fort.,Interior under rough grazing. Banks with trees and scrub. Wooded slopes on E.,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
2235,"Gigha, Dunan An T-Seasgain, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
2236,"Kildalloig, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
2237,"Parc-y-Gaer, Colston, Carmarthenshire (Parc y Gaer; Pant Glas; Parccyn)",Bank part ploughed on W and ditch ploughed.,Under improved pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2238,"Castell Mawr, Trelech-A'R-Bettws, Carmarthenshire",Affected by field banks on E and S sides.,Under improved pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2239,"Pencastell, Llanwinio, Carmarthenshire (Pen-y-Castell)",Part of outer rampart removed 1984.,"Deciduous woodland and scrub, with outer rampart formerly in pasture field, but removed 1984.",Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
2240,"Hafod Camp, Carmarthenshire",Fair condition with substantial banks.,Improved pasture.,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
2241,"Pen y Gaer Fawr, Penlan, Carmarthenshire (Pengare Vawr; Pangare Vach)",Almost destroyed.,Under improved pasture.,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
2242,"Castell Bron Niwl, Carmarthenshire (Castell Bron-Niwl)","Bulldozed and ploughed from 1985 and levelled 1983. Now cropmark only, but bank just visible as a slight rise 15-20m wide and ditch as a slight hollow.",Under improved pasture with ood to E.,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No
2246,"Cae Castell, Llangathen, Carmarthenshire","Much reduced by ploughing, but some survives.",Rough grass and scrub.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2248,"Castell Mawr, Llanwinio, Carmarthenshire",Reduced but fair condition.,"Pasture interior, trees and scrub on banks.",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2249,"Carnawllon-Fawr, Carmarthenshire",Largely destroyed.,Rough grass and scub.,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
2250,"Cefn Gaer, Carmarthenshire (Bron y Gaer; Bronygaer)","Visible as cropmark, but also just visible on-site as low remains.",Improved pasture that is regularly ploughed.,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No
2251,"Dan Lan y Castell, Carmarthenshire",Much denuded.,Rough pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2253,"Coygan Camp, Carmarthenshire",Site destroyed by quarry.,Quarry.,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
2254,"Court Wood, Carmarthenshire",No details.,"On E under improved pasture, where good N bank. Larger part of site adjoins forestry on W, although not afforested itself. Here interior and defences overgrown with gorse, shrubby oak trees and wood, brambles and bracken.",Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
2255,"Allt Clog-y-Fran, Carmarthenshire (Allt Glog-y-Fran)",NA,Under pasture with surrounding trees except on N.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2257,"Parc y Gaer, Carmarthen, Carmarthenshire",Nearly ploughed out. Only 180m length of banks and ditches left.,Under pasture with banks covered with small trees and scrub.,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2258,"Blaen-Maes, Pencarreg, Carmarthenshire (Frondeg Blaen-Maes)","Ploughed ramparts, but still visible on site.",Under improved pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2259,"Danycerrig, Carmarthenshire (Dan y Cerig; Dan-y-Cerig; Cerig Fawr)",Gorse and scrub overgrowth make interpretation difficult.,Much overgrown with scrub and trees and bare rock in places  on W and rough grass on E.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2260,"Cefn Crug, Carmarthenshire (Ystrdwal)",Much denuded and banks deliberately flattened. Visible as cropmark and just survives as earthwork.,Improved pasture. Wooded to E and W.,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No
2261,"Glenehervie, Argyll & Bute (Polliwilline; Glenhervie)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2262,"Kildonan Point, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No
2263,"Baraskomill, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2264,"Ballywilline Hill, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2265,"Belfield, Argyll & Bute (Craighuller)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2266,"Saddell House, Argyll & Bute (Saddell House Policies)",NA,NA,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
2267,"Killean, Argyll & Bute",NA,NA,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
2268,"Dun Skeig, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2270,"Castell y Waun, Carmarthenshire (Tregadogan; Castellywaun)",Almost destroyed.,Improved pasture.,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
2271,"Allt Abercothi, Carmarthenshire (Pont Ar Gothi)",Telephone mast and small defunct quarry in interior.,"Improved pasture, with woodland on slopes to SW. Telephone mast and small defunct quarry.",Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes
2272,"Mandinam, Carmarthenshire","Much ploughed down. Small, disused quarry NW end of ridge.",Under rough grass and bracken. Wooded surrounds NE-SE. Quarry.,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes
2273,"Sugar Loaf, Carmarthenshire",Well-preserved.,Upland heath and scrub. Overgrown.,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
2275,"Cefnbenydd, Carmarthenshire",Site almost gone and mostly cropmark.,Under pasture but rarely ploughed. Isolated tree to N.,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No
2276,"Gilman Point and Napps Circle, Carmarthenshire (Gilman Camp; Nappo Camp; Napps Circle; Napps Camp; Napp's Head; Napp's Head Camp)",Coastal path.,"The whole site is under rough coastal pasture, bracken and gorse.",Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No
2277,"Maes Ifan, Carmarthenshire","Remains only, but few details.",Under rough grazing.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2279,"Castell Bach, Llanrhystyd, Ceredigion (Castell Gwarfelin)",Much ploughed interior.,Improved pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2280,"Castell Mawr, Ceredigion (Castell-Mawr)",Nearly destroyed and only traces remain on surface.,Improved pasture. Densely wooded slopes on W sides.,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
2281,"Ardpatrick, Cnoc Breac, Argyll & Bute",NA,NA,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
2282,"Dun Mor, Argyll & Bute",NA,NA,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
2283,"Dun na H-Earb, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2284,"Dun na Doide, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
2285,"Castell Olwen, Ceredigion",Fair condition in places.,Wooded banks surround an improved pasture interior.,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
2286,"Gaer-Wen, Llangranog, Ceredigion (Garn Wen)",Fair condition.,Rough pasture with bracken and scrub.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
2287,"a' Chrannag, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2288,"Gaer Wen, Pen-y-Graig, Ceredigion (Garn Wen, Llandysul)",Damaged. Ruins of Garn-wen farm overlie outer defences.,Wooded surrounding slopes to N and W.,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
2289,"Foel y Mwnt, Ceredigion",Visitor erosion problem on banks.,Rocky site with coastal grassland.,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No
2290,"Dun a' Chaisteil, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2291,"Dun a' Bhuilg, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2292,"Sithean Buidhe, Argyll & Bute",NA,NA,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
2293,"Thornbury, Oxfordshire (Binsey)",NA,NA,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
2294,"Rubha Cladh Eoin, Argyll & Bute (Loch Sween; Port Lunna)",NA,Previously under conifers,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
2295,"Ynys Lochtyn, Ceredigion (Ynyslochdin)",Fair condition.,Grazed coastal grassland and bare rock. Possible WWII installation.,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
2296,"Castell Nantperchellan, Ceredigion",Fair condition.,Covered in dense scrub.,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2297,"Caer Penrhos, Ceredigion (Caer Pen-Rhos; Castell Penrhos)",Site below ringwork and medieval castle remains.,Improved pasture with some scrub on banks. Ringwork and medieval castle remains.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes
2298,"Pendinas Lochtyn, Ceredigion (Pen Dinas Lochtyn; Pendinaslochtyn; Pendinaslochdin; Pendinaslochdyn)","Fair condition, but MOD station on the site and modern road. Public access.",Rough pasture. MOD station on site and road.,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes
2299,"Castell Blaen-Igau, Ceredigion","Reasonably intact, but cultivated.","Interior cultivated, banks scrub.",Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No
2300,"Llangranog, Ceredigion","Past quarrying on slope edge, but possible little damage.",Much gorse and bracken hinders investigation.,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2301,"Gaer Lwyd, Ceredigion","Ramparts partly fossilised within field boundaries on S and E sides, rest ploughed in past.",Improved pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2302,"Pen Coed-Foel Camp, Ceredigion (Pencoed y Foel)",Site divided by field walls and covered with small quarries.,Pasture interior with some scrub on banks.,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
2303,"Castell Gwynionydd, Ceredigion (Coedfon)",Banks still massive.,Under deciduous woodland (Dan-coed-mawr Wood) amid pasture fields.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
2304,"Cwm Castell, Ceredigion",Fair condition despite undergrowth.,Woodland and scrub. Very overgrown.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
2306,"Kncoklane, Sligo (Ballineden)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2307,"Castell Bach, Cwm Tydi, Ceredigion (Castell-Bach)",Defences now possibly only a quarter of what could have been a circle in prehistory and interior of the fort now very small as a result of substantial sea erosion.,Under pasture.,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
2308,"Castell Bach, Penbryn, Ceredigion (Castell-Bach, Penbryn)",Affected by coastal erosion. Cerrig-y-Ty rock to seaward possibly part of site in prehistory.,Interior improved pasture and defences under scrub.,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
2309,"Caer Cadwgan, Cellan, Ceredigion (Caer Morrice; Gelli-Gaer Hillfort)","Tumbled walls now scree-like, but well-preserved. Probably robbed for post-medieval field walls. Affected by post-medieval field boundaries and partial moorland reclamation.",Rocky upland grassy moorland and scrub.,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No
2310,"Castell Goetre, Ceredigion (Castell Goedtref)","Part eroded by ploughing and split up into fields, but main defences more or less visible apart from N. On N side the defences much reduced.",Under improved pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2311,"Mynachlog-Uchaf, Ceredigion","Degraded since 1960, probably due to cultivation. Hedge line divides site into two fields: NE and SW.","Improved pasture, formerly under arable.",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2312,"Mullaghmore, Sligo",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2313,"Ballyconnell, Sligo (Duneel)",NA,NA,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
2314,"y Gaer, Ciliau Aeron, Ceredigion",Fair condition.,Improved pasture interior and rampart overlain by field boundary tree banks on N and E.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2315,"Castell Moeddyn, Ceredigion (Castell Moedidn)",Fair condition.,Improved pasture with scrub on banks in places.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
2316,"Castell Moeddyn Fach, Ceredigion (Castell Moedd Yn Fach; Castell Moeddin Fach)",Fair condition.,Bracken covered.,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
2318,"New Cross Camp, Ceredigion (Gors Hillfort; Cefn y Gaer)",Badly damaged by cultivation and field banks. Badly cut into by disused quarry on NE quadrant along c. 50% of internal area. Remaining earthworks in good condition.,Improved pasture with scrub on steep slopes. Quarry.,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes
2319,"Old Warren Hill, Ceredigion","Rampart well-preserved at W end, but poor elsewhere, with much animal damage.",Dense deciduous woodland and scrub.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
2320,"Pen-y-Felin Wynt, Ceredigion (Coed Lluest)",Impressive faade,Stony and bracken covered rough grazing. Surrounded by woodland apart from promontory neck on E.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
2322,"Caer Argoed, Ceredigion",Badly damaged by ploughing in past. Possibly affected by a lane to N.,"Under improved pasture, with some gorse scrub on annexe banks.",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
2323,"Gaer Fawr, Llanilar, Ceredigion (Pen y Caerau)","Ploughing on parts of W bank, reducing to scarp and spreading remains, and interior damaged site.",Improved pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2324,"Cefn Blewog Camp, Ceredigion",Seemingly incomplete site.,"Grassy scrubby interior with scattered trees, wooded banks on N and E and forestry on surrounding slopes, cleared on W.",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
2325,"Coed Allt-Fedw Camp, Ceredigion",Damaged through afforestation.,Ploughed and planted with coniferous trees - part cleared.,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2326,"Cnwc y Bugail, Ceredigion",Well-preserved.,Improved pasture. Encroached by forestry on W.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2327,"Castell Disgwylfa, Ceredigion (Castell)",Fair condition and impressive in places.,Mostly rocky pasture with scrub on banks on W. Wooded slopes on S and W.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2328,"Sunton, Wiltshire",Destroyed.,Ploughed.,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No
2329,"Castell-Careg-Wen, Ceredigion",No details,Rough upland pasture and scrub.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
2330,"Caer Pwll-Glas, Ceredigion (Caer Pwll Glas)",Not defined.,"Wooded interior, with grass/scrub on W bank.",Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
2331,"Caer Allt-Goch, Ceredigion",Fair condition.,Rough grazing and scrub interior and gorse on some ramparts.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
2332,"Caer Lletty-Llwyd, Ceredigion (Caer Llety Llwyd)",Fair condition.,Interior under improved pasture with banks under bracken and some deciduous woodland.,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
2333,"Capel Bangor Camp, Ceredigion (Caerau; Castell yr Aber)",Almost ploughed out.,Improved pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2334,"Penrhyn Coch Camp, Ceredigion (Garth Penrhyn-Coch)",Damaged by ploughing.,Improved pasture interior with some scrub on banks.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
2335,"Pen-y-Darren, Ceredigion (Darren Camp; Daren Camp; Banc y Darren; Banc-y-Darren)",Fair condition but site obscured by medieval mining.,Rough pasture. Medieval mining.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
2336,"Lletty-Evan-Hen, Ceredigion (Pen-y-Castell; Pen y Castell; Hen Gaer)",Ploughed in interior. Sheep scrapes on banks. Fair condition with strong bank and ditch.,Improved pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2337,"Castell Grogwynion, Ceredigion",Good condition.,Rough grazing.,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2338,"Castell Goginan Fach, Ceredigion (Goginan Fach; Castell Goginan-Fach;  Banc y Castell)",Improved pasture ploughed interior.,Banks under woodland which also surrounds site.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2339,"Castell Rhyfel, Ceredigion",Rampart slight. Very exposed situation probably severely eroded.,High moorland.,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
2340,"Pen-y-Frwydd Llwyd Camp, Craig Ystradmeurig, Ceredigion (Pen y Ffrwyd Bannau Camp)",Fair condition.,Rough upland grass and moorland and bare rock.,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2341,"Pen-y-Bannau, Ceredigion",Fine hillfort.,Rough upland pasture with bare rock.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2342,"Castell Nadolig, Ceredigion (Christmas Castle; Castle Christmas)",Banks now reduced to scarps. Five fields radiate outwards from the central hillfort enclosure.,Improved pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2345,"Castell Bwa-Drain Camp, Ceredigion",Fair condition.,Rough grazing.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2346,"Crug-y-Balog, Ceredigion",Nearly lost to agriculture. Defined by fossilised set of field banks in farming landscape.,Improved pasture with some wood to E and S.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2347,"Dinas Cerdin, Ceredigion (Dinascerdin)",Fair condition.,"Pasture interior with scattered trees. Woodland surrounding slopes on E, S and W.",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
2348,"Cribyn Clotas, Ceredigion (Cribyn Clotta)",Much damaged by agriculture. Boundaries fossilised within a farming landscape.,Improved pasture with gorse and bracken.,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
2349,"Castell Cwmere, Temple Bar, Ceredigion",Substantial bank and ditch visible.,"Interior under pasture, bank and surrounds under woodland.",Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
2350,"Mull, Cnoc na Sroine, Argyll & Bute (Caisteal na Srianga)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
2351,"Pen Dinas, Elerch, Ceredigion",Fair condition.,Rough rocky upland grazing.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
2352,"Hen Gaer, Bow Street, Ceredigion (Pen Gaer, Bow Street; Broncastellan; Caer Shon)",Good condition.,Improved pasture interior with trees on surrounds.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
