Main_Atlas_Number,Main_Display_Name,Landscape_Altitude,Landscape_Type_Comments,Landscape_Topography_Comments,Landscape_Topography_Dominant,Landscape_Type_Contour,Landscape_Type_Partial,Landscape_Type_Promontory,Landscape_Type_Hillslope,Landscape_Type_Level,Landscape_Type_Marsh,Landscape_Type_Multiple,Landscape_Topography_Hilltop,Landscape_Topography_Coastal,Landscape_Topography_Inland,Landscape_Topography_Valley,Landscape_Topography_Knoll,Landscape_Topography_Ridge,Landscape_Topography_Scarp,Landscape_Topography_Hillslope,Landscape_Topography_Lowland,Landscape_Topography_Spur,Landscape_Aspect_N,Landscape_Aspect_NE,Landscape_Aspect_E,Landscape_Aspect_SE,Landscape_Aspect_S,Landscape_Aspect_SW,Landscape_Aspect_W,Landscape_Aspect_NW,Landscape_Aspect_Level
1627,"Arbory Hill, South Lanarkshire",425.0,,,,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1628,"Gleannlasra, Mayo (Cashlaunirobin (The Castle of Robins Son))",25.0,This coastal promontory is situated N of Glenlossera Lodge on a steep cliff face opposite 'Cashlaunicrobin Rock or Goat Island'. It is on the W margin of an irregular promontory and is enclosed by two bank and a medial ditch.,,W-facing promontory,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1629,"Castell Moel, Bonvilston, Vale of Glamorgan (Liege Castle; Castell Ar Foel Camp)",100.0,Univallate partial contour hillfort located on low hill 820m SW of Bonvilston.,,Hill top,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
1630,"Fforestnewydd, Swansea (Fforest Newydd)",90.0,"Traces of possible oval level terrain fort, on level ground above ravine of the Nant y Crimp to E, about 2km N of Llangyfelach. General moderate surrounding slopes apart from sharp fall to E into ravine.",,Plateau edge,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
1631,"Bodsberry Hill, South Lanarkshire",400.0,,,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1632,"Knockaun, Mayo (Downpatrick)",38.0,"This promontory is situated at 'Downpatrick Head' c. 5.5km N of Ballycastle village and projects N between Bunatrahir Bay and Killala Bay on the coast of Co. Mayo. The defended promontory is situated to the N of the peninsula, recorded by Westropp as the 'Cliff Fort' and is cut off from the larger peninsula by a wall running in an E/W direction for c. 68m.",,N-facing promontory,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
1633,"Collins Burn, South Lanarkshire (Elvanfoot)",280.0,,,,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1634,"Knockaun, Mayo (Dunbriste)",45.0,"A sea stack situated off 'Downpatrick Head' c. 5.5km N of Ballycastle village on the coast of Co. Mayo. Towering to an altitude of 45m OD, the top is c. 0.1ha and it lies c. 80m off the nearest part of the headland. Westropp, 'examining its summit with a strong glass', observed a low wall of flat stones running E and W across the top",,,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1635,"Devonshaw Hill, South Lanarkshire",305.0,,,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
1636,"Coed-y-Mwstwr, Bridgend (Coedymwstwr)",110.0,"Contour hillfort located on isolated rounded hill N of Coychurch between the Ewenny and Ogmore rivers. Surrounding slopes moderate to E, stronger elsewhere.",,Isolated rounded hill,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
1637,"Mynydd y Gaer, Bridgend",225.0,"Partial contour fort located end of a SE-facing spur projecting from Mynydd y Gaer to watershed between Ewenni Fach and Afon Clun.  Steep surrounding slopes on all sides, apart from NW access from spur ridge, where moderate.",,Spur,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
1638,"Castle Ditches, Llancarfan, Vale of Glamorgan",61.0,"Large, univallate, partial contour hillfort sited on a very prominent E-W ridge between two streams and overlooking the coastal plain and River Thaw. Steep surrounding slopes to N, S and W, moderate to E.",,Ridge,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
1639,"Port Durlainne, Mayo (Dunmara)",175.0,Projecting N from the mainland the promontory is composed of high rock outcrop which cannot be accessed from the land to the S.,,,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
1640,"Parkhouse, South Lanarkshire",225.0,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
1641,"Longwell, South Lanarkshire",220.0,,,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1642,"Ceathrú na gCloch, Mayo (Dunminulla)",120.0,"The promontory rises into a level plateau of c. 2.3ha that rises 120m above the sea. The ground falls away sharply on all sides and it is connected to the mainland by a rock strewn and eroded isthmus from which a narrow path  climbs to gain the summit on the E. The only defences are recorded on the landward end running in an arc from E to W over a distance of c. 112m. Principally these comprise a rock-cut ditch and a low bank, in one place capped for a short distance by the remains of a dry-stone wall.",,,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
1643,"Woodend Burn, South Lanarkshire",310.0,,,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1644,"Woodend, South Lanarkshire",240.0,,,,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1645,"Cae Camp, Monmouth",110.0,Sub-oval contour hillfort located on sandstone ridge top above bends of the River Usk and the Sor Brook Valley. Measures  c.92m NE-SW by 65m with 0.5ha interior area. Surrounding slopes moderate to strong.,,Ridge top,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1646,"Llanfythin Camp, Vale of Glamorgan (Llanvithyn Camp)",60.0,Small inland promontory fort located on a spur above a small stream and bounded on N and S by steep-sided valleys of two small streams which meet in marshy ground short distance to E. Moderate surrounding slopes.,,Spur,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
1647,"Nash Point Camp, Vale of Glamorgan",30.0,"Much eroded coastal promontory fort on narrow SW-facing promontory between Marcoss Cwm and sea cliffs overlooking Porthcawl Point. Now only narrow strip of promontory left. Surrounding slopes to N and E moderate to strong, S and W precipitous sea cliffs.",,Coastal headland,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
1650,"South Kirkby Camp, West Yorkshire (Brierley Common)",88.0,An enclosure lying at approximately 88m OD on ground that falls away to the NE and defined by a spring in the N,,Hillslope,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
1651,"Bainbridge, North Yorkshire",251.0,A slight univallate contour fort sited at 251m OD on a knoll on a natural spur to the W of the River Bain.,,Knoll on a natural spur,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
1652,"Llwynheiernin, Swansea (Llwyn Heiernin)",107.0,"Small oval hillslope fort located on N side of Kilvey Hill, Swansea, near to Carn Nicolas hilfort (0.35km) and overlooking River Tawe. Moderate to strong surrounding slopes.",,Hillslope,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
1653,"Carn Nicholas, Swansea (Carnnicholas)",152.0,"Small site on N side of Kilvey Hill, Swanea, near Llwynlheiernin fort  (0.35km) and overlooking the River Tawe 1.2km away. Moderate to strong surrounding slopes.",,Hillslope,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
1654,"Shiel Burn, South Lanarkshire",305.0,In effect the edge of the gorge here forms a shallow promontory.,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No
1655,"Cill Ghallagáin, Mayo (Dunanierin)",10.0,"This coastal promontory is situated S of 'Kid Island' at Dunanierin, W of 'Rinroe Point', Co. Mayo. Projecting SW into Broad Haven, the headland is defended by the remains of a bank and ditch that are barely perceptible today.",,SW-facing promontory,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
1656,"Dinas Dinorwig, Gwynedd (Dinas Dinorwic)",169.0,Substantial contour hillfort located on prominent long NE-SW ridge between two marshy stream valleys of the headwaters of the Afon Cegin to SE and NW and stream running into the Afon Seiont on SW. Surrounding slopes moderate to strong.,,Long ridge,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1657,"Pen-y-Garreg, Clynnog, Gwynedd (Craig Cynan)",184.0,"Almost destroyed small, oval, univallate partial contour hillfort on N-facing spur of E-W ridge on lower slopes of Bwlch Mawr (509m O.D), above the coast and sea (1.4km), NE Llyn peninsula.  Moderate slopes to N, E and S, steeper to W.",,Spur of ridge.,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
1658,"Castell Caerau Camp, Gyrn Goch, Gwynedd",230.0,Small strongly defended rocky contour hillfort located on a small rocky hillock on a prominent spur overlooking a bend of the Afon Dwyfor to E and S and opposite to Craig y Tyddyn fort.,,Rocky hillock on spur,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
1659,"Craig-y-Tyddyn Camp, Gwynedd",130.0,Small partial contour hilfort located at the W end of a steep narrow NW-facing ridge above the Afon Dwyfor to N.,,Ridge,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No
1661,"Duncarton, Mayo",5.0,"An irregular, fortified headland, it stands on low grassy cliffs between narrow creeks projecting N into Broad Haven Bay. It is defended to the SE by a ditch and stone rampart.",,NW-facing promontory,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
1662,"Pen Dinas Camp, Llandygai, Gwynedd (Pendinas Hillfort; Pen y Dinas)",130.0,Univallate partial contour hillfort sited on a spur just above Afon Ogwen.,,Spur,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No
1663,"y Foel, Pontllynfi, Gwynedd (y Foel, Clynnon; y Foel Camp)",221.0,"Contour hillfort located on prominentr ounded ENE-WSW hill top ridge above headwaters of Afon Desach to S and W, N Llyn Peninsula. Steep surrounding slopes.",,Hill top ridge,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1664,"Maes-y-Gaer Camp, Aber, Gwynedd",223.0,"Contour hillfort in a commanding position on spur of coastal escarpment overlooking the confluence of the Afon Anafon/Afon Rhaeadr fawr to SW and the Menai Strait to NW.Very steep surrounding slopes to N, S and W, moderate upslope to E.",,Spur,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
1665,"Pen y Gaer, Cilfodan, Bethesda, Gwynedd",250.0,Contour hillfort located on a commanding position above Bethesda and the Afon Ogwen where the Nant Ffrancon Pass opens out.,,Hill top,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1666,"Castle Dykes, Roberton, South Lanarkshire",230.0,,,,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1667,"Berries Burn, South Lanarkshire (Castle Crawford Farm)",290.0,,,,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1668,"Gortbrack, Mayo (Spinkadoon)",15.0,"The approach to this headland, which projects W, is fairly level before rising to a steep knoll, sloping S from an overhanging precipice. Westropp observed that the headland has possibly two enclosing elements at its neck.",,W-facing promontory,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
1669,"Black Hill, Crawfordjohn, South Lanarkshire (Blackhill)",335.0,,,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
1670,"Aghadoon (Achadh Dúin), Mayo (Dunfiachrach)",10.0,"Standing on a high headland with narrow gullies on either side, the narrow irregular promontory is connected to the mainland by a low neck that rises from a grassy basin. It is defended to the SE by a number of works to the E.",,W-facing promontory,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
1671,"Castle Hill, Crawford, South Lanarkshire",290.0,,,,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1672,"Aughernagailliagh (Eoghair na Gcaille), Mayo (Doonamo (Cattle Fort))",39.0,"Depicted as 'Doonamo' (cattle fort), an entrenched oval headland on the first edition OS six-inch map it projects W from the mainland at an altitude of 39m OD. It is located in an upland area of rough sheep grazing and open bogland. The defences consist of an inner stone rampart, an external ditch and a low  couterscarp bank running across the narrowest part of the headland. Outside this, to the E are the remains of chevaux de frise which have been dismissed as the remains of a children's burial ground (Casey 1999).",,W-facing promontory,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
1673,"Bryngaer Dinas, Conwy (Dinas Camp, Llanfairfechan)",320.0,"Prominent stone-buit contour fort located on Dinas outcrop overlooking sea to N. Surrounding slopes NE moderate, NW  steep, S and W very steep.",,Rocky hill top,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1674,"Mynydd Llwydiarth, Isle of Anglesey",120.0,"Small inland promontory hillfort located on rocky spur above Red Wharf Bay taking full advantage of the topography on S side of Mynydd Llwydiarth. Surrounding slopes very steep to E, S and W, less so on NE.",,Rocky spur,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
1676,"Garn Saethon, Gwynedd (Garn Saethon)",210.0,"Prominent rocky contour hillfort located on NW summit of double summit NW-SE ridge of Garth Saethon, a prominent hill top overlooking the Afon Horon opposite to Garn Fadrun hillfort. Steep rocky surrounding slopes, less so along ridge to SE.",,Hill top ridge,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1677,"Wyddgrug, Gwynedd",90.0,"Wooded contour hillfort located at 90m O.D. on N-facing  spur on lower slopes below Garn Fadrun hillfort to SSW, Llyn Peninsula. Valley of Cors Geirch to NE. Steep surrounding slopes, less to SW.",,Hill top,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1678,"Carn Fadrun, Gwynedd (Garn Fadryn; Garn Fadron)",371.0,"Large, prominent, stone-built contour hillfort on the summit of Carn Fadrun, the central peak of Yr Eifl on the Ll_n peninsula. Scree covered surrounding slopes very steep to precipitous.",,Hill top,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1679,"Nant-y-Castell, Llanbedrog, Gwynedd (Castellmarch; Castell March)",60.0,Contour hillfort located on flat-topped promontory commanding the steep-sided valley W of Mynydd Tir-y-cwmwd.  Above Llanbedrog and beach. Y Gamlas (bay) and sea to E.,,Spur promontory,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
1680,"Pen-y-Gaer, Llanbedrog, Gwynedd",73.0,"Small, sub-oval, multivallate inland promontory fort sited against steep, craggy slopes on S and W and at the edge of level ground on the E of a steep- sided valley. Opposite to Nant-y-Castell hillfort above Llanbedrog and the beach. Surrounding slopes moderate on NE, steep on S and very steep on W.",,Promontory,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1681,"Garn Boduan, Gwynedd",260.0,Large fine stone-built fort on Yr Eifl on the Ll_n Peninsula. Like Tre'r Ceiri uses natural rock outcrops. Steep surrounding slopes.,,Hill top,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1682,"Caer Bach, Conwy",410.0,Isolated rocky partial contour hillfort located high above the Afon Conwy valley on the mid slopes of Tal y Fan (610m O.D). Moderate to strong surrounding slopes.,,Rocky hillock,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
1684,"Cormiston Towers Farm, South Lanarkshire",200.0,,,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
1685,"Tre'r Ceiri, Gwynedd",485.0,"High and outstanding, stone-built, contour hillfort located on E of three peaks of Yr Eifl on the Ll_n Peninsula. Surrounding scree-covered slopes moderate to strong to N along ridge, E, S and W very steep to precipitous.",,Hill top,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1686,"Pen-y-Dinas, Llandudno, Conwy",121.0,"Fine and complex coastal promontory fort on SE-facing limestone spur of Great Orme's Head overlooking Llandudno Bay. Steep to precipitous surrounding slopes to N, E and S, moderate to Great Orme plateau on W.",,Spur,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
1687,"Cerrig-y-Ddinas, Llangelynin, Conwy (Cerrig y Dinas Hillfort; Cerrig-y-Dinas)",312.0,"Complex contour hillfort sited on prominent rocky knoll overlooking the Conwy valley near the river's estuary. Surrounding slopes moderate to strong to N and S, steep on E and moderate on W.",,Knoll,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1688,"Pen-y-Gaer, Llanbedr-y-Cennin, Conwy",380.0,Fine and complex stone-built contour hillfort in prominent and commanding position on hill at E end of long ridge overlooking the confluence of the Afon Dulyn and Afon Porth to S above the Conwy valley. Steep surrounding slopes.,,Hill top,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1689,"Pen-y-Castell, Maenan, Conwy (Pen-y-Castell, Garreg Olau; Caer Oleu Camp)",152.0,"Hillslope hillfort located on S slopes of narrow ridge within Coed Tan-yr-allt above Afon Conwy to W. Very steep surrounding slopes which level out to river on W and on S, less to ridge top on N and E.",,Ridge,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
1690,"Braich-y-Ddinas, Conwy (Dinas Penmaen)",466.0,"Formerly, multivallate, probable partial contour hillfort located on granite outcrop of Penmaenmawr, overlooking Conwy Bay, now destroyed by quarry.",,Hill top,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
1691,"Dinas Allt Wen, Dwygyfylchi, Conwy (Allt Wen; Dinas, Dwygyfylchi)",253.0,"Rocky site with dispersed rampart located on a very prominent rocky spur overlooking the Sychnant Pass to S and coastal plain to N. N and E surrounding slopes steep, S and W precipitous.",,Hill top,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1692,"Gladree (An Gileadraigh), Mayo (Doonaneanir (One Mans Fort))",5.0,"This fortified rock is now isolated from the mainland and accessed only by 'descending a breakneck gully near it, and crossing a causeway of low reef' (Westropp 1912, 206). A wall 2m-3m high and composed of thin flagstones skirts around the entire perimeter of the headland",,The site is overlooked to the N by another headland.,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
1693,"Castell Odo, Aberdaron, Gwynedd",146.0,Small contour hillfort located on summit of Mynydd Ystum on W tip of Ll_n Peninsula. Moderate to strong surrounding slopes. Subcircular,,Hill top,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1694,"Dinas, Porth Ruffydd, Isle of Anglesey",20.0,"Coastal promontory fort located on S-facing headland/islet between Porth Ruffydd on W and Porth Dafarch on E. Precipitous sea cliffs on E, S and W. Landward on N almost cut off from mainland by cliff-lined E-W chasm.",,Coastal headland,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
1695,"Craig y Castell I, Brithdir, Gwynedd (Tyddyn y Coed Camp)",270.0,"High and craggy, irregular sub-oval, contour hillfort on a rocky mountain spur/knoll overlooking Penmaenpool and the Afon Mawddach estuary, forming a perfect hillfort site, with only to the W and S defences necessary. Surrounding slopes to E and N very steep, S and W moderate to strong, E very steep.",,Spur/knoll,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
1696,"Moel Goedog Camp, Gwynedd",369.0,"High partial contour hillfort located on W-facing end of summit of very prominent hill overlooking Morfa Harlech in a fine strategic position. Surrounding slopes very steep to N, steep to S and W and moderate to strong to E.",,Hill top,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
1697,"Clogwyn Arllef, Gwynedd",170.0,"Craggy prominent contour hillfort located on summit of isolated ridge in the foothills of the Ardudwy Mountains above Llanfair and Cwm Bychan and the Afon Artro on a possible route through the Rhinogau. Surrounding slopes N and W very steep, S steep,",,Ridge,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1698,"Byrllysg Fort, Gwynedd",115.0,"Small circular fort located on slopes above Morfa Dyffryn just N of mouth of the Afon Ysgethin. Moderate to strong surrounding slopes to N, S and W, moderate on E.",,Spur,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No
1699,"Pen-y-Dinas, Tal-y-Bont, Gwynedd (Castell Dinas Cortin; Castell Dinas Gortyn; Pen y Ddinas Camp)",220.0,"Partial contour fort located at tip of SW-facing spur above steep slopes overlooking the narrow stream valley of Ceunant Egryn and slopes to coastal plain and the sea, mouth of the Afon Ysgethin. Surrounding slopes steep to S, moderate to strong elsewhere.",,Spur,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
1700,"Gladree (An Gileadraigh), Mayo (Dunaneanirbeg)",5.0,"Described by Westropp on the headland immediately S of 'Doonaneanir' (1912, 207) adjacent to an unclassified megalithic tomb known as 'Eanirs Grave'. The promontory fort is not shown on any edition of the OS six-inch maps and is cut off from the mainland by a rock-cut ditch.",,The site is overlooked by a headland to the N,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
1701,"Termoncarragh (Tearmann Caithreach), Mayo (Dunadearg (The Red Fort Or Fort of The Red Man))",5.0,"This sea stack is situated just N of Port Point at an inlet marked as 'Doonaderg' on the first edition OS six-inch map (1839).  Westropp noted that the site was innacessible and overlooked by higher ground to the the SE. An earthen bank is recorded to the SE, 1.2m high and c. 2.5m wide running along the landward side of the stack, a distance of approximately 29m.",,The site is overlooked by higher ground to the SW,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
1702,"Chester Hill, South Lanarkshire",305.0,,,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1703,"Termoncarragh (Tearmann Caithreach), Mayo (Porth)",10.0,"This large coastal promontory is situated at 'Port Point' adjacent to 'Portnafrankagh Bay', c. 6km NW of Belmullet Co. Mayo. It is an irregular headland that projects W from the mainland between 'Portnafrankagh Bay' and 'Doonaderg' inlet. It is defended at the lowest point of the neck of the headland by a massive stone wall running N-S for a distance of 88m.",,,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
1704,"Quothquan Law, South Lanarkshire",334.0,,,A prominent and  isolated craggy summit,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1705,"Craig y Ddinas, Llanddwywe-Is-y-Gaer, Gwynedd",350.0,"Small partial contour hillfort located on a rocky knoll of spur high above the Afon Ysgethin stream valley to E and S. Surrounding slopes steep to N and S, moderate to strong to E and W very steep.",,Spur knoll,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes
1706,"Bryn Castell, Uwch Mynydd, Gwynedd (Bryn y Castell)",300.0,"Small hillfort located on a prominent, high and steep spur at the top of the gorge of the Afon Dwynant above the Mawddach Estuary. Steep surrounding slopes.",,Spur,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
1707,"Castell Llanaber, Gwynedd (Bwlch y Llam; Ffridd Fechan)",290.0,"Small, high, steep and craggy hillslope fort located on outcrop on shelf of SW-facing slopes overlooking the Afon Mawddach estuary and Barmouth. Surrounding slopes steep to N, precipitous to E, moderate to strong to E.",,Rocky outcrop,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No
1708,"Dinas Oleu, Gwynedd",113.0,"Small contour hillfort on summit of rocky crag overlooking coastal plain above Barmouth and sea. Precipitoius crags to SW and very steep to NW, craggy hillside upslope on E.",,Rocky outcrop,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1710,"Creigiau Gwineu, Gwynedd",240.0,"Small, oval-shaped, stone-built contour hillfort above Porth Neigiol (Hell's Mouth)and sea (0.6km). Surrounding slopes steep, very steep and precipitous in places.",,Rocky ridge,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1711,"Conion, Gwynedd",185.0,Level terrain fort located on a plateau below Mynydd Rhiw and above slope falling to SE to sea and Port Neigwl (Hell's Mouth). Moderate surrounding slopes. General aspect SE.,,SE-facing plateau,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
1712,"Castell Pared Mawr, Gwynedd (Pared Mawr Camp; Castell, Porth Ceiriad)",91.0,"Very small, univallate, level terrain fort located on cliff edge directly above a beach on Porth Ceiriad Bay, Llanengan. Site rests on steep natural slopes above the sea cliffs on NE. Interior falls gently to E.",,Cliff edge,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
