Main_Atlas_Number,Main_Display_Name,Enclosing_Area_1,Enclosing_Area_2,Enclosing_Area_3,Enclosing_Area_4,Enclosing_Enclosed_Area,Enclosing_Area,Enclosing_Max_Ramparts,Enclosing_NE_Quadrant,Enclosing_SE_Quadrant,Enclosing_SW_Quadrant,Enclosing_NW_Quadrant,Enclosing_Ditches_Number,Enclosing_Summary,Enclosing_Multiperiod_Comments,Enclosing_Circuit_Comments,Enclosing_Quadrant_Comments,Enclosing_Surface_Comments,Enclosing_Excavation_Comments,Enclosing_Gang_Working_Comments,Enclosing_Ditches_Comments,Enclosing_Multiperiod,Enclosing_Circuit,Enclosing_Current_Part_Uni,Enclosing_Current_Uni,Enclosing_Current_Part_Bi,Enclosing_Current_Bi,Enclosing_Current_Part_Multi,Enclosing_Current_Multi,Enclosing_Current_Unknown,Enclosing_Period_Part_Uni,Enclosing_Period_Uni,Enclosing_Period_Part_Bi,Enclosing_Period_Bi,Enclosing_Period_Part_Multi,Enclosing_Period_Multi,Enclosing_Surface_None,Enclosing_Surface_Bank,Enclosing_Surface_Wall,Enclosing_Surface_Rubble,Enclosing_Surface_Walk,Enclosing_Surface_Timber,Enclosing_Surface_Vitrification,Enclosing_Surface_Burning,Enclosing_Surface_Palisade,Enclosing_Surface_Counter_Scarp,Enclosing_Surface_Berm,Enclosing_Surface_Unfinished,Enclosing_Surface_Other,Enclosing_Excavation_Nothing,Enclosing_Excavation_Bank,Enclosing_Excavation_Wall,Enclosing_Excavation_Murus,Enclosing_Excavation_Timber_Framed,Enclosing_Excavation_Timber_Laced,Enclosing_Excavation_Vitrification,Enclosing_Excavation_Burning,Enclosing_Excavation_Palisade,Enclosing_Excavation_Counter_Scarp,Enclosing_Excavation_Berm,Enclosing_Excavation_Unfinished,Enclosing_Excavation_No_Known,Enclosing_Excavation_Other,Enclosing_Gang_Working,Enclosing_Ditches
1727,"Craig-y-Dinas, Pontllyfni, Gwynedd",0.79,-1.0,-1.0,-1.0,0.79,-1.0,3.0,1.0,1.0,1.0,3.0,2.0,"Ruinous interior wall, c. 3.3m thick is externally faced with slabs, outer face now 0.3m-0.6m high, but inner face can be seen. Outside this interior, neck of promontory cut of at its neck by two strong ramparts and ditches, with marked counterscarp bank. Trenching of inner rampart, 1887 and 1939, showed it to be a ruined stone-walled bank. C. 2m outside outer face of this wall is second facing of rounded boulders, now standing two or three courses high, space between this and the first wall filled with rubble. 0.79ha.",Possibly two periods of construction.,NA,NA,Stone-walled site. Marked counterscarp bank on NW.,"Trenching of inner rampart, 1887 and 1939, showed it to be a ruined stone-walled bank.",NA,Two ditches to ramparts on NW.,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1728,"Pen y Gaer, Llanaelhaearn, Gwynedd",0.6,-1.0,-1.0,-1.0,0.6,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,"Single dry-stone wall, up to 4.5 m thick, except on NW were rests on crags. No ditch visible. 0.6ha.",NA,NA,NA,Stone-walled site.,NA,NA,No ditch visible.,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1729,"Dinas Emrys, Gwynedd (Cwm-Yr-Ala)",1.2,-1.0,-1.0,-1.0,1.2,-1.0,3.0,1.0,2.0,3.0,2.0,0.0,"All three ramparts ruinous, once c. 3m thick of rubble faced with laid stone. Where natural slopes sufficient defence walls absent or much reduced. Between middle and inner ramparts access hindered by natural crag c. 2m high, ending in precipice, only passed by narrow track. No ditches. 1.2ha.",Phased construction.,NA,NA,Stone-walled site.,"Main phases of occupation start with possible pre-Roman palisade,",NA,NA,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
1730,"Moel Dinas, Garreg, Gwynedd",0.39,-1.0,-1.0,-1.0,0.39,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,"Steep natural cliffs interspaced with stone surrounding wall, now ruinous in heaps and grass covered; best near the elaborate entrance on E. No ditches. 0.39ha.",NA,"Steep natural slopes, interspaced throughout circuit by stone wall, now ruinous and overgrown.",NA,Stone-walled site.,NA,NA,No ditch visible.,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
1731,"Bryn-y-Castell, Ffestiniog, Gwynedd (Bryn y Castell, Llyn Morwynis; Bryn y Castell Hillfort)",0.06,-1.0,-1.0,-1.0,0.06,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,Single stone wall surrounds the edge of the grassy knoll. No ditch. 0.06ha.,NA,Surrounding stone wall.,NA,Stone-walled site.,Stone walled site.,NA,No ditch.,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
1732,"Caer Idris, Isle of Anglesey",0.21,-1.0,-1.0,-1.0,0.21,-1.0,4.0,4.0,4.0,3.0,0.0,0.0,"Defined now by three tumbled stone walls (now stony banks) enclosing elongated area c. 80m by 36m, with internal area 0.21ha, terminating at the cliff edge, but now cut off by modern road on N and walls to E and W. Small section of a fourth bank exists on E. No ditch visible. 0.21ha.",NA,NA,NA,Stone-walled site. Formerly three in-situ facing stones near the entrance on third bank survived.,NA,NA,No ditch visible.,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
1733,"Dinas Dinlle, Llandwrog, Gwynedd",1.6,-1.0,-1.0,-1.0,1.6,-1.0,2.0,2.0,2.0,0.0,0.0,1.0,"Subject to considerable coastal erosion which has taken all of W ramparts, giving the site a promontory nature, but undoubtedly located someway inland in prehistory. Elsewhere two massive banks (up to 6 m) with deep intervening ditch are well shown. Inner bank was faced with stone boulders from the beach and ramparts constructed of drift. Inner rampart internal height 2m to 2.6m on S and E sides to over 3.6m on N. Outer rampart overall depth of 3.6 - 11.6m to the bottom of the intervening ditch. 1.6ha.",NA,W side eroded away.,NA,"As result of the erosion, section through the ramparts at S end visible, revealing the boulder-facing to inner rampart.",NA,NA,Intervening ditch.,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
1734,"Caer Euni, Gwynedd (Cefn Caer-Euni; Caer Crwyini; Caer Eini; Kaer Kyreini; Cerwyini; Caerau-Crwyni)",0.96,-1.0,-1.0,-1.0,0.96,-1.0,2.0,2.0,2.0,2.0,2.0,1.0,"Ramparts of earlier fort consisted of two banks scarped from the natural hill side with a medial ditch. Possible dry-stone wall running around interior of inner bank. Added later in a second phase, resulting in the oval enclosure of today, were defences on SW, and part of the earlier rampart was demolished for material. Here the rampart is higher and stonier with a deep rock-cut ditch and counterscarp. The principal feature of the second period earth works is this large rock cut ditch, the stone from which was also used to build rampart. The obsolete cross-bank in the interior can be traced. A low bank, possibly remains of dry-stone wall, encircles the whole site linking up at N corner with the features of main gate. 0.96ha.",Two-phased development.,"Banks difficult to interpret and estimated. A low bank, possibly remains of dry-stone wall, encircles the whole site.",NA,Stone-walled site. Counterscarp to deep ditch.,"There is rare evidence of possible vitrified stone in the NE ditch, suggesting that a timber-framed rampart was burnt here and superficial patches of burnt stones near SW corner confirmed in excavations by Hemphas.",NA,Two scarps on NW with a small ditch between. Rock-cut.,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes
1735,"Castell Mawr, Rhoslefain, Gwynedd (Castell Mawr, Llangelynin)",0.44,-1.0,-1.0,-1.0,0.44,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Defences mostly scarps above natural slopes, but better developed on W side with large inner bank, external rock-cut ditch and traces of counterscarp which cover both the main enclosure and an annexe. Bank fades out on E side with no ditch visible. As this side is not steep the reason for this is unclear. 0.44ha.",NA,NA,NA,Stone-walled site. Traces of counterscarp. Possibly unfinished.,NA,NA,Rock-cut ditch.,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
1736,"Mynydd Mynyllod, Gwynedd",0.19,-1.0,-1.0,-1.0,0.19,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,"Only vestiges remain of a low bank of stones remain which makes interpretation difficult. Defined by crags to W and by scarps, thought to represent a ruined wall, on the E. No ditch. 0.19ha.",NA,Possible ruined wall on E.,NA,Probable stone-walled site in entirety.,NA,NA,NA,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
1737,"Wyndales Farm, South Lanarkshire",0.52,-1.0,-1.0,-1.0,0.52,-1.0,2.0,2.0,0.0,2.0,2.0,2.0,"Twin ditches, presumably with upcast ramparts",NA,NA,NA,NA,NA,NA,NA,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
1738,"Caer-y-Twr, Mynydd Twr (Holyhead Mountain)., Isle of Anglesey",6.8,-1.0,-1.0,-1.0,6.8,-1.0,1.0,1.0,0.0,0.0,1.0,0.0,"Single massive stone rampart of massive masonry with rubble core on N and E survives to 3m in places using natural rock as bastions. Rampart walkway on inner side  and breastwork 2m thick, with possible double version as at Caer Drewyn near Corwen. To SW and SE precipice needs no defences. No ditch. 6.8ha",NA,NA,NA,Stone-walled site. Single massive dry-built stone rampart of massive masonry with rubble core. Rampart walkway on inner side and breastwork 2m thick.,No detail.,NA,NA,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
1739,"Dooega (Dumha Ñige-Achill Island), Mayo (Achill Island) (Gubadoon)",2.55,-1.0,-1.0,-1.0,2.55,2.72,1.0,1.0,0.0,0.0,0.0,1.0,"The earthworks at Gubadoon are located at the landward side at the narrowest point of the headland and in 1914, were in a bad state of repair. They comprise a ditch and bank drawn across the neck from WNW to ESE over a distance of 54m. The ditch is 2.7m wide and  2.8m deep, and apparently 'paved with stone'. The internal bank consisted of 'hard sand thrown up over the old sward for about 10 feet wide and perhaps a foot deep'. A dry-stone rampart, 3m thick was built on top of the bank but only traces of this remained in 1914.",These figures do not include the adjacent islets,NA,NA,stone wall surmounting an earthen bank.,NA,NA,NA,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
1740,"Llechlwyd Tonfanau, Tywyn, Gwynedd (Tal-y-Gareg; Lechrwyd Hillfort)",0.6,-1.0,-1.0,-1.0,0.6,-1.0,2.0,2.0,0.0,0.0,0.0,1.0,"Defences formerly of two stone ramparts, inner to 3.6m high and outer to 3.2m high, with outer ditch 0.8m deep constructed across the NE neck of the promontory. Outer bank and ditch destroyed at W end by quarry road. 0.6ha.",Area only estimated - no accurate details.,NA,NA,Stone-walled site.,NA,NA,Outer ditch.,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
1742,"Craig y Castell Ii, Brithdir, Gwynedd (Castell y Waun)",0.5,-1.0,-1.0,-1.0,0.5,-1.0,2.0,2.0,1.0,0.0,0.0,0.0,"Short stone walls, now, for the most part, only scree to c. 6m spread, define the site for c. 14m on E side, with short stretches of discontinuous similar spread link up with natural outcrops. On NE, now collapsed double stone rampart defends easiest approach. No ditches. 0.5ha.",NA,NA,NA,Stone-walled site. Thought to be unfinished.,NA,NA,NA,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
1743,"y Werthyr, Llanddeusant, Isle of Anglesey",0.65,-1.0,-1.0,-1.0,0.65,-1.0,3.0,3.0,3.0,3.0,3.0,3.0,"Best on S side where three parallel concentric ramparts with ditch visible, all greatly denuded. Max height 0.5m. Elsewhere line faint but can be traced.  0.65ha.",NA,NA,NA,NA,NA,NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
1744,"Parciau, Isle of Anglesey (Bryn Diol)",0.77,-1.0,-1.0,-1.0,0.77,-1.0,3.0,0.0,0.0,3.0,0.0,3.0,Series of three parallel walls and ditches for each cut off the promontory on the SW. These would have been walls of increasing height (inner highest) and thickness with rock-cut ditches from which the stone would have come. Traces of banks to SE suggest that there may have also been defences on the other sides of the fort. 0.77ha.,NA,NA,NA,Stone-walled site.,NA,NA,Rock-cut dirches.,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
1745,"Pier Camp, Bangor, Gwynedd (Camp Hill, Bangor)",0.7,-1.0,-1.0,-1.0,0.7,-1.0,1.0,1.0,0.0,0.0,1.0,0.0,"Bank of broken shale, for c. 80m is reduced in places to a scarp c.1-3m high with rock outcrops running along crest of ridge. At E end it turns at right angles to run NE for up to 40m. No ditch.",Area not precisely defined.,NA,NA,Broken shale bank.,NA,NA,NA,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
1746,"Westside, South Lanarkshire (Castle Hill)",0.2,-1.0,-1.0,-1.0,0.2,-1.0,2.0,2.0,1.0,1.0,2.0,1.0,Twin banks with a medial ditch,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
1747,"Nantlle, Llanllyfni, Gwynedd",0.05,-1.0,-1.0,-1.0,0.05,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,"Single wall of large slabs laid flat, 9ft thick with a marked batter on each face. No ditch. 0.05ha",NA,NA,NA,Stone-walled site.,NA,NA,NA,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
1748,"Ynys For, Gwynedd (Ynysfor)",0.07,-1.0,-1.0,-1.0,0.07,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,"Former dry stone wall surrounds, robbed in 19th century for building material, but still traceable as bank to c . 4m wide and 0.5m high. No ditches.",Area estimated,NA,NA,Former stone wall.,NA,NA,NA,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
1749,"Ynys-y-Fydlyn, Isle of Anglesey",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,"Grassed-over bank, 0.75m high and 4m wide seems to protect the only landward approach. Has appearance of defensive work, but ditch appears to be inside the bank. Neck of the promontory is fractured leaving the seaward end inaccessible.",Area not defined.,position of ramparts estimated and not determined exactly.,NA,Nature of bank not determined.,NA,NA,"Possible ditch, but reported inside bank.",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
1750,"Dooega (Dumha Ñige-Achill Island), Mayo (Achill Island) (Dundooega)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,"The headland originated from a mountain stream cutting a deep channel through the low cliffs. This natural ditch was deepened to create a straight, rock-cut trench 10.3m long, 2m wide and c. 3.3m deep, running in a NNW/SSE direction and cutting off the promontory from the island (Westropp 1914, 306). The internal slope above this feature was scarped, and a dry-stone wall 2.4m thick extended along its crest.",The interior of the site has been almost entirely cut away from erosion,NA,NA,NA,NA,NA,NA,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
1751,"Castlehill Strip, South Lanarkshire",0.28,-1.0,-1.0,-1.0,0.28,0.65,2.0,2.0,2.0,1.0,2.0,1.0,Twin ramparts with a medial ditch,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
1752,"Dooega (Dumha Ñige-Achill Island), Mayo (Achill Island) (Dún Bunnafahy)",0.12,-1.0,-1.0,-1.0,0.12,0.13,2.0,0.0,2.0,0.0,0.0,1.0,"The defences comprise a ditch and an internal bank capped with a dry-stone wall which have been drawn across the neck on the ESE for a distance of c. 27m NNE-SSW. Westropp observed that to the S of a causeway in the middle of the surviving arc of defences, the ditch is on average 1.2m deep, whereas northwards it is 1.8m-2.7m deep and 7m wide at the top. There are traces of an outer wall also in this area only 0.3m high and 2.4m wide. The inner bank is steep sided and 10m thick, rising c. 6m above the bottom of the ditch and 2.7m above the interior. It is surmounted by a dry-stone wall 2.7m thick and 0.9m high, and built of large, well laid, flat slabs. It is best preserved for 7m S of the centre line.",NA,NA,NA,NA,NA,NA,NA,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
1753,"Carrowgarve (An Cheathrú Gharbh), Mayo (Achill Island) (Dunnaglas)",0.05,-1.0,-1.0,-1.0,0.05,0.06,1.0,1.0,1.0,1.0,1.0,1.0,"Its main defence comprises a dry-stone wall 2.1m high, but there has also been an outer bank and a natural ditch. The latter is 1.2m deep and 2.7m wide at the bottom; the inner scarp rising to the foot of the wall. The wall forms a terrace on the W about 2.1m thick.",NA,NA,NA,Enclosing wall is terraced,NA,NA,NA,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
1755,"Lamington, South Lanarkshire",0.37,-1.0,-1.0,-1.0,0.37,0.55,2.0,2.0,2.0,0.0,0.0,2.0,"Twin ditches, presumably with upcast ramparts, cutting off a shallow promontory",NA,NA,NA,NA,NA,NA,NA,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
1756,"Bwrdd Arthur, Llanddona, Isle of Anglesey (Dinas Sylwy; Din Silwy)",6.8,-1.0,-1.0,-1.0,6.8,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,"Single wall formerly encircled the hilltop, set back a little from the crest. Wall composed of upright limestone slabs with inner rubble core average nearly 3m thick. No ditch. 6.8ha.",NA,NA,NA,Wall composed of upright limestone slabs with inner rubble core average nearly 3m thick.,NA,NA,NA,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
1758,"Huntlyhill, South Lanarkshire",0.35,-1.0,-1.0,-1.0,0.35,-1.0,3.0,0.0,2.0,3.0,0.0,3.0,rampart with up to three ditches,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
1759,"Erw Goch Camp, Conwy",0.5,-1.0,-1.0,-1.0,0.5,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,"D-shaped in plan with low bank on N, S and W sides. On E the very steep drop to the stream gives adequate defence, but possible that cart track on W may have been a ditch. 0.5ha.",Estimated internal area c. 0.5ha.,NA,NA,"Earthen bank visible, but It is possible that the site is walled, but no details.",NA,NA,Possible ditch on W - unconfirmed.,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
1760,"Penrhyn Erw-Goch, Pembrokeshire",0.23,-1.0,-1.0,-1.0,0.23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,"Only surviving earthwork is bank on E side below summit of rock, no ditch, area not defined.",Area not precisely defined. Coastal erosion.,Quadrants cannot be estimated.,NA,Probable stone-walled site.,NA,NA,None visible.,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
1761,"Craig-Yr-Aderyn, Gwynedd (Craig y Deryn; Birds Rock)",0.6,1.6,-1.0,-1.0,1.6,-1.0,3.0,3.0,3.0,0.0,0.0,1.0,"The earlier, smaller and inner upper fort of 100m by 55m has now turf-covered banks across the E and S slopes meeting at a right angle and giving restricted space for development. The second phase, lower fort, 119m by 170m, involved massive revetted stone wall running from the original S bank corner and swinging NE, thus running parallel with the E bank and up to the N precipice, with more space. A smaller bank and stone wall were added outside the E and S defences respectively, comprising an earthen terrace and outer ditch on SE and E sides to E of the main gate, and a tumbled stone wall running W of the main gate.",Two construction phases.,NA,NA,Stone-walled site.,NA,NA,NA,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
1762,"Twyn-y-Parc, Isle of Anglesey",3.8,-1.0,-1.0,-1.0,3.8,-1.0,3.0,3.0,0.0,0.0,0.0,0.0,"Main rampart massive 2.4m high bank running across 70m wide neck. Two outer ramparts or ruined walls, on N side of neck but only one to S where a crag rises on landward side. Ramparts vary in height from 0.3-2.4m with some stone revetting walls along the N and NW sides. No ditch. 3.8ha.",NA,NA,NA,Stone walls with some stone revetting walls along the N and NW sides.,No details of 1938 diggings.,NA,NA,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1763,"Dinas Gynfor, Isle of Anglesey",12.0,-1.0,-1.0,-1.0,12.0,-1.0,3.0,0.0,0.0,3.0,0.0,0.0,"A wide and long rampart tops the crest cutting off the promontory to SW - formerly a wall of dry-stone blocks from the irregular broad internal quarry ditch, rare in Wales, its line continued by a run of crags at either end with a combined frontage of about 500m. Downslope there is another rampart with possibly a third. No ditch.",NA,"Possible walled annexe below NW crags, although this may part of the main enclosure and uncertain.",NA,Stone-walled site of dry-stone blocks from the irregular broad internal quarry ditch.,NA,NA,None visible.,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
1764,"Cefn Ddwysarn Camp, Gwynedd",0.38,-1.0,-1.0,-1.0,0.38,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Bank, ditch and counterscarp.",Mapped 1901,Circuit estimated.,NA,Stone wall estimated. Counterscarp bank.,NA,NA,NA,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
1765,"Pen-y-Gaer Camp, Aberglaslyn, Gwynedd",0.14,-1.0,-1.0,-1.0,0.14,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,"Remains of stone wall c. 3m in diameter and 0.2m-0.75m high, follow circumference of the knoll, overlain by modern stone wall, obscuring inner face. Outer face of prehistoric wall generally lies some 1.5m outside the later wall. No ditch. 0.14ha.",NA,NA,NA,Stone-walled site.,NA,NA,NA,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
1766,"y Werthyr, Bryngwran, Isle of Anglesey",3.7,-1.0,-1.0,-1.0,3.7,-1.0,3.0,3.0,2.0,2.0,2.0,0.0,"Fragmentary remains consist of two concentric lines of ramparts except on NE side where three concentric ramparts. On W line of outer rampart now a terrace with retaining wall, probably the original rampart facing. This terrace incurves towards the road which now cuts through the fort NW-SE and possible entrance where incurves. No ditches. 3.7ha.",Area not defined.,NA,NA,Possible stone wall.,Rescue excavations showed that on N side traces of earthworks were natural features.,NA,NA,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
1767,"Dinas Camp, y Felinheli, Gwynedd",0.5,-1.0,-1.0,-1.0,0.5,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,"Rampart cuts off landward with semi-circle 119m in diameter enclosing with an entrance near the middle. E of entrance rampart levelled, but to W now artificial scarp capped by rubble bank c. 3.6m wide and 3m-6m high. No ditch.",Area from 1901 Six inch,NA,NA,Rubble bank.,NA,NA,No ditch recorded.,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
1768,"Caer, Glascoed, Gwynedd (Pen y Gaer; Glascoed Gaer; Caer, Llanddeiniolen; Pen y Gaer,  Llanddeiniolen)",0.13,-1.0,-1.0,-1.0,0.13,-1.0,1.0,1.0,1.0,0.0,1.0,0.0,"Site defended by 3m thick rubble wall, which was faced with large orthostats. To SW wall largely gone. No ditch. 0.13ha.",NA,SW wall largely gone.,NA,"3m thick rubble wall, which was faced with large orthostats.",NA,NA,No ditch visible.,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
