Main_Atlas_Number,Main_Display_Name,Entrances_Breaks,Entrances_Original,Entrances_Breaks_Comments,Entrances_Original_Comments,Entrances_Chevaux_Comments,Entrances_Summary,Related_Entrances,Entrances_Guard_Chambers,Entrances_Chevaux
1519,"Kilbaha South, Clare (Dundahlin)",1.0,1.0,NA,NA,NA,The interior is accessed via a simple gap and a causeway across the ditch. It is c. 4m wide,Simple Gap (North),No,No
1520,"Stirling, King's Knot, Stirling",0.0,0.0,No surface traces,None recorded,NA,None known,NA,No,No
1521,"Tullig, Clare (Doondoillroe)",1.0,1.0,NA,NA,NA,A causeway crossed the ditch 27m to 30m from the N cliff. This measured approximately 6m wide.,Simple Gap (East),No,No
1523,"Pen'r-Allt, Llanidloes, Powys (Penrallt Hillfort, Llanidloes)",1.0,1.0,NA,NA,NA,Main gate in NE corner.,Simple Gap (North east),No,No
1525,"Bryn Alun Camp, Wrexham (Bryn Alyn Camp; Caer Alyn; Fox Covert)",1.0,1.0,NA,NA,NA,S-facing simple entrance.,Simple Gap (South),No,No
1526,"yr Allt, Llangedwyn, Powys",1.0,1.0,NA,NA,NA,Possible E entrance.,Simple Gap (East),No,No
1527,"Roft Promontory Fort, Wrexham (Rofft Promontory Fort; Marford Ford)",1.0,1.0,Conjecture only.,Conjecture only.,NA,"None defined, but possibly gap through banks on SE.",Simple Gap (South east),No,No
1528,"Bedd-y-Cawr, St Asaph, Denbighshire",0.0,0.0,NA,NA,NA,None defined.,NA,No,No
1529,"Afon Tarell, Powys (Waenfaeog Hillfort; Llwyncelyn-Fawr)",2.0,1.0,Breach at the turn in the bank on SE is recent.,NA,NA,Entrance possibly on SE side where inner and outer ramparts stop short of the natural slope.,Simple Gap (South east),No,No
1530,"Ystrad Faelog Hillort, Powys",2.0,2.0,NA,NA,NA,Inturned entrance at NE corner. Possible entrance where rampart tails off before steep slope on S.,In-turned (North east); Simple Gap (South),No,No
1532,"Caer Fawr, Llanelwedd, Powys (Gaer Fawr)",1.0,1.0,NA,NA,NA,Passageway entrance at NE angle c. 20m long and 3.5m wide.,Passage-way/Corridor (North east),No,No
1533,"Cwm Berwyn, Powys",2.0,2.0,NA,NA,NA,"Entrance through outer bank on NW side, then route runs parallel with inner bank to enter interior through inner bank on W. Inner entrance faced by possible hut platform.",Simple Gap (North west); Simple Gap (West); Over-lapping (West),No,No
1536,"New Pieces, Powys",2.0,2.0,NA,NA,NA,"Inner entrance on the NW, part inturned. Outer also on the NW.",In-turned (North west); Simple Gap (North west),No,No
1537,"Tan-y-Llan, Denbighshire",0.0,0.0,NA,NA,NA,None defined.,NA,No,No
1539,"Rink Hill, Scottish Borders",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (East),No,No
1540,"Llwyn Celyn, Powys",0.0,0.0,NA,NA,NA,None defined.,NA,No,No
1543,"Worm's Head, Swansea",1.0,1.0,NA,NA,NA,Single entrance is visible c. 3m wide located 65m from SE end.         Single entrance is visible c. 3m wide located 65m from SE end.,Simple Gap (South east),No,No
1544,"Falkirk, Camelon, Falkirk",1.0,1.0,Ploughed flat before destruction by quarrying,NA,NA,See main summary,Simple Gap (South),No,No
1545,"Twmbarlwm, Torfaen (Twm Barlwm)",6.0,1.0,Five gaps to W and S probably later damage.,NA,NA,Possible approach from NW leads to a gap on the NE which could be original entrance. Other gaps probably later damage.,Simple Gap (North east),No,No
1546,"y Bwlwarcau, Bridgend (The Bulwarks)",3.0,3.0,NA,NA,NA,"Main entrance to central enclosure is simple gap sited on E. On NW side a simple gap may be original where a old track enters the site. On the E, a gap entrance on the outer circuit  has a hollow causeway running from it to the inner enclosure entrance.",Simple Gap (East); Simple Gap (North west); Simple Gap (East),No,No
1547,"y Bwlwarcau, Eastern Enclosure, Bridgend (Castell Coch)",0.0,0.0,NA,NA,NA,None defined.,NA,No,No
1548,"Old Castle Promontory Fort, Rhossili, Swansea",1.0,1.0,NA,Original entrance uncertain and type and position estimated.,NA,"Gap on SW, now to c. 20m wide, could be site of original entrance.",Simple Gap (South west),No,No
1549,"Lewes Castle Promontory Fort, Rhossili, Swansea",2.0,2.0,NA,NA,NA,Entrance through both ramparts are simple gaps c. 3.5m wide sited about 30m from W cliff edge.,Simple Gap (South west); Simple Gap (South west),No,No
1550,"Mynydd Twmpathyddaer, Bridgend (Mynydd Twmpath-y-Ddaer)",-1.0,1.0,Near destruction prohibits determination of breaks.,NA,NA,Entrance gap at E end,Simple Gap (East),No,No
1551,"Berry Wood, Swansea (Berry Wood Enclosure)",1.0,1.0,NA,NA,NA,"Entrance, c. 9m wide, to NE near a spring.",Simple Gap (North east),No,No
1552,"Llanddewi, Port Eynon, Swansea",1.0,1.0,NA,NA,NA,Possible entrance gap c. 10m wide in middle of N side.,Simple Gap (North),No,No
1553,"Pen y Castell, Kenfig Hill, Bridgend (Pen-y-Castell, Kenfig Hill)",1.0,1.0,NA,NA,NA,Entrance possibly simple gap of 4m in inner rampart at SE corner.,Simple Gap (South east),No,No
1554,"Reynoldston Camp, Swansea",1.0,1.0,NA,NA,NA,"Damaged entrance, c. 5m wide on S.",Simple Gap (South),No,No
1556,"Wilcrick Hill Camp, Newport",2.0,2.0,"Hollow way NE-SW into site, date unknown.",Possible SW entrance? Hollow way NE-SW through site - date unknown.,NA,NE entrance where two ramparts overlap creating short passage into interior. Holloway (former path) NE-SW through site. This is c. 3.5m wide and 0.8m deep and very overgrown. Date unknown,Over-lapping (North east); Passage-way/Corridor (North east); Hollow Way (South west),No,No
1557,"Enterkinefoot, Dumfries & Galloway",0.0,0.0,Heavily ploughed down,None recorded,NA,None known,NA,No,No
1558,"Middle Bankhead, Denny, Falkirk",1.0,1.0,Ploughed flat,NA,NA,See main summary,Simple Gap (South),No,No
1559,"The Tappoch, Torwood, Falkirk",1.0,1.0,Outworks peter out towards the N,NA,NA,See main summary,Simple Gap (South east),No,No
1560,"Gwernheylod Banks, Denbighshire",0.0,0.0,NA,NA,NA,Not defined.,NA,No,No
1561,"Morton Mains Hill, Dumfries & Galloway",6.0,2.0,"Segmental earthwork with a series of original gaps, though only one on the SSE possibly an entrance",NA,NA,See main summary,Simple Gap (South); Passage-way/Corridor (North west),No,No
1562,"Ballard, Clare (Doonegall (The Fort of The Foreigner))",1.0,1.0,NA,NA,NA,An entrance is recorded 30m from the N cliff. It is composed of a simple gap approached by a causeway over the ditch.,Simple Gap (South east),No,No
1563,"Corbally, Clare",0.0,0.0,NA,NA,NA,There are no recorded entrances to the site.,NA,No,No
1564,"Corbally, Clare (George's Head)",0.0,0.0,NA,NA,NA,There are no recorded entrances.,NA,No,No
1565,"Foohagh, Clare (Doonaunroe)",1.0,1.0,NA,NA,NA,A gap and causeway c. 4m wide through the defences are recorded 27m from the N cliff,Simple Gap (East),No,No
1566,"Moveen East, Clare (Illaunadoon (Island of The Fort))",0.0,0.0,NA,NA,NA,There are no recorded entrances.,NA,No,No
1567,"Mountherrick, South Lanarkshire",1.0,1.0,Ploughed flat,NA,NA,See main summary,Simple Gap (East),No,No
1568,"Castle Qua, South Lanarkshire",1.0,1.0,NA,NA,NA,See main summary,Other Forms (North),No,No
1569,"Ash Cabin Flat, South Yorkshire",-1.0,-1.0,NA,NA,NA,No evidence for entrances. A possible pass approaches from Wyming Brook to the NE of the enclosure,NA,No,No
1570,"Crag, Clare (Doonmeave)",0.0,0.0,NA,NA,NA,None recorded,NA,No,No
1571,"Kilbaha South, Clare",0.0,0.0,NA,NA,NA,There are no recorded entrances to the site,NA,No,No
1572,"Craig Tan-y-Lan, Vale of Glamorgan",1.0,1.0,NA,NA,NA,"Possible rampart at W end of surviving rampart, but not certain.",Simple Gap (West),No,No
1573,"St Mary Hill Down, Vale of Glamorgan",3.0,3.0,NA,NA,NA,"Entrance into main enclosure, probably original, on NW. Entrance to annexe at its E end, immediately within this simple gap leading into main enclosure. The annexe bank is slightly inturned. All gaps c. 3m wide.",Simple Gap (North west); In-turned (South east),No,No
1574,"Mynydd Ruthin, Vale of Glamorgan (Pen-y-Gaer; Gaer)",1.0,1.0,NA,NA,NA,None can be defined at present. Possibly gap on NE in 1877.,Simple Gap (North east),No,No
1575,"Pen-y-Gaer, Pen-Clawdd, Swansea",2.0,1.0,NA,NA,NA,"On E modern gap, but to SW break of 4.0m between end of rampart and slope of natural scarp possible original entrance",Simple Gap (South west),No,No
1576,"Lesmahagow, Black Hill, South Lanarkshire",0.0,0.0,None recorded but heavily mutilated all round the circuit,NA,NA,None known,NA,No,No
1577,"Lesmahagow, Black Hill, South Lanarkshire",1.0,1.0,Obliterated in the E sector,NA,NA,See main summary,Simple Gap (South west),No,No
1578,"Farrihy, Clare",0.0,0.0,NA,NA,NA,There are no known formal entrances through the enclosing elements,NA,No,No
1579,"Kilbaha South, Clare (Dermot and Grania's  Rock)",0.0,0.0,NA,NA,NA,There are no access points to the sea stack,NA,No,No
1580,"Kilcloher, Clare",0.0,0.0,NA,NA,NA,There are no recorded entrances through the enclosing elements,NA,No,No
1581,"Cowie, Stirling (Berry Hills)",1.0,1.0,Extensively ploughed down before its complete destruction,NA,NA,See main summary,Simple Gap (East),No,No
1582,"Ballylan, Clare (Moher Fort)",0.0,0.0,NA,NA,NA,None known,NA,No,No
1583,"Gallamuir, Stirling",0.0,0.0,Ploughed flat,No certain gaps in the perimeter,NA,None known,NA,No,No
1584,"Mutton Island, Clare (Mutton Island)",0.0,0.0,NA,NA,NA,There are no recorded entrances,NA,No,No
1585,"Killard, Clare",0.0,0.0,NA,NA,NA,None recorded,NA,No,No
1586,"Kilbaha North, Clare",0.0,0.0,NA,NA,NA,NA,NA,No,No
1587,"Moveen West, Clare",1.0,1.0,NA,NA,NA,Site is accessed via a path leading from the adjacent road and car park through the earthworks,Simple Gap (South),No,No
1588,"Breaffy South, Clare",1.0,0.0,NA,NA,NA,No entrance recorded,NA,No,No
1589,"Ballyherragh, Clare",1.0,0.0,Possible gap on the W,NA,NA,NA,NA,No,No
1590,"Quilty, Clare",0.0,0.0,NA,NA,NA,NA,NA,No,No
1591,"Wester Carmuirs, Falkirk",2.0,2.0,Ploughed flat,NA,NA,See main summary,Simple Gap (East); Simple Gap (South),No,No
1592,"Abbey Craig, Stirling",2.0,0.0,"Breaks at the cliff-edge are heavily modified, but either or both could be original",NA,NA,See main summary,NA,No,No
1593,"Dumyat, Stirling (Castle Law)",1.0,1.0,NA,NA,NA,See main summary,Passage-way/Corridor (West),No,No
1594,"Lower Greenyards, Stirling",1.0,1.0,Ploughed flat,Probably other entrances at different stages in the development of the fort in slightly different positions on the S,NA,See main summary,Simple Gap (South east),No,No
1595,"Fintra Beg, Clare",0.0,0.0,NA,NA,NA,NA,NA,No,No
1596,"Richie Ferry, South Lanarkshire (Kirkton; Ritchie Ferry)",4.0,4.0,NA,NA,NA,See main summary,Simple Gap (North east); Simple Gap (South east); Simple Gap (South west); Simple Gap (North west),No,No
1597,"Barwick-In-Elmet, West Yorkshire (Hall Tower Hill, Wendel Hill)",1.0,1.0,NA,NA,NA,Massive in-turned entrance in the N on the NW side of Wendel HIll.,In-turned (North),No,No
1598,"St Julian's Wood Camp, Christchurch, Newport",0.0,0.0,NA,NA,NA,None defined because of damage.,NA,No,No
1599,"Hen Gastell, Pen-Clawdd, Swansea (Dan-y-Lan Camp)",0.0,0.0,NA,NA,NA,Position of entrance uncertain.,NA,No,No
1600,"Cilifor Top, Swansea (Cil Ifor Top; Cil-Ifor Top)",1.0,1.0,NA,NA,NA,"Only entrance on SW side. Simple gap with with large mound commanding the approach to the gate. Two terraced roadways, one seemingly blocked by the second rampart. A low bank runs downhill from the fort entrance, and a strong spring rises from a deeply excavated hollow.",Simple Gap (South west); Simple Gap (South west),No,No
1601,"Gron Gaer, Swansea (Gron-Gaer; Grongaer)",0.0,0.0,NA,NA,NA,No entrance defined.,NA,No,No
1602,"Cae Summerhouse Camp, Bridgend",0.0,0.0,NA,NA,NA,Position of the entrance is uncertain.,NA,No,No
1603,"Caer Dynnaf, Vale of Glamorgan (Caer-Dynnaf)",3.0,2.0,Gap in outer rampart on W probably recent.,NA,NA,"On W is the only recognised original entrance, others impossible to define definitely because of damage. Although gap in outer rampart probably recent, but to SE of this, where banks thickened and slightly inturned, is the original and certainly complex version. Another possible entrance may be on the S side, and this would have given access into the E annexe from the main enclosure, there being no present gap between it and the inner rampart for access.",In-turned (West); Simple Gap (South),No,No
1604,"Chapel Hill Camp, Merthyr Mawr House, Bridgend",1.0,1.0,NA,NA,NA,"Despite undergrowth making interpretation difficult, ill-defined gap of 3m width on W possibly original entrance.",Simple Gap (West),No,No
1605,"Crawley Rocks, Nicholston Burrows, Swansea",1.0,1.0,NA,NA,NA,"No definite entrance visible, but Rutter (1949, 12) suggested depression in outer bank towards W end possible entrance, but none in inner bank.",Simple Gap (West),No,No
1606,"Willoxton Cwm, Swansea",0.0,0.0,NA,NA,NA,Entrance uncertain.,NA,No,No
1607,"Bishopston Valley Camp, Swansea (Bishopston Valley Camp)",1.0,1.0,NA,NA,NA,Entrance on N where track runs along edge of scarp past end of outer banks and next to inturned arm of inner bank. Path running entrance obliquely down N scarp to a ford possibly contemporary.,In-turned (North); Oblique (North),No,No
1608,"High Pennard, Swansea",1.0,1.0,NA,2m wide approached by a causeway across the ditch.,NA,Entrance in middle of S bank with a pair of gates and 2m wide approached by a causeway across the ditch.,Simple Gap (South),No,No
1609,"Emlagh, Clare",0.0,0.0,NA,NA,NA,None known,NA,No,No
1610,"Lislorkan North, Clare",0.0,0.0,NA,NA,NA,The promontory is accessed via a road and pathway,NA,No,No
1611,"Freaghcastle, Clare",0.0,0.0,NA,NA,NA,NA,NA,No,No
1612,"Redley Cliff Camp, Swansea (Caswell Cliff Camp; Caswell Cliff Fort; Redley Cliff)",0.0,0.0,NA,NA,NA,None discerible.,NA,No,No
1613,"Mynydd-y-Fforest, Vale of Glamorgan",1.0,1.0,Estimated only.,Estimated only.,NA,"Heavily ploughed and almost gone on W, possible entrance site on SW.",Simple Gap (South west),No,No
1614,"Caherrush, Clare",0.0,0.0,NA,NA,NA,There are no recorded entrances through the bank,NA,No,No
1615,"Llanquian Wood, Vale of Glamorgan",8.0,4.0,Four gaps on E and S modern.,NA,NA,"Two possible entrances through inner enclosure: a narrow gap in SW and wider gap scarp on NW. Two possible entrances through outer bank: a sunken gap c. 3.5m wide on SW opposite corresponding gap in the inner bank, and on W possible gap, from which trackway ascends the hill to entrance through the inner bank c. 40m further to N.",Simple Gap (South west); Simple Gap (North west); Hollow Way (South west); Simple Gap (West),No,No
1616,"Castle Hill, Almondbury, West Yorkshire",6.0,5.0,NA,NA,NA,The earliest univallate enclosure had an in-turned entrance in the NE flanked by a guardroom to one side. In the early sixth century BC a box-constructed timber rampart with an entrance in the NE. In the mid-sixth century the enclosure was refortified by two banks and ditches enclosing the whole summit of the hill. An entrance lay in the NE. Finally a multivallate phase and a fourth bank aligned on an entrance in the E. A holloway extended downslope from the eastern entrance running through the outer rampart. At the western end of the hill the outer rampart turned inwards creating a second entrance.,In-turned (North east); Recesses/Guard Chambers (North east); Simple Gap (North east); Simple Gap (North east); Simple Gap (North east); Simple Gap (East); In-turned (West),Yes,No
1617,"Cwm Bach, Wick, Vale of Glamorgan",1.0,1.0,NA,NA,NA,Oblique entrance through wide 14m gap between ramparts on SE.,Oblique (South east),No,No
1618,"Ballard, Clare",2.0,-1.0,NA,NA,NA,NA,Simple Gap (East),No,No
1619,"Mutton Island, Clare (Mutton Island)",0.0,0.0,NA,NA,NA,NA,NA,No,No
1620,"Conach R_Idh, Mayo (Port-Conaghra)",1.0,1.0,NA,NA,NA,The entrance is marked by a causeway and some stone slabs some 60m from the E cliff face,Simple Gap (South east),No,No
1621,"Ty'N-y-Waun Camp, Bridgend (Cwm Llwyd)",1.0,1.0,NA,NA,NA,"Possible original entrance at SE angle, where terraced cart track 15m wide enters fort.",Simple Gap (South east),No,No
1622,"Graig Fawr, Pontardulais, Swansea",0.0,0.0,NA,NA,NA,No entrance defined.,NA,No,No
1623,"Horse Island, Mayo",0.0,0.0,NA,NA,NA,"There are no recorded entrances. The Island was probably accessed via a narrow causeway which has since fallen into the sea, isolating the landmass.",NA,No,No
1624,"Llantrithyd Camp, Vale of Glamorgan (Llantrithyd House)",1.0,1.0,NA,NA,NA,Entrance possibly simple gap on NW.,Simple Gap (North west),No,No
1625,"Quarry Hill, West Yorkshire",-1.0,-1.0,NA,NA,NA,Unknown,NA,No,No
1626,"Bonvilston Gaer, Vale of Glamorgan (y Gaer)",2.0,2.0,NA,NA,NA,"Entrance through both ramparts on N; inner entrance slightly inturned, its W side disturbed.",In-turned (North); Simple Gap (North),No,No
1627,"Arbory Hill, South Lanarkshire",5.0,5.0,In the outer circuits,NA,NA,See main summary,Simple Gap (North); Oblique (East); Oblique (South); Simple Gap (South); Simple Gap (West); Simple Gap (North west),No,No
1628,"Gleannlasra, Mayo (Cashlaunirobin (The Castle of Robins Son))",1.0,1.0,NA,NA,NA,A possible entrance or 'narrow gangway'  noted to the E. It is c. 3m wide and may be an original feature.,Simple Gap (East),No,No
1629,"Castell Moel, Bonvilston, Vale of Glamorgan (Liege Castle; Castell Ar Foel Camp)",0.0,0.0,Cannot be determined.,Cannot be determined.,NA,Cannot be determined.,NA,No,No
1630,"Fforestnewydd, Swansea (Fforest Newydd)",1.0,1.0,NA,NA,NA,"Gap at NE end of the enclosure, 7m wide, possible entrance.",Simple Gap (North east),No,No
1631,"Bodsberry Hill, South Lanarkshire",4.0,4.0,NA,In their decayed states they give what is probably a misleading impression of very shallow inturns,NA,See main summary,Simple Gap (North east); Simple Gap (South east); Simple Gap (South west); Simple Gap (North west),No,No
1632,"Knockaun, Mayo (Downpatrick)",1.0,1.0,NA,NA,NA,Westropp records a narrow entrance c. 1.2m wide through the wall and earthen bank to the S.,Simple Gap (South),No,No
1633,"Collins Burn, South Lanarkshire (Elvanfoot)",2.0,2.0,NA,NA,NA,See main summary,Simple Gap (South east); Simple Gap (North west),No,No
1634,"Knockaun, Mayo (Dunbriste)",0.0,0.0,NA,NA,NA,The landmass is cut off from Downpatrick Head. It is unknown when it was last connected to the mainland.,NA,No,No
1635,"Devonshaw Hill, South Lanarkshire",2.0,2.0,NA,NA,NA,See main summary,Simple Gap (North east); Simple Gap (South),No,No
1636,"Coed-y-Mwstwr, Bridgend (Coedymwstwr)",0.0,0.0,NA,NA,NA,No entrance position can be defined.,NA,No,No
1637,"Mynydd y Gaer, Bridgend",5.0,1.0,"Modern gap on E and uncertain, part-levelled, gap on NW. Other modern gaps.",NA,NA,"Possible S entrance with possible worn-down inturn of 10m. Modern gap on E and uncertain, part levelled, gap on NW. Other modern gaps.",In-turned (South); Simple Gap (North west),No,No
1638,"Castle Ditches, Llancarfan, Vale of Glamorgan",3.0,1.0,Gaps on NE and SW indeterminate.,NA,NA,"Main entrance in middle of S side possibly inturned on E. Outside entrance two banks and ditches built out from main enclosure as if to protect approach, and slighter bank continues downhill to stream. Gaps on NE and SW indeterminate.",In-turned (South); Other Forms (South),No,No
1639,"Port Durlainne, Mayo (Dunmara)",0.0,0.0,NA,NA,NA,There are no recorded entrances,NA,No,No
1640,"Parkhouse, South Lanarkshire",1.0,1.0,Ploughed flat,Two marks set at right-angles to the main trends of the arc of defences on the SE possibly indicate the position of an entrance,NA,See main summary,Passage-way/Corridor (East),No,No
1641,"Longwell, South Lanarkshire",0.0,0.0,Ploughed flat,"None noted, but the arc of ditches is unbroken, indicating that it is  probably along the margins of the promontory",NA,See main summary,NA,No,No
1642,"Ceathrú na gCloch, Mayo (Dunminulla)",1.0,1.0,NA,NA,NA,"A causeway was noted by Westropp at the W extent of the defences crossing the earthworks at right angles to where the rock has fallen away. He states that it was 'well-marked..24 feet wide and fenced' (1912, 125)",Simple Gap (South),No,No
1643,"Woodend Burn, South Lanarkshire",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (East),No,No
1644,"Woodend, South Lanarkshire",0.0,0.0,Ploughed down,None recorded,NA,See main summary,NA,No,No
1645,"Cae Camp, Monmouth",1.0,1.0,NA,NA,NA,Probable original entrance at SE angle.,Simple Gap (South east),No,No
1646,"Llanfythin Camp, Vale of Glamorgan (Llanvithyn Camp)",0.0,0.0,NA,NA,NA,Position of entrance uncertain.,NA,No,No
1647,"Nash Point Camp, Vale of Glamorgan",1.0,1.0,NA,NA,NA,"Inturned entrance on NE. Outer bank guards approach, which was along a narrow shoulder to the entrance, and cuts off peninsula.",In-turned (North east); Other Forms (North east),No,No
1650,"South Kirkby Camp, West Yorkshire (Brierley Common)",-1.0,-1.0,NA,NA,NA,The location of any entrance is unrecorded,NA,No,No
1651,"Bainbridge, North Yorkshire",1.0,1.0,NA,Uncertain,NA,A possible entrance lies in the E where there is a causeway through the bank but this is ploughed down and uncertain.,Simple Gap (East),No,No
1652,"Llwynheiernin, Swansea (Llwyn Heiernin)",0.0,0.0,NA,NA,NA,No entrance defined.,NA,No,No
1653,"Carn Nicholas, Swansea (Carnnicholas)",0.0,0.0,NA,NA,NA,Entrance not defined.,NA,No,No
1654,"Shiel Burn, South Lanarkshire",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (East),No,No
1655,"Cill Ghallagáin, Mayo (Dunanierin)",0.0,0.0,NA,NA,NA,There are no recorded entrances through the earthworks on the landward side,NA,No,No
1656,"Dinas Dinorwig, Gwynedd (Dinas Dinorwic)",3.0,2.0,Second gap on W probably modern.,NA,NA,"Simple entrance through the stone-built 3.3m rampart on E and another smaller on W side kept when ramparts remodelled through the three earth and rubble banks. The larger of the two entrances through the wall is obstructed by inner rampart, suggesting that ramparts later than the wall and confirming phased construction. Second gap on W probably modern.",Simple Gap (West); Simple Gap (East),No,No
1657,"Pen-y-Garreg, Clynnog, Gwynedd (Craig Cynan)",0.0,0.0,NA,NA,NA,Position uncertain.,NA,No,No
1658,"Castell Caerau Camp, Gyrn Goch, Gwynedd",0.0,0.0,NA,NA,NA,No entrance defined.,NA,No,No
1659,"Craig-y-Tyddyn Camp, Gwynedd",-1.0,1.0,Too degraded to estimate.,NA,NA,Possible entrance on W.,Simple Gap (West),No,No
1661,"Duncarton, Mayo",1.0,1.0,NA,NA,NA,Scarped to form a causeway 1.8m wide on the SW margin,Simple Gap (South east),No,No
1662,"Pen Dinas Camp, Llandygai, Gwynedd (Pendinas Hillfort; Pen y Dinas)",1.0,1.0,NA,NA,Entrance at N end of W wall with at least one guard chamber (visible on N side).,Entrance at N end of W wall with guard chamber (possibly on N side).,Recesses/Guard Chambers (West); Simple Gap (West),Yes,No
1663,"y Foel, Pontllynfi, Gwynedd (y Foel, Clynnon; y Foel Camp)",1.0,1.0,NA,NA,NA,Entrance on W is simple gap.,Simple Gap (West),No,No
1664,"Maes-y-Gaer Camp, Aber, Gwynedd",-1.0,1.0,No estimate as tumbled wall.,NA,NA,"Badly damaged SE entrance, 3.4m wide with entrance passage c. 6m long.",Passage-way/Corridor (South east),No,No
1665,"Pen y Gaer, Cilfodan, Bethesda, Gwynedd",1.0,0.0,Affected by modern walls making interpretation difficult. Gap in wall on SW modern - uncertain as to where site of original.,Original difficult to ascertain,NA,Affected by modern walls making interpretation difficult. Gap in wall on SW modern - uncertain as to where site of original located.,NA,No,No
1666,"Castle Dykes, Roberton, South Lanarkshire",2.0,2.0,NA,NA,NA,See main summary,Simple Gap (East); Simple Gap (West),No,No
1667,"Berries Burn, South Lanarkshire (Castle Crawford Farm)",2.0,2.0,NA,NA,NA,See main summary,Simple Gap (East); Simple Gap (South west),No,No
1668,"Gortbrack, Mayo (Spinkadoon)",0.0,0.0,NA,Access was from across the neck on the E,NA,There are no recorded entrances through the earthen bank or wall.,NA,No,No
1669,"Black Hill, Crawfordjohn, South Lanarkshire (Blackhill)",2.0,2.0,NA,NA,NA,See main summary,Simple Gap (North east); Simple Gap (North west),No,No
1670,"Aghadoon (Achadh Dúin), Mayo (Dunfiachrach)",1.0,1.0,NA,NA,NA,"The defences are pierced by a central a causeway 2.4m wide, beside which Westropp recorded a possible gate-lintel 1.5m long (1912, 198). The sloping entrance way leads up to the entrance through the inner wall. The wall itself is 11.5m long and its ends contract to 1.2m in thickness before turning back along the margins of the narrow promontory. The gateway lies towards the S end and is 0.9m wide, with parallel sides faced with large stones and rounded angles.",Simple Gap (South east),No,No
1671,"Castle Hill, Crawford, South Lanarkshire",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (West),No,No
1672,"Aughernagailliagh (Eoghair na Gcaille), Mayo (Doonamo (Cattle Fort))",1.0,1.0,NA,NA,"Outside the defences, to the NE are the remains of what has been interpreted as a chevaux de frise but which more recently has been dismissed as the remains of a children's burial ground (Casey 1999).","The entrance causeway is flanked by a grass-covered bank on either side with associated recumbent flagstones on either side of the gap in the main rampart, which is c. 1m wide. A circular depression to the N of the causeway is 4.5m in diameter and may be the remains of a circular hut which guarded the entrance (Casey 1999, 67). Otway (1841) described a possible lintelled entrance with associated bee-hive huts, but these are no longer visible.",Passage-way/Corridor (South east),No,Yes
1673,"Bryngaer Dinas, Conwy (Dinas Camp, Llanfairfechan)",-1.0,1.0,Total number of breaks cannot be determined as much robbed.,NA,NA,Entrance to inner enclosure - possible inturn on S and out-turn on N.,In-turned (North east); Out-turned (North east),No,No
1674,"Mynydd Llwydiarth, Isle of Anglesey",1.0,1.0,NA,NA,NA,"E entrance, with deeply inturned walls, turning in along a natural scarp, thus forming a funnel-shaped passage similar to Caer y Twr.",In-turned (North east); Passage-way/Corridor (North east),No,No
1676,"Garn Saethon, Gwynedd (Garn Saethon)",0.0,0.0,NA,NA,NA,Not defined.,NA,No,No
1677,"Wyddgrug, Gwynedd",0.0,0.0,NA,NA,NA,Not recorded.,NA,No,No
1678,"Carn Fadrun, Gwynedd (Garn Fadryn; Garn Fadron)",4.0,4.0,NA,NA,NA,"Two entrances on N and S in both inner and outer enclosures, simple gaps.",Simple Gap (North); Simple Gap (South); Simple Gap (North); Simple Gap (South),No,No
1679,"Nant-y-Castell, Llanbedrog, Gwynedd (Castellmarch; Castell March)",-1.0,1.0,Obscured - no estimate.,NA,NA,"Simple gap to N, two large square stones, 2m+ apart, serve as entrance posts.",Simple Gap (North),No,No
1680,"Pen-y-Gaer, Llanbedrog, Gwynedd",1.0,1.0,NA,NA,NA,Simple gap entrance through ramparts on E.,Simple Gap (East),No,No
1681,"Garn Boduan, Gwynedd",4.0,4.0,NA,NA,NA,Two main entrances. That to NE blocked in antiquity. The S entrance is in a natural gully cut diagonally through the rampart. In the citadel W entrance was blocked in antiquity and that to S is damaged.,Blocked (North east); Simple Gap (South); Oblique (South),No,No
1682,"Caer Bach, Conwy",1.0,1.0,NA,NA,NA,"Simple gap through both ramparts on the SE, but badly damaged",Simple Gap (South east),No,No
1684,"Cormiston Towers Farm, South Lanarkshire",0.0,0.0,Ploughed flat,None observed,NA,None known,NA,No,No
1685,"Tre'r Ceiri, Gwynedd",5.0,5.0,NA,NA,NA,"Two main entrances  with three posterns. Main entrance on SW, that on NW threaded through additional walls. Posterns on E, W and N side, latter with corresponding gap through outer wall. SW gateway is approached by cleared track winding though the extramural enclosures. The NW entrance is approached by a well-marked cleared and terraced trackway which starts 150m outside the outer wall.",Simple Gap (North west); Over-lapping (South west),No,No
1686,"Pen-y-Dinas, Llandudno, Conwy",3.0,1.0,NA,Possible site only.,NA,"Although no original entrances defined, above a disturbed section to N, inner wall broken though in two places by modern paths; most W of these could be an entrance.",Simple Gap (North),No,No
1687,"Cerrig-y-Ddinas, Llangelynin, Conwy (Cerrig y Dinas Hillfort; Cerrig-y-Dinas)",4.0,4.0,NA,NA,NA,Entrances difficult to define but four simple gaps -  one to inner wall and three to middle wall. None defined on outer wall.,Simple Gap (South east); Simple Gap (South east); Simple Gap (South west); Simple Gap (North),No,No
