Atlas_Number,Investigations_Display_Name,Investigations_Date,Investigations_Type,Investigations_Comments,Investigations_Date_From,Investigations_Date_To
2722,SC2722,1915,Other,"Description (RCAHMS 1928, 173-4, no.546)",1915,1915
2722,SC2722,1961,Other,Visited by the OS,1961,1961
2722,SC2722,1974,Other,Scheduled,1974,1974
2722,SC2722,1984,Other,"Description and sketch-plan (MacSween 1985, 52-3, fig 72)",1984,1984
2722,SC2722,1991,Other,Visit (Highland HER),1991,1991
2723,SC2723,1873,1st Identified Map Depiction,"Named in Gothic type and annotated 'Supposed site of fort' on the 1st edition OS 6-inch map (Inverness-shire 1877, sheet 91; Name Book, Inverness-shire, No. 29, p 93).",1873,1873
2723,SC2723,1970,Other,Surveyed at 1,1970,1970
2724,SC2724,1872,1st Identified Map Depiction,"Named in Gothic type and annotated 'Remains of Pictish fort' on the 1st edition OS 6-inch map (Inverness-shire 1876, sheet 47)",1872,1872
2724,SC2724,1872,Earthwork Survey,Plan and section by Sir Henry Dryden (RCAHMS IND 241/1-2),1872,1872
2724,SC2724,1894,Earthwork Survey,"Sketch-plan and description by Lockhart Bogle (1895, 184-5, fig 6)",1894,1894
2724,SC2724,1974,Other,Resurveyed at 1,1974,1974
2725,SC2725,2009,1st Identified Written Reference,Description (Ritchie and Taylor 2009),2009,2009
2726,SC2726,1970,1st Identified Map Depiction,"Discovery, description and surveyed at 1",1970,1970
2726,SC2726,1974,Other,Visited by the OS,1974,1974
2726,SC2726,1993,Other,Scheduled,1993,1993
2727,SC2727,1875,1st Identified Map Depiction,"Annotated 'Dun (Supposed Pictish Fort' on the 1st edition of the OS 25-inch map (Ross-shire 1881, sheet 56.4)",1875,1875
2727,SC2727,1886,Other,"Mentioned as a vitrified fort (Dixon 1886, 21, 24, 98)",1886,1886
2727,SC2727,1924,Other,"Sketch-plan and description by William Thomson (1924, 135-9, fig 4)",1924,1924
2727,SC2727,1947,Other,A Mr C Gordon sends pieces of vitrified stone to RCAHMS (Graham 1947),1947,1947
2727,SC2727,1949,Other,"Description and photographs (Graham 1949, 23-4)",1949,1949
2727,SC2727,1965,Other,Surveyed at 1,1965,1965
2727,SC2727,1995,Other,Scheduled,1995,1995
2727,SC2727,1996,Earthwork Survey,Sketch-plan and notes in Highland HER,1996,1996
2728,SC2728,1924,Earthwork Survey,"Sketch-plan and description by William Thomson (1924, 131-3, fig 1)",1924,1924
2728,SC2728,1984,Other,Visited and photographed by Joanna Close-Brookes,1984,1984
2728,SC2728,1995,Other,Scheduled,1995,1995
2728,SC2728,1996,Earthwork Survey,Sketch-plan and notes in Highland HER,1996,1996
2729,SC2729,1877,1st Identified Map Depiction,"Named in Gothic type on the 1st edition OS 6-inch map (Inverness-shire, Skye, 1881, sheet 23)",1877,1877
2729,SC2729,1921,Other,"Description (RCAHMS 1928, 196-7, o.620)",1921,1921
2729,SC2729,1960,Other,Scheduled,1960,1960
2729,SC2729,1961,Other,Visited by the OS,1961,1961
2729,SC2729,1984,Other,"Description and sketch-plan (MacSween 1985, 44, fig 21)",1984,1984
2729,SC2729,1985,Other,"Description and plan (Swanson 1985, 828-30, cited by Mackie 2007, 835-6)",1985,1985
2730,SC2730,1961,1st Identified Map Depiction,Discovery and description by the OS,1961,1961
2730,SC2730,1971,Other,Visited by the OS; description,1971,1971
2730,SC2730,1984,Other,"Description and sketch-plan (MacSween 1985, 45, fig 29)",1984,1984
2730,SC2730,1985,Other,"Description and sketch-plan (Swanson 1985, 831-32, cited by MacKie 2007, 836)",1985,1985
2731,SC2731,1921,Earthwork Survey,"Plan and description (RCAHMS 1928, 197-8, no.621, fig 283; RCAHMS IND 29/1-2)",1921,1921
2731,SC2731,1922,Excavation,No published report (RCAHMS MS453/38),1922,1922
2731,SC2731,1936,Other,Scheduled,1936,1936
2731,SC2731,1968,1st Identified Map Depiction,OS 1,1968,1968
2731,SC2731,1971,Other,Description; visited by the OS,1971,1971
2731,SC2731,1984,Other,"Description and sketch-plan (MacSween 1984, 49, fig 51)",1984,1984
2732,SC2732,1990,1st Identified Written Reference,Description by RCAHMS fieldwork,1990,1990
2733,SC2733,1990,1st Identified Written Reference,Description RCAHMS fieldwork,1990,1990
2733,SC2733,1991,Other,Description Murdo Nicolson (Miket 1991); sketch-plan in Highland HER,1991,1991
2734,SC2734,1877,1st Identified Map Depiction,"Annotated Dun on the 1st edition OS 6-inch map (Inverness-shire, Skye, 1881, sheet 33)",1877,1877
2734,SC2734,1915,Other,"Description (RCAHMS 1928, 144-5, no.484)",1915,1915
2734,SC2734,1963,Earthwork Survey,"Euan MacKie (2000, 305, fig 3; contours surveyed 1965)",1963,1963
2734,SC2734,1964,Excavation,Directed by Euan MacKie (1965; 2000),1964,1964
2734,SC2734,1965,Excavation,"Directed by Euan MacKie (1965; 2000; 2007, 819-828)",1965,1965
2734,SC2734,1984,Other,"Description and sketch-plan (MacSween 198553, fig 76)",1984,1984
2734,SC2734,1997,Other,Scheduled,1997,1997
2735,SC2735,1921,Earthwork Survey,"Plan and description (RCAHMS 1928, 201-2, no.628, fig 286; RCAHMS IND 26/1-2; MS36/68)",1921,1921
2735,SC2735,1961,1st Identified Map Depiction,Visited by the OS,1961,1961
2735,SC2735,1971,Other,Visited by the OS,1971,1971
2735,SC2735,1984,Other,"Description and sketch-plan (MacSween 1985, 48, fig 46)",1984,1984
2736,SC2736,1982,1st Identified Written Reference,Description (Martlew 1982),1982,1982
2736,SC2736,2000,Other,Scheduled,2000,2000
2737,SC2737,1990,1st Identified Written Reference,Description and sketch-plan (Miket 1990; RCAHMS MS530),1990,1990
2738,SC2738,1914,1st Identified Written Reference,"Description (RCAHMS 1928, 189-90, no.606)",1914,1914
2738,SC2738,1934,Other,Scheduled,1934,1934
2738,SC2738,1961,1st Identified Map Depiction,Visited by the OS,1961,1961
2738,SC2738,1984,Other,"Description and sketch-plan (MacSween 1985, 45, fig 31)",1984,1984
2738,SC2738,1996,Other,Re-Scheduled,1996,1996
2738,SC2738,2011,Other,Visited by Martin Wildgoose,2011,2011
2739,SC2739,1915,1st Identified Written Reference,"Description (RCAHMS 1928, 190, no.608)",1915,1915
2739,SC2739,1961,1st Identified Map Depiction,Visited by the OS,1961,1961
2739,SC2739,1984,Other,"Description and sketch-plan (MacSween 1985, 50, fig 55)",1984,1984
2740,SC2740,1915,1st Identified Written Reference,"Description (RCAHMS 1928, 188, no. 601)",1915,1915
2740,SC2740,1984,Other,"Description and sketch-plan (MacSween 1985, 50, fig 56)",1984,1984
2741,SC2741,1876,1st Identified Map Depiction,"Annotated Fort on the 1st edition OS 6-inch map (Inverness-shire, Skye, 1881, sheet 51)",1876,1876
2741,SC2741,1914,Other,"Description (RCAHMS 1928, 212, no.656; RCAHMS MS36/68)",1914,1914
2741,SC2741,1961,Other,Visited by the OS,1961,1961
2741,SC2741,1963,Other,Scheduled,1963,1963
2741,SC2741,1984,Other,"Description and sketch-plan (MacSween 1985, 46, fig 34)",1984,1984
2742,EN2742,1970s,Other,Oral correspondence,1970,1979
2743,SC2743,1993,1st Identified Written Reference,Identified by members of ACFA (Association of Credited Field Archaeologists),1993,1993
2744,SC2744,1921,1st Identified Written Reference,"Wall and vitrifaction noted (Wallace 1921, 109)",1921,1921
2744,SC2744,1966,Other,Visited by the OS,1966,1966
2744,SC2744,1974,Other,Visited by the OS,1974,1974
2744,SC2744,1998,Other,Scheduled,1998,1998
2744,SC2744,2008,Excavation,"Evaluation (Field Archaeology Specialists Ltd, 2008)",2008,2008
2744,SC2744,2009,Excavation,"Area excavation (Field Archaeology Specialists Ltd, 2009)",2009,2009
2744,SC2744,2010,Excavation,"Area excavation (Field Archaeology Specialists Ltd, 2010)",2010,2010
2745,SC2745,1974,1st Identified Map Depiction,Discovery and description and surveyed at 1,1974,1974
2746,SC2746,1872,1st Identified Map Depiction,"Named in Gothic type and annotated '(Remains of Pictish Fort)' on the 1st edition OS 6-inch map (Inverness-shire 1876, sheet 47)",1872,1872
2746,SC2746,1895,Earthwork Survey,Sketch-plan and description,1895,1895
2746,SC2746,1966,Other,Surveyed at 1,1966,1966
2746,SC2746,1974,Earthwork Survey,Divorced survey by the OS,1974,1974
2747,SC2747,1886,1st Identified Written Reference,"Noted (Dixon 1886, 98)",1886,1886
2747,SC2747,1965,1st Identified Map Depiction,Visited by the OS,1965,1965
2747,SC2747,1994,Other,Description from RCAHMS fieldwork,1994,1994
2747,SC2747,1998,Other,Visited by Jill Harden for the National Trust for Scotland,1998,1998
2748,SC2748,1874,1st Identified Map Depiction,"Named in Gothic type on the 1st edition OS 6-inch map (Ross-shire 1880, sheet 128)",1874,1874
2748,SC2748,1895,Earthwork Survey,"Sketch-plan and description (Bogle 1895, 188-9, fig 11)",1895,1895
2748,SC2748,1969,Other,Scheduled,1969,1969
2748,SC2748,1974,Other,Surveyed at 1,1974,1974
2749,SC2749,1877,1st Identified Map Depiction,"Named in Gothic type on the 1st edition OS 25-inch map (Inverness-shire, Skye, 1881, sheet 21.3)",1877,1877
2749,SC2749,1921,Earthwork Survey,"Plan and description (RCAHMS 1928, 156, no.506, fig 223; RCAHMS IND 27/1-2)",1921,1921
2749,SC2749,1984,Other,"Description and sketch-plan (MacSween 1985, 42, fig 8)",1984,1984
2749,SC2749,1985,Other,"Description and sketch-plan (Swanson 1988, 864-5 cited in MacKie 2007, 810-11)",1985,1985
2749,SC2749,1989,Excavation,Evaluation (MacSween and Reed 1989),1989,1989
2749,SC2749,1990,Excavation,(MacSween and Reed 1990),1990,1990
2749,SC2749,1993,Excavation,(MacSween and Reed 1994),1993,1993
2750,SC2750,1875,1st Identified Map Depiction,"Named in Gothic type on the 1st edition OS 6-inch map (Inverness-shire, Skye, 1878, sheet 5)",1875,1875
2750,SC2750,1915,Other,"Description (RCAHMS 1928, 159-60, no.511)",1915,1915
2750,SC2750,1934,Other,Scheduled,1934,1934
2750,SC2750,1961,Other,Visited by the OS,1961,1961
2750,SC2750,1971,Other,Visited by the OS and divorced survey at 1,1971,1971
2750,SC2750,1984,Other,"Description and sketch-plan (MacSween 198543, fig 13)",1984,1984
2750,SC2750,1985,Other,"Description and sketch-plan (Swanson 1985, 845-6, cited by MacKie 2007, 815)",1985,1985
2750,SC2750,1990,Other,Description by RCAHMS,1990,1990
2750,SC2750,1997,Other,Re-Scheduled,1997,1997
2751,SC2751,1876,1st Identified Map Depiction,"Named in Gothic type on the 1st edition OS 6-inch map (Inverness-shire, Skye, 1882, sheet 57)",1876,1876
2751,SC2751,1915,Other,"Description (RCAHMS 1928, 189, no.602)",1915,1915
2751,SC2751,1961,Other,Visited by the OS,1961,1961
2751,SC2751,1994,Other,"Description (Dualchas, Skye and Lochalsh Museums Service 1994)",1994,1994
2752,SC2752,1875,1st Identified Map Depiction,"Named in Gothic type on the 1st edition OS 25-inch map (Inverness-shire, Skye, 1880, sheet 9.11)",1875,1875
2752,SC2752,1921,Earthwork Survey,"Plan and description (RCAHMS 1928, 158-9, no.509, fig 226; RCAHMS IND 37/1-2)",1921,1921
2752,SC2752,1936,Other,Scheduled,1936,1936
2752,SC2752,1961,Other,Visited by the OS,1961,1961
2752,SC2752,1963,Other,Visited by Euan MacKie (2007),1963,1963
2752,SC2752,1984,Other,"Description and sketch-plan (MacSween 42-3, fig 11)",1984,1984
2752,SC2752,1985,Other,"Description by Euan MacKie (2007, 814-15)",1985,1985
2752,SC2752,1985,Other,"Description and sketch-plan (Swanson 1985, 851-2 cited by MacKie 2007, 814-15)",1985,1985
2752,SC2752,1990,Other,Description by RCAHMS,1990,1990
2753,SC2753,1877,1st Identified Map Depiction,"Annotated Fort on the 1st edition OS 6-inch map (Inverness-shire,Skye, 1881, sheet 28)",1877,1877
2753,SC2753,1915,Other,"Description (RCAHMS 1928, 143, no.482)",1915,1915
2753,SC2753,1961,Other,Visited by the OS; divorced plan,1961,1961
2753,SC2753,1963,Other,Scheduled,1963,1963
2753,SC2753,1984,Other,"Description and sketch-plan (MacSween 1985, 41, fig 3)",1984,1984
2753,SC2753,1985,Other,"Description and sketch-plan (Swanson 1985, 884, cited by MacKie 2007, 831)",1985,1985
2754,SC2754,1875,1st Identified Map Depiction,"Named in Gothic type on the 1st edition OS 25-inch map (Inverness-shire, Skye, 1881, sheet 16.12)",1875,1875
2754,SC2754,1921,Earthwork Survey,"Plan and description (RCAHMS 1928, 194-6, no.618, fig 281; RCAHMS IND 49/1-4)",1921,1921
2754,SC2754,1934,Other,Scheduled,1934,1934
2754,SC2754,1961,Other,Visited by the OS,1961,1961
2754,SC2754,1963,Other,"Visited by Euan MacKie (2007, 833)",1963,1963
2754,SC2754,1984,Other,"Description and sketch-plan (1985, 43, fig 16)",1984,1984
2754,SC2754,1985,Other,"Description by Euan MacKie (2007, 833)",1985,1985
2754,SC2754,1985,Other,"Description and sketch-plan (Swanson 1985, 838-41)",1985,1985
2754,SC2754,1996,Other,Re-Scheduled,1996,1996
2755,SC2755,1875,1st Identified Map Depiction,"Named in Gothic type on the 1st edition OS 25-inch map (Inverness-shire, Skye, sheet 16.11)",1875,1875
2755,SC2755,1915,Other,"Description (RCAHMS 1928, 160, no.513)",1915,1915
2755,SC2755,1960,Other,Scheduled,1960,1960
2755,SC2755,1961,Other,Visited by the OS; divorced survey at 1,1961,1961
2755,SC2755,1963,Other,"Visited by Euan MacKie (2007, 832-3)",1963,1963
2755,SC2755,1971,Other,Visited by the OS,1971,1971
2755,SC2755,1984,Other,"Description and sketch-plan (MacSween 1985, 43, fig 15)",1984,1984
2755,SC2755,1985,Other,"Description and sketch-plan (Swanson 1985, 833-4, cited by MacKie 2007, 832-3)",1985,1985
2755,SC2755,1997,Other,Re-Scheduled,1997,1997
2756,SC2756,1914,1st Identified Written Reference,"Description (RCAHMS 1928, 176, no.564)",1914,1914
2756,SC2756,1971,Other,Surveyed at 1,1971,1971
2756,SC2756,1984,Other,"Description and sketch-plan (MaSween 1985, 45, fig 30)",1984,1984
2756,SC2756,1985,Other,"Description and sketch-plan (Swanson 1985, 817-18, cited by MacKie 2007, 834)",1985,1985
2757,SC2757,1878,1st Identified Map Depiction,"Named in Gothic type on the 1st edition OS 6-inch map (Inverness-shire, Hebrides, 1880, sheet 64)",1878,1878
2757,SC2757,1915,Other,"Description (RCAHMS 1928, 131, no.446)",1915,1915
2757,SC2757,1956,Other,"Visited by Alison Young (1956, 292-3, fig 2.8; 1962, 193)",1956,1956
2757,SC2757,1965,Other,Surveyed at 1,1965,1965
2757,SC2757,1991,Other,"Description (Branigan and Foster 1995, 84; RCAHMS MS595/6)",1991,1991
2757,SC2757,2005,Other,Scheduled,2005,2005
2758,SC2758,1996,1st Identified Written Reference,Coastal erosion assessment survey (Burgess 1999; Burgess and Church 1997),1996,1996
2758,SC2758,2009,Other,Description by RCAHMS (S Halliday),2009,2009
2759,SC2759,1865,Earthwork Survey,"Drawn by Captain F W Thomas 1861-5 (1890, 394-5, pl 52; RCAHMS DC 25547)",1865,1865
2759,SC2759,1969,Other,Attempted visit by the OS,1969,1969
2759,SC2759,1992,Other,Scheduled,1992,1992
2760,SC2760,1995,1st Identified Written Reference,Discovery (Burgess and Church 1995),1995,1995
2760,SC2760,1996,Excavation,Burgess et al 1996; Nesbitt et al 2011,1996,1996
2760,SC2760,1998,Excavation,Church et al 1998; Nesbitt et al 2011,1998,1998
2760,SC2760,2009,Other,Description by RCAHMS,2009,2009
2761,SC2761,1995,Earthwork Survey,"Plan and description (Burgess and Gilmour 1995; Burgess 1999, 100). Dimensions given for the wall are twice actual size.",1995,1995
2761,SC2761,2005,Other,Description by Simon Gilmour for RCAHMS,2005,2005
2761,SC2761,2014,Other,Description in the field by S Halliday,2014,2014
2762,SC2762,1865,1st Identified Written Reference,"Description By Captain F W Thomas (1890, 382; RCAHMS MS28/33)",1865,1865
2762,SC2762,1914,Other,"Description (RCAHMS 1928, 6, no.12)",1914,1914
2762,SC2762,1969,1st Identified Map Depiction,Visited by the OS,1969,1969
2762,SC2762,2014,Other,Description by S Halliday,2014,2014
2763,SC2763,1850,1st Identified Written Reference,"Description (Name Book, Ross-shire, No.26, p 29)",1850,1850
2763,SC2763,1852,1st Identified Map Depiction,"Annotated 'Ruin' on the 1st edition OS 6-inch map (Ross-shire, Island of Lewis, 1853, sheet 12)",1852,1852
2763,SC2763,1969,Other,Surveyed at 1,1969,1969
2763,SC2763,2004,Earthwork Survey,Plan and description (Barrowman 2004; RCAHMS MS6855/1),2004,2004
2764,SC2764,1853,1st Identified Map Depiction,"Named in Gothic type on the 1st edition OS 6-inch map (Ross-shire, Island of Lewis, 1853, sheet 33)",1853,1853
2764,SC2764,1865,Other,"Description by Captain F W Thomas (1890, 379-80; RCAHMS MS28/33)",1865,1865
2764,SC2764,1914,Other,"Description (RCAHMS 1928, 12, no.40)",1914,1914
2764,SC2764,1969,Other,Visited by the OS,1969,1969
2765,SC2765,1914,1st Identified Written Reference,"Description (RCAHMS 1928, 14, no.46)",1914,1914
2765,SC2765,1964,1st Identified Map Depiction,Visited by the OS,1964,1964
2765,SC2765,1992,Earthwork Survey,description and possibly a drawn plan but unseen by SH (Cunningham and Hothersall 1992),1992,1992
2765,SC2765,1992,Other,Scheduled,1992,1992
2765,SC2765,2014,Other,Description and photographs by S Halliday,2014,2014
2766,SC2766,1964,1st Identified Written Reference,Discovery and description A L F Rivet for the OS,1964,1964
2766,SC2766,1964,1st Identified Map Depiction,Surveyed at 1,1964,1964
2766,SC2766,1999,Other,"Noted (Burgess 1999, 95, 98)",1999,1999
2766,SC2766,2009,Other,Description by RCAHMS,2009,2009
2767,SC2767,1999,1st Identified Written Reference,"Noted (Burgess 1999, 98)",1999,1999
2767,SC2767,2009,Other,Description by RCAHMS,2009,2009
2768,SC2768,1849,1st Identified Map Depiction,"Named in Gothic type on the 1st edition OS 6-inch map (Ross-shire, Island of Lewis, 1851, sheet 21)",1849,1849
2768,SC2768,1865,1st Identified Written Reference,"Noted by Rev M Macphail (Thomas 1890, 377)",1865,1865
2768,SC2768,1914,Other,"Description (RCAHMS 1928, 14, no.47)",1914,1914
2768,SC2768,1964,Other,Visited by the OS,1964,1964
2768,SC2768,1992,Other,Scheduled,1992,1992
2768,SC2768,2014,Other,Visited by S Halliday,2014,2014
2769,SC2769,1865,1st Identified Written Reference,"Description by Captain F W Thomas (1890, 370)",1865,1865
2769,SC2769,1914,Other,"Description (RCAHMS 1928, 11, no.34)",1914,1914
2769,SC2769,1969,Other,Visited by the OS,1969,1969
2769,SC2769,1992,Other,Scheduled,1992,1992
2769,SC2769,2014,Other,Description by S Halliday,2014,2014
2770,SC2770,2005,1st Identified Written Reference,Noted from RCAHMS aerial photographs,2005,2005
2770,SC2770,2014,Other,Visited and description by S Halliday,2014,2014
2771,SC2771,2010,Other,Description by RCAHMS (S Halliday),2010,2010
2772,SC2772,1865,1st Identified Written Reference,"Description by Captain F W Thomas, possibly from information supplied by Rev M Macphail (Thomas 1890, 365-9; RCAHMS DC25544)",1865,1865
2772,SC2772,1866,Excavation,Trench dug by Rev M Macphail (Barrowman 2006),1866,1866
2772,SC2772,1914,Other,"Description (RCAHMS 1928, 7, no.15)",1914,1914
2772,SC2772,1969,1st Identified Map Depiction,Surveyed at 1,1969,1969
2772,SC2772,1992,Other,Scheduled,1992,1992
2772,SC2772,2000,Earthwork Survey,Survey by GUARD (RCAHMS MS/725/287),2000,2000
2772,SC2772,2001,Geophysical Survey,Survey by GUARD,2001,2001
2772,SC2772,2001,Excavation,Evaluation by GUARD (Barrowman 2001),2001,2001
2772,SC2772,2002,Excavation,In advance of footbridge (Barrowman 2002),2002,2002
2772,SC2772,2005,Excavation,Barrowman 2005,2005,2005
2772,SC2772,2006,Excavation,Barrowman 2006,2006,2006
2772,SC2772,2007,Excavation,Barrowman 2007,2007,2007
2773,SC2773,1865,Other,"Noted by Captain F W Thomas (1890, 369)",1865,1865
2773,SC2773,1969,Other,Surveyed at 1,1969,1969
2774,WA2774,Uncertain,Other,RCAHMW aerial photograph interpretation.,null,null
2775,WA2775,2006,Other,CPAT defended enclosures survey.,2006,2006
2776,SC2776,1998,1st Identified Written Reference,Noted by Malcolm Bangor-Jones (1998),1998,1998
2776,SC2776,2009,Earthwork Survey,Plan and description Gordon Sleight through RCAHMS SRP project.,2009,2009
2777,SC2777,1875,1st Identified Map Depiction,"Named in Gothic type and annotated '(Pictish)' on the 1st edition OS 6-inch map (Sutherland 1878, sheet 48)",1875,1875
2777,SC2777,1909,Other,"Description (RCAHMS 1911, 2, no.6)",1909,1909
2777,SC2777,2008,Earthwork Survey,"Plan and description by Gordon Sleight, Historic Assynt for RCAHMS SRP project",2008,2008
2778,SC2778,1875,1st Identified Map Depiction,"Named in Gothic type on the 1st edition OS 6-inch map (Ross-shire 1881, sheet 7) and annotated '(Supposed Danish Fort)'",1875,1875
2778,SC2778,1947,Earthwork Survey,"Plan and description (Calder and Steer 1949, 74-5, fig 4; RCAHMS RCD 4/1-2)",1947,1947
2778,SC2778,1964,Other,Scheduled,1964,1964
2778,SC2778,1973,Other,"Noted and photographed by Helen Nisbet (1975, 15)",1973,1973
2778,SC2778,1974,Other,Revised at 1,1974,1974
2779,SC2779,1971,1st Identified Written Reference,"Description by Raymond Lamb (1980, 71)",1971,1971
2779,SC2779,1980,1st Identified Map Depiction,Surveyed at 1,1980,1980
2779,SC2779,2000,Other,Visited for MoD Operation Auk; archaeological survey (Lieu 2000),2000,2000
2779,SC2779,2001,Other,"Visited for MoD Operation Auk; archaeological survey (Street 2001), but seems to have failed to recognise the remains of the fort",2001,2001
2779,SC2779,2008,Other,Description by RCAHMS,2008,2008
2780,SC2780,1966,1st Identified Map Depiction,Description and discovery by Keith Blood of the OS. Surveyed at 1,1966,1966
2780,SC2780,1973,Excavation,Excavation and outline survey (Nisbet 1973; 1994; RCAHMS DC43920),1973,1973
2780,SC2780,1974,Excavation,Excavation (Nisbet 1974; 1994),1974,1974
2780,SC2780,1976,Other,Surveyed at 1,1976,1976
2780,SC2780,1992,Other,Scheduled,1992,1992
2781,SC2781,1874,1st Identified Map Depiction,"Annotated Pictish Tower on the 1st edition OS 25-inch map (Sutherland 1878, sheet 5.4)",1874,1874
2781,SC2781,1909,Other,"Description (RCAHMS 1911, 54-5, no.158)",1909,1909
2781,SC2781,1960,Other,Visited by the OS,1960,1960
2781,SC2781,1971,Other,Surveyed at 1,1971,1971
2781,SC2781,1971,Other,"Description and photographs by Raymond Lamb (1980, 71-2)",1971,1971
2781,SC2781,1992,Other,Scheduled,1992,1992
2782,SC2782,1971,Earthwork Survey,"Discovery, sketch-plan and description by Raymond Lamb (1971; 1973, 76, 78, 79; RCAHMS DC1930)",1971,1971
2782,SC2782,1977,1st Identified Map Depiction,Surveyed at 1,1977,1977
2782,SC2782,1992,Other,Scheduled,1992,1992
2783,SC2783,1980,1st Identified Written Reference,Description by the OS,1980,1980
2783,SC2783,1980,1st Identified Map Depiction,Surveyed at 1,1980,1980
2783,SC2783,1980,Earthwork Survey,Plan at 1,1980,1980
2784,SC2784,1987,1st Identified Written Reference,Discovery and description by Duncan Ross (1987),1987,1987
2785,SC2785,1873,1st Identified Map Depiction,"Annotated 'Pictish Tower' on the 1st edition OS 25-inch map (Sutherland 1879, sheet 104.7)",1873,1873
2785,SC2785,1909,Other,"Description (RCAHMS 1911, 165-6, no.479)",1909,1909
2785,SC2785,1966,Other,Surveyed at 1,1966,1966
2785,SC2785,1981,Other,Description and revised at 1,1981,1981
2785,SC2785,1993,Other,Scheduled,1993,1993
2785,SC2785,1995,Other,Description,1995,1995
2786,SC2786,1909,1st Identified Written Reference,"Description (RCAHMS 1911, 11-12, no.29)",1909,1909
2786,SC2786,1935,Other,Scheduled,1935,1935
2786,SC2786,1961,1st Identified Map Depiction,Visited by the oS,1961,1961
2786,SC2786,1975,Other,Visited by the OS,1975,1975
2786,SC2786,1975,Earthwork Survey,"Sketch-plan and description (Hogg 1975, 194-5, fig 60)",1975,1975
2786,SC2786,1990,Other,"Description by Joanna Close-Brooks (1995, 141)",1990,1990
2786,SC2786,1997,Other,Visited by the Hill-Fort Study Group,1997,1997
2787,SC2787,1873,1st Identified Map Depiction,"Annotated 'Supposed Remains of Fort' on the 1st edition OS 6-inch map (Sutherland 1878, sheet 46)",1873,1873
2787,SC2787,1909,Other,Description,1909,1909
2787,SC2787,1934,Other,Scheduled,1934,1934
2787,SC2787,1960,Other,Visited by the OS,1960,1960
2787,SC2787,1977,Other,Visited by the OS,1977,1977
2787,SC2787,1982,Other,Description (Ralston and Smith 1983),1982,1982
2787,SC2787,1988,Earthwork Survey,Plan and description (Mercer 1991),1988,1988
2787,SC2787,1997,Other,Visited by the Hill-Fort Study Group,1997,1997
2788,SC2788,1873,1st Identified Map Depiction,"Named in Gothic type on the 1st edition OS 6-inch map (Sutherland 1878, sheet 10)",1873,1873
2788,SC2788,1909,Other,"Description (RCAHMS 1911, 129, no.191)",1909,1909
2788,SC2788,1960,Other,Visited by the OS,1960,1960
2788,SC2788,1971,Other,"Description and sketch-plan by Raymond Lamb (1980, 24 fig 9, 72)",1971,1971
2788,SC2788,1972,Other,Visited by the OS,1972,1972
2788,SC2788,1977,Earthwork Survey,Visited by the OS; surveyed at 1,1977,1977
2788,SC2788,1980,Earthwork Survey,"Plan and description by R J Mercer (1981, 129, fig 28; RCAHMS SUD 107/170 & SUD 107/58)",1980,1980
2788,SC2788,1997,Other,Visited by the Hill-Fort Study Group,1997,1997
2788,SC2788,2004,Earthwork Survey,Plan and description by J E Kirby in Highland HER (the N point appears to be skewed ),2004,2004
2789,SC2789,1873,1st Identified Map Depiction,"Named in Gothic type on the 1st edition OS 6-inch map (Sutherland 1878, sheet 10)",1873,1873
2789,SC2789,1909,Other,"Description (RCAHMS 1911, 63, no.192)",1909,1909
2789,SC2789,1960,Other,Surveyed at 1,1960,1960
2789,SC2789,1971,Other,Visited and photographed by Raymond Lamb,1971,1971
2789,SC2789,1972,Earthwork Survey,Surveyed at 1,1972,1972
2789,SC2789,1977,Other,Visited by the OS,1977,1977
2789,SC2789,1980,Earthwork Survey,"Plan and description by R J Mercer (1981, 130, fig 29; RCAHMS SUD 107/170 & SUD 107/58)",1980,1980
2789,SC2789,2004,Earthwork Survey,Plan and description by J E Kirby in Highland HER,2004,2004
2790,SC2790,1873,1st Identified Map Depiction,"Annotated Fort on the 1st edition OS 6-inch map (Sutherland 1878, sheet 10; Name Book, Sutherland, No.20, p 73)",1873,1873
2790,SC2790,1909,Other,"Description (RCAHMS 1911, 63-4, no.193)",1909,1909
2790,SC2790,1960,Other,Visited by the OS,1960,1960
2790,SC2790,1971,Other,Visited and photographed by Raymond Lamb,1971,1971
2790,SC2790,1977,Earthwork Survey,Planned at 1,1977,1977
2790,SC2790,1980,Earthwork Survey,"Plan and description by R J Mercer (1981, 130, fig 28; RCAHMS SUD 107/169 & SUD 107/59)",1980,1980
2790,SC2790,1981,Other,Surveyed at 1,1981,1981
2790,SC2790,2004,Earthwork Survey,Plan and description by J E Kirby in Highland HER,2004,2004
2791,SC2791,1971,1st Identified Written Reference,Noted and photographed in passing by Raymond Lamb,1971,1971
2791,SC2791,2004,Earthwork Survey,Sketch plan and description by J E Kirby in Highland HER,2004,2004
2792,SC2792,1972,1st Identified Map Depiction,Discovery and description by the OS,1972,1972
2792,SC2792,1977,Other,Surveyed at 1,1977,1977
2792,SC2792,1977,Earthwork Survey,Surveyed at 1,1977,1977
2793,SC2793,1875,1st Identified Map Depiction,"Named in Gothic type and annotated '(Pictish)' on the 1st edition OS 6-inch map (Sutherland 1878, sheet 58)",1875,1875
2793,SC2793,1909,Other,"Description (RCAHMS 1911, 2-3, no.7)",1909,1909
2793,SC2793,1935,Other,Scheduled,1935,1935
2793,SC2793,1960,Other,Visited by the OS,1960,1960
