References_Atlas_Number,References_Title_Name,References_Source,References_Citation
2606,"SC2606 Dun na Cuaiche, Argyll & Bute",Campbell and Sandeman 1962,"Campbell and Sandeman, M and M (1962) 'Mid Argyll"
2607,"SC2607 Dun Deardail, Highland",Christison 1889,"Christison, D (1889) The duns and forts of Lorne, Nether Lochaber, and the neighbourhood'. Proc Soc Antiq Scot 23 (1888-9), 368-432"
2607,"SC2607 Dun Deardail, Highland",Christison 1898,"Christison, D (1898) Early fortifications in Scotland"
2607,"SC2607 Dun Deardail, Highland",Cotton 1954,"Cotton, M A (1954) 'British camps with timber-laced ramparts'. Archaeol J 111 (1954), 26-105"
2607,"SC2607 Dun Deardail, Highland",Feachem 1977,"Feachem, R W (1977) Guide to prehistoric Scotland, London"
2607,"SC2607 Dun Deardail, Highland",Headland Archaeology Ltd 2011,Headland Archaeology Ltd 2011 A Topographic Survey of Five Pictish Forts in the Highlands. Report to the Forestry Commission
2607,"SC2607 Dun Deardail, Highland",Nisbet 1974,"Nisbet, H C (1974) 'A geological approach to vitrified forts, part I"
2607,"SC2607 Dun Deardail, Highland",Nisbet 1975,"Nisbet, H C (1975) 'A geological approach to vitrified forts, part II"
2607,"SC2607 Dun Deardail, Highland",Ritchie 2009,"Ritchie, M (2009) 'Dun Deardail Fort, Glen Nevis, Highland (Kilmallie parish), conservation management'. Disc Exc Scot, New Ser 10 (2009), 101-102"
2607,"SC2607 Dun Deardail, Highland",Williams 1777,"Williams, J (1777) An account of some remarkable ancient ruins, lately discovered in the highlands and northern parts of Scotland"
2608,"SC2608 Killin, Innes Bhuidhe, Stirling",Cash 1912,"Cash, C G (1912) 'Archaeological gleanings from Killin'. Proc Soc Antiq Scot 46 (1911-12), 264-85"
2609,"SC2609 Killin, Innes Bhuidhe, Burial Ground of The Macnabs, Stirling",Cash 1912,"Cash, C G (1912) 'Archaeological gleanings from Killin'. Proc Soc Antiq Scot 46 (1911-12), 264-85"
2610,"WA2610 Caer Pencraig, Ty'n y Caeau, Gwynedd",Caffell 1977,"Caffell, G. 1977. Annual Report, Cymdeithas Archaeoleg Llandegai a Llanllechid Annual Report, 21 (a), 5."
2610,"WA2610 Caer Pencraig, Ty'n y Caeau, Gwynedd",Hughes 1866,"Hughes, H. D. 1866. Hynafiaethau Llandegai a Llanllechid, 9, 17."
2610,"WA2610 Caer Pencraig, Ty'n y Caeau, Gwynedd",Owen 1872,"Owen, E. 1872. Portions of the Parishes of Llanllechid & Llendegai, Arch Camb, VOL. 3, 4th Series, 239."
2610,"WA2610 Caer Pencraig, Ty'n y Caeau, Gwynedd",Smith 2005,"Smith, G.H. 2005 , A Survey of Prehistoric Defended Enclosures in North West Wales 2004-2005"
2610,"WA2610 Caer Pencraig, Ty'n y Caeau, Gwynedd",Waddington 2013,"Waddington, K. 2013. The Settlements of Northwest Wales"
2611,"SC2611 Dun-Da-Lamh, Laggan, Highland",Close-Brooks 1986,"Close-Brooks, J (1986) Exploring Scotland's heritage"
2611,"SC2611 Dun-Da-Lamh, Laggan, Highland",Dalland 2002,"Dalland, M (2002) 'Dun da Lamh, Laggan, Highland (Laggan parish), hillfort'. Disc Exc Scot, New Ser 3 (2002), 74"
2611,"SC2611 Dun-Da-Lamh, Laggan, Highland",Feachem 1977,"Feachem, R W (1977) Guide to prehistoric Scotland, London"
2611,"SC2611 Dun-Da-Lamh, Laggan, Highland",Headland Archaeology Ltd 2011,Headland Archaeology Ltd 2011 A Topographic Survey of Five Pictish Forts in the Highlands. Report to the Forestry Commission
2611,"SC2611 Dun-Da-Lamh, Laggan, Highland",Mackay 1857,"Mackay, M (1857) 'Description of the hill-fort of Dun-da-Laimh, in the Parish of Laggan, District of Badenoch, Inverness-shire'. Archaeol Scotica 4 (1857), 305-12"
2611,"SC2611 Dun-Da-Lamh, Laggan, Highland",Wallace 1921,"Wallace, T (1921) 'Archaeological notes'. Trans Inverness Sci Soc Fld Club 8 (1921), 125-31"
2611,"SC2611 Dun-Da-Lamh, Laggan, Highland",Wilson 1863,"Wilson, D (1863) Prehistoric annals of Scotland, 2v London (i, 91-2)"
2612,"SC2612 Dunmore, Stirling",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
2612,"SC2612 Dunmore, Stirling",Maclagan 1873,"Maclagan, C (1873) 'On the round castles and ancient dwellings of the Valley of the Forth and its tributary the Teith'. Proc Soc Antiq Scot 9 (1870-72), 29-44"
2612,"SC2612 Dunmore, Stirling",NSA 1834,"NSA (1834-1845) The new statistical account of Scotland by the ministers of the respective parishes under the superintendence of a committee of the society for the benefit of the sons and daughters of the clergy, 15v Edinburgh"
2612,"SC2612 Dunmore, Stirling",Nisbet 1975,"Nisbet, H C (1975) 'A geological approach to vitrified forts, part II"
2612,"SC2612 Dunmore, Stirling",Sinclair 1791,Stat Acct (date) Statistical Account of Scotland
2612,"SC2612 Dunmore, Stirling",Thomson 1964,"Thomson, J K (1964) 'Dunmore, Callender'. Disc Exc Scot (1964), 41"
2613,"SC2613 Auchenlaich, Stirling",Maclagan 1873,"Maclagan, C (1873) 'On the round castles and ancient dwellings of the Valley of the Forth and its tributary the Teith'. Proc Soc Antiq Scot 9 (1870-72), 29-44"
2613,"SC2613 Auchenlaich, Stirling",Sinclair 1791,Stat Acct (date) Statistical Account of Scotland
2614,"SC2614 Mid Torrie, 'The Auld Knowe', Stirling",Christison 1902,"Christison, D (1902) 'Notices of an ancient fort and stone circle at Wester Torrie, near Callander, Perthshire'. Proc Soc Antiq Scot 36 (1901-2), 614-18"
2616,"SC2616 Tamnafalloch, Stirling",Ordnance Survey n.d.,"Name Book, Ordnance Survey Object Name Books (6 inch and 1/2500 scale); available http"
2617,"SC2617 Keir, Easter Tarr, Stirling",Chalmers 1887,"Chalmers, G (1887-94) Caledonia"
2617,"SC2617 Keir, Easter Tarr, Stirling",Chrystal 1903,"Chrystal, W (1903) The kingdom of Kippen"
2617,"SC2617 Keir, Easter Tarr, Stirling",Ordnance Survey n.d.,"Name Book, Ordnance Survey Object Name Books (6 inch and 1/2500 scale); available http"
2618,"SC2618 Bareyra, Stirling",Feachem 1977,"Feachem, R (1977) A guide to prehistoric Scotland. Batsford"
2618,"SC2618 Bareyra, Stirling",Stewart 1955,"Stewart, M E C (1955) 'Bareya Fort above Killin'. Disc Exc Scot (1955), 23"
2618,"SC2618 Bareyra, Stirling",Watson 1913,"Watson, W J (1913) 'The circular forts of north Perthshire'. Proc Soc Antiq Scot 47 (1912-13), 30-60"
2619,"SC2619 Firbush Point, Stirling",Gillies 1938,"Gillies, W A (1938) In famed Breadalbane"
2621,"WA2621 Castell Caer Seion, Conwy",Brown 2009,"Brown, I. 2009. Beacons in the landscape. The hillforts of England and Wales, Oxford"
2621,"WA2621 Castell Caer Seion, Conwy",Griffiths and Hogg 1956,"Griffiths, W. E. and Hogg, A. H. A. 1956, The Hillfort on Conway Mountain, Caernarvonshire, Arch Camb, 105, 49-80."
2621,"WA2621 Castell Caer Seion, Conwy",Picton 1909,"Picton, H. 1909. Caer Seiont, Conway Mountain, Arch Camb, 6th Series, 9, 500- 504."
2621,"WA2621 Castell Caer Seion, Conwy",RCAHMW 1956,RCAHMW 1956. Caernarvonshire Vol I
2621,"WA2621 Castell Caer Seion, Conwy",Smith 2011,"Smith, G. 2011. Re-assessment of two hillforts in North Wales"
2622,"WA2622 Dinas, Beddgelert, Gwynedd",RCAHMW 1960,RCAHMW 1960. Caernarvonshire Vol II
2622,"WA2622 Dinas, Beddgelert, Gwynedd",Smith 2006,"Smith, G.H. 2006. A survey of prehistoric defended enclosures in north-west Wales 2005-2006"
2622,"WA2622 Dinas, Beddgelert, Gwynedd",Waddington 2013,"Waddington, K. 2013. The Settlements of Northwest Wales"
2624,"SC2624 Gaskbeg, Highland",Wordsworth 1997,"Wordsworth, J (1997) 'Gaskbeg Farm (Laggan parish), ESA management survey'. Disc Exc Scot (1997), 49"
2625,"SC2625 Dundurn, Perth & Kinross",Alcock et al. 1989,"Alcock, Alcock and Driscoll, L, E A and S T (1989) 'Reconnaissance excavations on Early Historic fortifications and other royal sites in Scotland, 3"
2625,"SC2625 Dundurn, Perth & Kinross",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
2625,"SC2625 Dundurn, Perth & Kinross",Christison 1898,"Christison, D (1898) Early fortifications in Scotland"
2625,"SC2625 Dundurn, Perth & Kinross",Stevenson 1949,"Stevenson, R B K (1949) 'The nuclear fort of Dalmahoy, Midlothian, and other Dark Age capitals'. Proc Soc Antiq Scot 83 (1948-9), 186-98"
2627,"SC2627 Drummond Hill, Perth & Kinross",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
2627,"SC2627 Drummond Hill, Perth & Kinross",Feachem 1963,"Feachem, R (1963) A guide to prehistoric Scotland. Batsford"
2627,"SC2627 Drummond Hill, Perth & Kinross",Hutcheson 1889,"Hutcheson, A (1889) 'Notes on the stone circle near Kenmore and of some hill forts in the neighbourhood of Aberfeldy, Perthshire'. Proc Soc Antiq Scot 23 (1888-9), 356-67"
2627,"SC2627 Drummond Hill, Perth & Kinross",NSA 1834,NSA (1834-1845) The new statistical account of Scotland by the ministers of the respective parishes under the superintendence of a committee of the society for the benefit of the sons and daughters of the clergy.
2630,"SC2630 Grinan Hill, Perth & Kinross",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
2630,"SC2630 Grinan Hill, Perth & Kinross",Crawford 1949,"Crawford, O G S (1949) Topography of Roman Scotland north of the Antonine Wall. Cambridge"
2630,"SC2630 Grinan Hill, Perth & Kinross",Roy 1793,"Roy, W (1793) The Military Antiquities of the Romans in Britain. London"
2631,"SC2631 Orchill, Perth & Kinross",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
2631,"SC2631 Orchill, Perth & Kinross",Christison 1901,"Christison, D (1901) 'Excavation undertaken by the Society of Antiquaries of Scotland of earthworks adjoining the ""Roman road"" between Ardoch and Dupplin, Perthshire'. Proc Soc Antiq Scot 35 (1900-1), 15-43"
2631,"SC2631 Orchill, Perth & Kinross",Crawford 1949,"Crawford, O G S (1949) Topography of Roman Scotland north of the Antonine Wall. Cambridge"
2632,"SC2632 Knock Durroch, Perth & Kinross",Marshall 1881,"Marshall, W (1881) Historic scenes in Perthshire. Edinburgh (p 300)"
2632,"SC2632 Knock Durroch, Perth & Kinross",Stewart 1957,"Stewart, M E C (1957) 'Knock Durroch, Monzie'. Disc Exc Scot (1957), 24"
2634,"SC2634 Cultoquhey, Perth & Kinross",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
2634,"SC2634 Cultoquhey, Perth & Kinross",Marshall 1881,"Marshall, W (1881) Historic scenes in Perthshire. Edinburgh (p 300)"
2636,"SC2636 Milquhanzie Hill, Perth & Kinross",Sherriff 1979,"Sherriff, J (1979) 'Milquanzie hill fort (Fowlis Wester), flint flake'. Disc Exc Scot (1979), 43, no. 255"
2637,"SC2637 Tom a' Chaisteil, Perth & Kinross",Carment 1882,"Carment, S (1882) Scenes and legends of Comrie and Upper Strathearn. Dundee (p 101)"
2637,"SC2637 Tom a' Chaisteil, Perth & Kinross",Hunter and Jamieson 1896,"Hunter and Jamieson, J and H M (eds) (1896) Chronicles of Strathearn. Crieff (p 5, 253-254, 374)"
2637,"SC2637 Tom a' Chaisteil, Perth & Kinross",Mayall 2003,"Mayall, C (2003) The Story of Strathearn. (p 27, 104)"
2637,"SC2637 Tom a' Chaisteil, Perth & Kinross",Miles 1930,"Miles, H (1930) Fair Perthshire. London (p 81-82)"
2637,"SC2637 Tom a' Chaisteil, Perth & Kinross",NSA 1834,"NSA (1834-1845) The new statistical account of Scotland by the ministers of the respective parishes under the superintendence of a committee of the society for the benefit of the sons and daughters of the clergy, 15v Edinburgh"
2637,"SC2637 Tom a' Chaisteil, Perth & Kinross",Sinclair 1791,Stat Acct (date) Statistical Account of Scotland
2637,"SC2637 Tom a' Chaisteil, Perth & Kinross",Oram and Stell 2005,"Oram and Stell, R and G (eds) (2005) Lordship and architecture in medieval and renaissance Scotland. Edinburgh (p 30)"
2638,"SC2638 The Dun, Perth & Kinross",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
2638,"SC2638 The Dun, Perth & Kinross",Hutcheson 1889,"Hutcheson, A (1889) 'Notes on the stone circle near Kenmore and of some hill forts in the neighbourhood of Aberfeldy, Perthshire'. Proc Soc Antiq Scot 23 (1888-9), 356-67"
2638,"SC2638 The Dun, Perth & Kinross",NSA 1834,NSA (1834-1845) The new statistical account of Scotland by the ministers of the respective parishes under the superintendence of a committee of the society for the benefit of the sons and daughters of the clergy.
2639,"SC2639 Torr Hill, Perth & Kinross",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
2639,"SC2639 Torr Hill, Perth & Kinross",Hutcheson 1889,"Hutcheson, A (1889) 'Notes on the stone circle near Kenmore and of some hill forts in the neighbourhood of Aberfeldy, Perthshire'. Proc Soc Antiq Scot 23 (1888-9), 356-67"
2639,"SC2639 Torr Hill, Perth & Kinross",Stewart 1962,"Stewart, M E C (1962) Torr Hill Aberfeldy. Disc Exc Scot (1962), 57-8"
2640,"SC2640 Loaninghead, Perth & Kinross",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
2640,"SC2640 Loaninghead, Perth & Kinross",Sinclair 1791,Stat Acct (date) Statistical Account of Scotland
2641,"SC2641 Machany, Perth & Kinross",Childe and Graham 1943,"Childe and Graham, V G and A (1943) 'Some notable prehistoric and medieval monuments recently examined by The Royal Commission on Ancient and Historical Monuments of Scotland', Proc Soc Antiq Scot 77 (1943), 31-49"
2641,"SC2641 Machany, Perth & Kinross",Feachem 1963,"Feachem, R (1963) A guide to prehistoric Scotland. Batsford"
2641,"SC2641 Machany, Perth & Kinross",Sinclair 1791,Stat Acct (date) Statistical Account of Scotland
2642,"SC2642 North Mains, Strathallan, Perth & Kinross",Barbour et al 1990,"Barclay and Tolan, G J and M (1990) 'Trial excavation of a terrace-edge enclosure at North Mains, Strathallan, Perthshire'. Proc Soc Antiq Scot 120 (1990), 45-53"
2642,"SC2642 North Mains, Strathallan, Perth & Kinross",Barclay 1987,"Barclay, G J (1987) 'North Mains, Strathallan (Blackford parish) fort'. Disc Exc Scot (1987), 58-9"
2646,"SC2646 Rossie Law, Perth & Kinross",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
2646,"SC2646 Rossie Law, Perth & Kinross",Feachem 1963,"Feachem, R (1963) A guide to prehistoric Scotland. Batsford, London"
2646,"SC2646 Rossie Law, Perth & Kinross",Poller 2012,"Poller, T 2012 DES entry"
2647,"SC2647 Ogle Hill, Perth & Kinross",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
2647,"SC2647 Ogle Hill, Perth & Kinross",Poller 2015,"Poller, T (2015) Ogle Hill Excavations 2015; Data Structure Report. Available at http"
2648,"SC2648 Ben Effrey, Perth & Kinross",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
2648,"SC2648 Ben Effrey, Perth & Kinross",Poller 2011,"Poller, T (2011) 'Ben Effrey"
2648,"SC2648 Ben Effrey, Perth & Kinross",Poller 2011,"Poller, T (2011) 'Ben Effrey and Castle Craig"
2648,"SC2648 Ben Effrey, Perth & Kinross",Historic Environment Scotland 2106,HES 2106 online Survey plan http
2650,"SC2650 Castle Craig, Perth & Kinross",James 2011,"James, H (2011) 'Castle Craig"
2650,"SC2650 Castle Craig, Perth & Kinross",Lye 1971,"Lye, D M (1971) 'Auchterarder, Pairney Farm, fortification'. Disc Exc Scot (1971), 33"
2650,"SC2650 Castle Craig, Perth & Kinross",Poller 2011,"Poller, T (2011) 'Ben Effrey and Castle Craig"
2650,"SC2650 Castle Craig, Perth & Kinross",Sherriff 1979,"Sherriff, J R (1979) 'Castle Craig Fort (Auchterarder parish) pits, ramparts'. Disc Exc Scot (1979), 44-5"
2650,"SC2650 Castle Craig, Perth & Kinross",Sherriff 1984,"Sherriff, J R (1984) 'Excavations at Castle Craig, Auchterarder, 1978'. Proc Soc Antiq Scot 114 (1984), 574-7"
2651,"EN2651 Worsborough Common, South Yorkshire",Challis and Harding 1975,"Challis A.J. and Harding, D.W. (Eds.). 1975. Later Prehistory from the Trent to the Tyne. British Archaeological Report 20. part II p. 47"
2651,"EN2651 Worsborough Common, South Yorkshire",Hogg 1979,"Hogg, A.H.A.1979. British Hill-Forts. An Index. British Archaeological Reports, British Series 62. 144"
2652,"EN2652 Castle Dyke, South Yorkshire",Derby and Derby 1954,Derby A.and N.H.J. 1954. Hill forts of the Peak. Derbyshire Archaeol J (F.L.Preston)14-15
2652,"EN2652 Castle Dyke, South Yorkshire",Hogg 1979,"Hogg, A.H.A.1979. British Hill-Forts. An Index. British Archaeological Reports, British Series 62"
2653,"EN2653 Penistone, South Yorkshire",Hogg 1979,"Hogg, A.H.A.1979. British Hill-Forts. An Index. British Archaeological Reports, British Series 62"
2654,"EN2654 Stainborough Low, South Yorkshire",Ashurst 1991,"Ashurst, D., 1991, Stainborough Lowe, Trans Hunter Archaeol Soc, 16, 33-8"
2654,"EN2654 Stainborough Low, South Yorkshire",Birch 1980,"Birch, J., 1980, Stainborough Castle, Archaeol J 137, 448-9"
2654,"EN2654 Stainborough Low, South Yorkshire",Hunter 1831,"Hunter, J., 1831. South Yorkshire"
2654,"EN2654 Stainborough Low, South Yorkshire",Pollington 2006,"Pollington, M. 2006. Stainborough Castle, Wentworth Castle, Barnsley, South Yorkshire"
2654,"EN2654 Stainborough Low, South Yorkshire",Preston 1954,"Preston, F.L., 1954. Hillforts of the Peak, Derbyshire Archaeol J , 74, 14"
2654,"EN2654 Stainborough Low, South Yorkshire",Rose and Prudhoe 2005,"Rose, M. and Prudhoe, J., 2005. Stainborough Castle"
2654,"EN2654 Stainborough Low, South Yorkshire",Hogg 1979,"Hogg, A.H.A.1979. British Hill-Forts. An Index. British Archaeological Reports, British Series 62"
2655,"EN2655 Bole Hill, South Yorkshire",Dennison 2001,"Dennison, E. Grey Literature Report"
2656,"EN2656 Carl Wark, South Yorkshire",Chalkley Gould 1903,"Chalkley Gould, I.1903. Carl's Wark. Derbyshire Archaeol J, volume 25, 175-80"
2656,"EN2656 Carl Wark, South Yorkshire",Piggott 1951,"Piggott, C.M. 1951. Notes and News. Antiquity 25, 210_212."
2656,"EN2656 Carl Wark, South Yorkshire",Rooke 1785,"Rooke, H. 1785. A Further Account of Some Druidical Remains in Derbyshire. Archaeologica VII"
2657,"EN2657 Roe Wood, South Yorkshire",Challis and Harding 1975,"Challis A.J. and Harding D.W. 1975. Later prehistory from the Trent to the Tyne. BAR British series 1 20 (ii), 53"
2658,"EN2658 Wincobank Camp, South Yorkshire",ArcHeritage 2011,ArcHeritage. Wincobank Hill Desk Based Assessment Report Number 2011/42 August 2011. http
2658,"EN2658 Wincobank Camp, South Yorkshire",Beswick 1985,"Beswick, P. 1985. Wincobank Hillfort. Drainage Scheme"
2658,"EN2658 Wincobank Camp, South Yorkshire",null,"Hunter, J, 1869. Hallamshire. The History and Topography of the Parish of Sheffield in the County of York."
2660,"SC2660 Drumharvie, Perth & Kinross",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
2660,"SC2660 Drumharvie, Perth & Kinross",Christison 1901,"Christison, D (1901) 'Excavation undertaken by the Society of Antiquaries of Scotland of earthworks adjoining the ""Roman road"" between Ardoch and Dupplin, Perthshire'. Proc Soc Antiq Scot 35 (1900-1), 15-43"
2661,"SC2661 Dunollie Castle, Argyll & Bute",Alcock and Alcock 1988,"Alcock and Alcock, L and E A (1988) 'Reconnaissance excavations on Early Historic fortifications and other royal sites in Scotland, 1974-84"
2661,"SC2661 Dunollie Castle, Argyll & Bute",RCAHMS 1975,RCAHMS (1975) The Royal Commission on the Ancient and Historical Monuments of Scotland. Argyll
2662,"SC2662 Dun Mor, Perth & Kinross",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
2662,"SC2662 Dun Mor, Perth & Kinross",Feachem 1963,"Feachem, R W (1963) Guide to Prehistoric Scotland. Batsford"
2662,"SC2662 Dun Mor, Perth & Kinross",Forsyth 1805,"Forsyth, R (1805-8) The beauties of Scotland"
2662,"SC2662 Dun Mor, Perth & Kinross",Hunter and Jamieson 1896,"Hunter and Jamieson, J and H M (eds) (1896) Chronicles of Strathearn. Crieff"
2662,"SC2662 Dun Mor, Perth & Kinross",Macara 1896,"Macara, D (1896) Macara's guide to Crieff, Comrie, St Fillans and Upper Strathearn including excursions to every point and place of interest in the district. Edinburgh"
2662,"SC2662 Dun Mor, Perth & Kinross",Marshall 1881,"Marshall, W (1881) Historic scenes in Perthshire. Edinburgh"
2662,"SC2662 Dun Mor, Perth & Kinross",Anon. 1820,"Perth Guide (1820) Guide to the city and county of Perth containing a topographical and statistical account of the city, with occasional notices of its antiquities, a description of the environs and of the picturesque scenery in the county in the form of tours, 'Fourth Edition, enlarged, and embellished with fourteen maps, plans and engravings'. Perth"
2662,"SC2662 Dun Mor, Perth & Kinross",Sinclair 1791,Stat Acct (date) Statistical Account of Scotland
2663,"SC2663 An Dun, Perth & Kinross",Reid 1988,"Reid, A G (1988) 'An Dun (Moulin parish) vitrified stone'. Disc Exc Scot (1988), 28"
2664,"SC2664 Stac An Eich, Perth & Kinross",Dixon 1925,"Dixon, J H (1925) Pitlochry past and present"
2666,"SC2666 Castle Dow, Perth & Kinross",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
2666,"SC2666 Castle Dow, Perth & Kinross",Feachem 1963,"Feachem, R W (1963) Guide to Prehistoric Scotland. Batsford"
2666,"SC2666 Castle Dow, Perth & Kinross",Hutcheson 1889,"Hutcheson, A (1889) 'Notes on the stone circle near Kenmore and of some hill forts in the neighbourhood of Aberfeldy, Perthshire'. Proc Soc Antiq Scot 23 (1888-9), 356-67"
2668,"SC2668 Kay Craig, Perth & Kinross",Sherriff 1979,"Sherriff, J (1979) 'Kay Craig (Auchterarder p) enclosure'. Disc Exc Scot (1979), 44"
2669,"SC2669 North Uist, Caisteal Odair, Western Isles",Beveridge 1911,"Beveridge, E (1911) North Uist"
2669,"SC2669 North Uist, Caisteal Odair, Western Isles",Feachem 1963,"Feachem, R (1963) A guide to prehistoric Scotland. Batsford"
2669,"SC2669 North Uist, Caisteal Odair, Western Isles",RCAHMS 1928,"RCAHMS (1928) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Ninth report with inventory of monuments and constructions in the Outer Hebrides, Skye and the Small Isles. HMSO"
2670,"SC2670 North Uist, Loch Caravat, Eilean Dubh Dun Scor, Western Isles",Beveridge 1911,"Beveridge, E (1911) North Uist"
2670,"SC2670 North Uist, Loch Caravat, Eilean Dubh Dun Scor, Western Isles",RCAHMS 1928,"RCAHMS (1928) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Ninth report with inventory of monuments and constructions in the Outer Hebrides, Skye and the Small Isles. HMSO"
2671,"SC2671 Benbecula, Loch Hermidale, Western Isles",RCAHMS 1928,"RCAHMS (1928) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Ninth report with inventory of monuments and constructions in the Outer Hebrides, Skye and the Small Isles. HMSO"
2672,"SC2672 North Uist, Loch Fada, Western Isles",Beveridge 1911,"Beveridge, E (1911) North Uist"
2672,"SC2672 North Uist, Loch Fada, Western Isles",RCAHMS 1928,"RCAHMS (1928) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Ninth report with inventory of monuments and constructions in the Outer Hebrides, Skye and the Small Isles. HMSO"
2673,"SC2673 North Uist, Groatay, Dun Mhic Laitheann, Western Isles",Beveridge 1911,"Beveridge, E (1911) North Uist"
2673,"SC2673 North Uist, Groatay, Dun Mhic Laitheann, Western Isles",RCAHMS 1928,"RCAHMS (1928) The Royal Commission on the Ancient and Historical Monuments and Constructions of Scotland. Ninth report with inventory of monuments and constructions in the Outer Hebrides, Skye and the Small Isles. HMSO"
2674,"EN2674 Boltby Scar, North Yorkshire",Challis and Harding 1975,"Challis, A.J. and Harding, D.W., 1975. Later prehistory from the Trent to the Tyne. BAR British series 1 (1974)"
2674,"EN2674 Boltby Scar, North Yorkshire",Powlesland 2011,"Powlesland, D. 2011(a). Excavations at Boltby Scar Hillfort 2011 An Interim Report (draft). http"
2674,"EN2674 Boltby Scar, North Yorkshire",Powlesland 2011,"Powlesland, D. 2011(b). Investigation of Boltby Scar Promontory Fort SM26932 North York Moors National Park. Updated Research Design 2011. http"
2675,"EN2675 Grafton Hills, North Yorkshire",Challis and Harding 1975,"Challis A.J. and Harding, D.W. 1975. Later prehistory from the Trent to the Tyne. BAR British series1 (1974) - ii Page(s)3."
2675,"EN2675 Grafton Hills, North Yorkshire",Clarke 1993,"Clarke, A. 1993. Grafton Hills Iron Age Hillfort, Marton cum Grafton"
2675,"EN2675 Grafton Hills, North Yorkshire",Waterman et al. 1954,"Waterman, D.M., Kent, B.W.J., Stickland H.J. 1954. Two Inland sites with ""Iron Age A"" Pottery in the West Riding of Yorkshire. The Yorkshire Arch J. 38, 383-394"
2676,"EN2676 Castleberg, North Yorkshire",Page 1912,"Page, W. 1912. The Victoria History of the County of York. The Victoria History of the Counties of England. Vol. 2, 5-6"
2677,"EN2677 Castle Dikes Camp, North Yorkshire",Luckis 1875,"Luckis, W. C. 1875. Castle-Dykes. Archaeol J. Vol 32, 134-154"
2678,"EN2678 Rough Haw, North Yorkshire",RCHME n.d.,RCHME
2678,"EN2678 Rough Haw, North Yorkshire",Bowden 1997,Mark Bowden/17-MAR-1997/RCHME Newcastle. Unpublished
2679,"EN2679 How Hill, North Yorkshire",Archaeological Services University of Durham 2008,"Archaeological Services University of Durham (2008) How Hill, Downholme, Defence Training Estate Catterick, North Yorkshire. Unpublished (OASIS rep"
2680,"EN2680 East Witton Camp, North Yorkshire",Bowden 1996,"Bowden, M. 1996. Maiden Castle Swaledale Survey. RCHME/16-JUL-1996/"
2680,"EN2680 East Witton Camp, North Yorkshire",Page 1912,"Page, W. 1912 The Victoria History of the County of York, II .pp.7-8"
2681,"EN2681 Castle Steads, Gayles, North Yorkshire",Blood 1992,Keith Blood/29-OCT-1992/RCHME
2682,"EN2682 Stanwick Camp, North Yorkshire",Wheeler 1954,"Wheeler, M. 1954. The Stanwick Fortifications, North Riding of Yorkshire. Oxford University Press. Reports of the Research Committee of the Society of Antiquaries of London No.XVII."
